,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,74,1,2024-03-28 01:40:04.347796,1711586404.347795800,www.abc.net.au,,1,0x0001,1,0,0,52869,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,74,2,2024-03-28 01:40:04.347803,1711586404.347802900,www.abc.net.au,,28,0x0001,1,0,0,52869,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,228,3,2024-03-28 01:40:04.441094,1711586404.441093900,www.abc.net.au,www.abc.net.au,1,0x0001,1,3,0,53,52869,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,190,4,2024-03-28 01:40:04.502256,1711586404.502256400,www.abc.net.au,www.abc.net.au,28,0x0001,1,2,0,53,52869,,,,,,
4,172.20.146.77,2.17.140.98,6,TCP,74,5,2024-03-28 01:40:04.502517,1711586404.502516800,,,,,,,,,,44814,443,0x0002,0,0,
5,2.17.140.98,172.20.146.77,6,TCP,66,6,2024-03-28 01:40:04.555882,1711586404.555881700,,,,,,,,,,443,44814,0x0012,0,1,
6,172.20.146.77,2.17.140.98,6,TCP,54,7,2024-03-28 01:40:04.555957,1711586404.555956700,,,,,,,,,,44814,443,0x0010,1,1,
7,172.20.146.77,2.17.140.98,6,TLS,571,8,2024-03-28 01:40:04.611198,1711586404.611197700,,,,,,,,,,44814,443,0x0018,1,1,TLS_Packet_Captured
8,2.17.140.98,172.20.146.77,6,TLS,2734,9,2024-03-28 01:40:04.687748,1711586404.687747900,,,,,,,,,,443,44814,0x0018,1,518,TLS_Packet_Captured
9,2.17.140.98,172.20.146.77,6,TLS,130,10,2024-03-28 01:40:04.687748,1711586404.687748500,,,,,,,,,,443,44814,0x0018,4021,518,TLS_Packet_Captured
10,2.17.140.98,172.20.146.77,6,DATA,1394,11,2024-03-28 01:40:04.687748,1711586404.687748500,,,,,,,,,,443,44814,0x0010,2681,518,
11,2.17.140.98,172.20.146.77,6,TCP,54,12,2024-03-28 01:40:04.687748,1711586404.687748500,,,,,,,,,,443,44814,0x0010,1,518,
12,172.20.146.77,2.17.140.98,6,TCP,54,13,2024-03-28 01:40:04.687828,1711586404.687828200,,,,,,,,,,44814,443,0x0010,518,2681,
13,172.20.146.77,2.17.140.98,6,TCP,66,14,2024-03-28 01:40:04.687835,1711586404.687835100,,,,,,,,,,44814,443,0x0010,518,2681,
14,172.20.146.77,2.17.140.98,6,TCP,54,15,2024-03-28 01:40:04.687838,1711586404.687837700,,,,,,,,,,44814,443,0x0010,518,4097,
15,172.20.146.77,2.17.140.98,6,TCP,54,16,2024-03-28 01:40:04.687839,1711586404.687839200,,,,,,,,,,44814,443,0x0010,518,4097,
16,2.17.140.98,172.20.146.77,6,TLS,171,17,2024-03-28 01:40:04.697086,1711586404.697085700,,,,,,,,,,443,44814,0x0018,4097,518,TLS_Packet_Captured
17,172.20.146.77,2.17.140.98,6,TCP,54,18,2024-03-28 01:40:04.697103,1711586404.697103000,,,,,,,,,,44814,443,0x0010,518,4214,
18,172.20.146.77,2.17.140.98,6,TLS,134,19,2024-03-28 01:40:04.697398,1711586404.697397800,,,,,,,,,,44814,443,0x0018,518,4214,TLS_Packet_Captured
19,172.20.146.77,2.17.140.98,6,TLS,221,20,2024-03-28 01:40:04.697655,1711586404.697655100,,,,,,,,,,44814,443,0x0018,598,4214,TLS_Packet_Captured
20,2.17.140.98,172.20.146.77,6,TLS,341,21,2024-03-28 01:40:04.753006,1711586404.753006000,,,,,,,,,,443,44814,0x0018,4214,765,TLS_Packet_Captured
21,172.20.146.77,2.17.140.98,6,TCP,54,22,2024-03-28 01:40:04.753027,1711586404.753026700,,,,,,,,,,44814,443,0x0010,765,4501,
22,2.17.140.98,172.20.146.77,6,TLS,341,23,2024-03-28 01:40:04.755682,1711586404.755682300,,,,,,,,,,443,44814,0x0018,4501,765,TLS_Packet_Captured
