,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,73,1,2024-03-28 01:40:36.180732,1711586436.180732600,www.bbc.co.uk,,1,0x0001,1,0,0,34802,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,73,2,2024-03-28 01:40:36.180740,1711586436.180739600,www.bbc.co.uk,,28,0x0001,1,0,0,34802,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,220,3,2024-03-28 01:40:36.251248,1711586436.251248400,www.bbc.co.uk,www.bbc.co.uk,1,0x0001,1,3,0,53,34802,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,186,4,2024-03-28 01:40:36.297843,1711586436.297842500,www.bbc.co.uk,www.bbc.co.uk,28,0x0001,1,2,0,53,34802,,,,,,
4,172.20.146.77,146.75.52.81,6,TCP,74,5,2024-03-28 01:40:36.298119,1711586436.298118900,,,,,,,,,,57614,443,0x0002,0,0,
5,146.75.52.81,172.20.146.77,6,TCP,66,6,2024-03-28 01:40:36.336821,1711586436.336820500,,,,,,,,,,443,57614,0x0012,0,1,
6,172.20.146.77,146.75.52.81,6,TCP,54,7,2024-03-28 01:40:36.336904,1711586436.336903600,,,,,,,,,,57614,443,0x0010,1,1,
7,172.20.146.77,146.75.52.81,6,TLS,571,8,2024-03-28 01:40:36.394083,1711586436.394083600,,,,,,,,,,57614,443,0x0018,1,1,TLS_Packet_Captured
8,146.75.52.81,172.20.146.77,6,TCP,54,9,2024-03-28 01:40:36.440261,1711586436.440260600,,,,,,,,,,443,57614,0x0010,1,518,
9,146.75.52.81,172.20.146.77,6,TLS,2734,10,2024-03-28 01:40:36.440741,1711586436.440741300,,,,,,,,,,443,57614,0x0018,1,518,TLS_Packet_Captured
10,146.75.52.81,172.20.146.77,6,TCP,1394,11,2024-03-28 01:40:36.440742,1711586436.440741600,,,,,,,,,,443,57614,0x0010,2681,518,
11,172.20.146.77,146.75.52.81,6,TCP,54,12,2024-03-28 01:40:36.440751,1711586436.440751400,,,,,,,,,,57614,443,0x0010,518,2681,
12,172.20.146.77,146.75.52.81,6,TCP,54,13,2024-03-28 01:40:36.440759,1711586436.440759000,,,,,,,,,,57614,443,0x0010,518,4021,
13,146.75.52.81,172.20.146.77,6,TLS,890,14,2024-03-28 01:40:36.448609,1711586436.448609400,,,,,,,,,,443,57614,0x0018,4021,518,TLS_Packet_Captured
14,172.20.146.77,146.75.52.81,6,TCP,54,15,2024-03-28 01:40:36.448637,1711586436.448637500,,,,,,,,,,57614,443,0x0010,518,4857,
15,172.20.146.77,146.75.52.81,6,TLS,118,16,2024-03-28 01:40:36.450398,1711586436.450398500,,,,,,,,,,57614,443,0x0018,518,4857,TLS_Packet_Captured
16,172.20.146.77,146.75.52.81,6,TLS,220,17,2024-03-28 01:40:36.450699,1711586436.450698700,,,,,,,,,,57614,443,0x0018,582,4857,TLS_Packet_Captured
17,146.75.52.81,172.20.146.77,6,TCP,54,18,2024-03-28 01:40:36.489951,1711586436.489951300,,,,,,,,,,443,57614,0x0010,4857,582,
18,146.75.52.81,172.20.146.77,6,TCP,54,19,2024-03-28 01:40:36.499899,1711586436.499898900,,,,,,,,,,443,57614,0x0010,4857,748,
19,146.75.52.81,172.20.146.77,6,TLS,2734,20,2024-03-28 01:40:36.550398,1711586436.550398300,,,,,,,,,,443,57614,0x0018,4857,748,TLS_Packet_Captured
20,172.20.146.77,146.75.52.81,6,TCP,54,21,2024-03-28 01:40:36.550416,1711586436.550415600,,,,,,,,,,57614,443,0x0010,748,7537,
21,146.75.52.81,172.20.146.77,6,TLS,2734,22,2024-03-28 01:40:36.556023,1711586436.556022700,,,,,,,,,,443,57614,0x0018,7537,748,TLS_Packet_Captured
22,146.75.52.81,172.20.146.77,6,TLS,2734,23,2024-03-28 01:40:36.556023,1711586436.556022800,,,,,,,,,,443,57614,0x0018,10217,748,TLS_Packet_Captured
23,146.75.52.81,172.20.146.77,6,TLS,2734,24,2024-03-28 01:40:36.556023,1711586436.556022800,,,,,,,,,,443,57614,0x0018,12897,748,TLS_Packet_Captured
24,146.75.52.81,172.20.146.77,6,TLS,2734,25,2024-03-28 01:40:36.556023,1711586436.556022900,,,,,,,,,,443,57614,0x0018,15577,748,TLS_Packet_Captured
25,172.20.146.77,146.75.52.81,6,TCP,54,26,2024-03-28 01:40:36.556042,1711586436.556042100,,,,,,,,,,57614,443,0x0010,748,10217,
26,172.20.146.77,146.75.52.81,6,TCP,54,27,2024-03-28 01:40:36.556052,1711586436.556052000,,,,,,,,,,57614,443,0x0010,748,12897,
27,172.20.146.77,146.75.52.81,6,TCP,54,28,2024-03-28 01:40:36.556055,1711586436.556054800,,,,,,,,,,57614,443,0x0010,748,15577,
28,172.20.146.77,146.75.52.81,6,TCP,54,29,2024-03-28 01:40:36.556056,1711586436.556056300,,,,,,,,,,57614,443,0x0010,748,18257,
29,146.75.52.81,172.20.146.77,6,TLS,2734,30,2024-03-28 01:40:36.559194,1711586436.559194400,,,,,,,,,,443,57614,0x0018,18257,748,TLS_Packet_Captured
30,146.75.52.81,172.20.146.77,6,TLS,2734,31,2024-03-28 01:40:36.559195,1711586436.559194900,,,,,,,,,,443,57614,0x0018,20937,748,TLS_Packet_Captured
31,172.20.146.77,146.75.52.81,6,TCP,54,32,2024-03-28 01:40:36.559213,1711586436.559213000,,,,,,,,,,57614,443,0x0010,748,20937,
32,172.20.146.77,146.75.52.81,6,TCP,54,33,2024-03-28 01:40:36.559222,1711586436.559222100,,,,,,,,,,57614,443,0x0010,748,23617,
33,146.75.52.81,172.20.146.77,6,TLS,2734,34,2024-03-28 01:40:36.559990,1711586436.559990200,,,,,,,,,,443,57614,0x0018,23617,748,TLS_Packet_Captured
34,172.20.146.77,146.75.52.81,6,TCP,54,35,2024-03-28 01:40:36.560004,1711586436.560003800,,,,,,,,,,57614,443,0x0010,748,26297,
35,146.75.52.81,172.20.146.77,6,TLS,2734,36,2024-03-28 01:40:36.566813,1711586436.566813400,,,,,,,,,,443,57614,0x0018,26297,748,TLS_Packet_Captured
36,146.75.52.81,172.20.146.77,6,TLS,2734,37,2024-03-28 01:40:36.566814,1711586436.566813600,,,,,,,,,,443,57614,0x0018,28977,748,TLS_Packet_Captured
37,172.20.146.77,146.75.52.81,6,TCP,54,38,2024-03-28 01:40:36.566831,1711586436.566831000,,,,,,,,,,57614,443,0x0010,748,28977,
38,172.20.146.77,146.75.52.81,6,TCP,54,39,2024-03-28 01:40:36.566840,1711586436.566839900,,,,,,,,,,57614,443,0x0010,748,31657,
39,146.75.52.81,172.20.146.77,6,TLS,2734,40,2024-03-28 01:40:36.567030,1711586436.567029700,,,,,,,,,,443,57614,0x0018,31657,748,TLS_Packet_Captured
40,172.20.146.77,146.75.52.81,6,TCP,54,41,2024-03-28 01:40:36.567038,1711586436.567037800,,,,,,,,,,57614,443,0x0010,748,34337,
41,146.75.52.81,172.20.146.77,6,TLS,2734,42,2024-03-28 01:40:36.573062,1711586436.573062300,,,,,,,,,,443,57614,0x0018,34337,748,TLS_Packet_Captured
42,172.20.146.77,146.75.52.81,6,TCP,54,43,2024-03-28 01:40:36.573080,1711586436.573079900,,,,,,,,,,57614,443,0x0010,748,37017,
43,146.75.52.81,172.20.146.77,6,TLS,2734,44,2024-03-28 01:40:36.573589,1711586436.573589100,,,,,,,,,,443,57614,0x0018,37017,748,TLS_Packet_Captured
44,146.75.52.81,172.20.146.77,6,TLS,2734,45,2024-03-28 01:40:36.573589,1711586436.573589300,,,,,,,,,,443,57614,0x0018,39697,748,TLS_Packet_Captured
