,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,72,1,2024-03-28 01:36:22.983243,1711586182.983242600,www.cnbc.com,,1,0x0001,1,0,0,47417,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,72,2,2024-03-28 01:36:22.983250,1711586182.983250200,www.cnbc.com,,28,0x0001,1,0,0,47417,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,224,3,2024-03-28 01:36:23.047183,1711586183.047182700,www.cnbc.com,www.cnbc.com,1,0x0001,1,3,0,53,47417,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,184,4,2024-03-28 01:36:23.114865,1711586183.114864900,www.cnbc.com,www.cnbc.com,28,0x0001,1,2,0,53,47417,,,,,,
4,172.20.146.77,2.16.80.95,6,TCP,74,5,2024-03-28 01:36:23.115327,1711586183.115327000,,,,,,,,,,51310,443,0x0002,0,0,
5,2.16.80.95,172.20.146.77,6,TCP,66,6,2024-03-28 01:36:23.163944,1711586183.163943500,,,,,,,,,,443,51310,0x0012,0,1,
6,172.20.146.77,2.16.80.95,6,TCP,54,7,2024-03-28 01:36:23.164024,1711586183.164023700,,,,,,,,,,51310,443,0x0010,1,1,
7,172.20.146.77,2.16.80.95,6,TLS,571,8,2024-03-28 01:36:23.218102,1711586183.218101800,,,,,,,,,,51310,443,0x0018,1,1,TLS_Packet_Captured
8,2.16.80.95,172.20.146.77,6,TLS,2734,9,2024-03-28 01:36:23.274934,1711586183.274933500,,,,,,,,,,443,51310,0x0018,1,518,TLS_Packet_Captured
9,172.20.146.77,2.16.80.95,6,TCP,54,10,2024-03-28 01:36:23.274998,1711586183.274998400,,,,,,,,,,51310,443,0x0010,518,2681,
10,2.16.80.95,172.20.146.77,6,TLS,915,11,2024-03-28 01:36:23.275396,1711586183.275395800,,,,,,,,,,443,51310,0x0018,2681,518,TLS_Packet_Captured
11,172.20.146.77,2.16.80.95,6,TCP,54,12,2024-03-28 01:36:23.275410,1711586183.275410000,,,,,,,,,,51310,443,0x0010,518,3542,
12,172.20.146.77,2.16.80.95,6,TLS,134,13,2024-03-28 01:36:23.276559,1711586183.276559200,,,,,,,,,,51310,443,0x0018,518,3542,TLS_Packet_Captured
13,172.20.146.77,2.16.80.95,6,TLS,219,14,2024-03-28 01:36:23.276762,1711586183.276761800,,,,,,,,,,51310,443,0x0018,598,3542,TLS_Packet_Captured
14,2.16.80.95,172.20.146.77,6,TCP,54,15,2024-03-28 01:36:23.280049,1711586183.280049200,,,,,,,,,,443,51310,0x0010,1,518,
