,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,71,1,2024-03-28 01:41:53.733706,1711586513.733705600,www.cnn.com,,1,0x0001,1,0,0,56785,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,71,2,2024-03-28 01:41:53.733713,1711586513.733712800,www.cnn.com,,28,0x0001,1,0,0,56785,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,156,3,2024-03-28 01:41:53.778260,1711586513.778259400,www.cnn.com,www.cnn.com,1,0x0001,1,2,0,53,56785,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,168,4,2024-03-28 01:41:53.829687,1711586513.829686700,www.cnn.com,www.cnn.com,28,0x0001,1,2,0,53,56785,,,,,,
4,172.20.146.77,146.75.55.5,6,TCP,74,5,2024-03-28 01:41:53.829958,1711586513.829958500,,,,,,,,,,42678,443,0x0002,0,0,
5,146.75.55.5,172.20.146.77,6,TCP,66,6,2024-03-28 01:41:53.860674,1711586513.860673700,,,,,,,,,,443,42678,0x0012,0,1,
6,172.20.146.77,146.75.55.5,6,TCP,54,7,2024-03-28 01:41:53.860792,1711586513.860792100,,,,,,,,,,42678,443,0x0010,1,1,
7,172.20.146.77,146.75.55.5,6,TLS,571,8,2024-03-28 01:41:53.922189,1711586513.922188600,,,,,,,,,,42678,443,0x0018,1,1,TLS_Packet_Captured
8,146.75.55.5,172.20.146.77,6,TCP,54,9,2024-03-28 01:41:53.970351,1711586513.970350900,,,,,,,,,,443,42678,0x0010,1,518,
9,146.75.55.5,172.20.146.77,6,TLS,2734,10,2024-03-28 01:41:53.974989,1711586513.974988600,,,,,,,,,,443,42678,0x0018,1,518,TLS_Packet_Captured
10,172.20.146.77,146.75.55.5,6,TCP,54,11,2024-03-28 01:41:53.975006,1711586513.975006300,,,,,,,,,,42678,443,0x0010,518,2681,
11,146.75.55.5,172.20.146.77,6,TLS,2056,12,2024-03-28 01:41:53.975369,1711586513.975369100,,,,,,,,,,443,42678,0x0018,2681,518,TLS_Packet_Captured
12,172.20.146.77,146.75.55.5,6,TCP,54,13,2024-03-28 01:41:53.975388,1711586513.975388100,,,,,,,,,,42678,443,0x0010,518,4683,
13,172.20.146.77,146.75.55.5,6,TLS,118,14,2024-03-28 01:41:53.976832,1711586513.976832300,,,,,,,,,,42678,443,0x0018,518,4683,TLS_Packet_Captured
14,172.20.146.77,146.75.55.5,6,TLS,218,15,2024-03-28 01:41:53.977061,1711586513.977060500,,,,,,,,,,42678,443,0x0018,582,4683,TLS_Packet_Captured
15,146.75.55.5,172.20.146.77,6,TLS,798,16,2024-03-28 01:41:54.009675,1711586514.009674800,,,,,,,,,,443,42678,0x0018,4683,746,TLS_Packet_Captured
16,146.75.55.5,172.20.146.77,6,TLS,78,17,2024-03-28 01:41:54.009675,1711586514.009675100,,,,,,,,,,443,42678,0x0018,5427,746,TLS_Packet_Captured
17,146.75.55.5,172.20.146.77,6,TCP,54,18,2024-03-28 01:41:54.009675,1711586514.009675100,,,,,,,,,,443,42678,0x0011,5451,746,
18,172.20.146.77,146.75.55.5,6,TCP,54,19,2024-03-28 01:41:54.009744,1711586514.009744000,,,,,,,,,,42678,443,0x0010,746,5427,
19,172.20.146.77,146.75.55.5,6,TCP,54,20,2024-03-28 01:41:54.009751,1711586514.009751000,,,,,,,,,,42678,443,0x0010,746,5451,
20,146.75.55.5,172.20.146.77,6,TCP,54,21,2024-03-28 01:41:54.010077,1711586514.010076800,,,,,,,,,,443,42678,0x0010,4683,582,
21,146.75.55.5,172.20.146.77,6,TCP,54,22,2024-03-28 01:41:54.010077,1711586514.010076900,,,,,,,,,,443,42678,0x0010,4683,746,
22,172.20.146.77,146.75.55.5,6,TCP,54,23,2024-03-28 01:41:54.010091,1711586514.010090800,,,,,,,,,,42678,443,0x0010,746,5452,
23,172.20.146.77,146.75.55.5,6,TCP,54,24,2024-03-28 01:41:54.011087,1711586514.011087100,,,,,,,,,,42678,443,0x0014,746,5452,
24,172.20.146.77,172.20.144.1,17,DNS,75,25,2024-03-28 01:41:54.013465,1711586514.013464800,edition.cnn.com,,1,0x0001,1,0,0,45170,53,,,,,,
25,172.20.146.77,172.20.144.1,17,DNS,75,26,2024-03-28 01:41:54.013473,1711586514.013472900,edition.cnn.com,,28,0x0001,1,0,0,45170,53,,,,,,
26,172.20.144.1,172.20.146.77,17,DNS,154,27,2024-03-28 01:41:54.053666,1711586514.053665800,edition.cnn.com,edition.cnn.com,1,0x0001,1,4,0,53,45170,,,,,,
27,172.20.144.1,172.20.146.77,17,DNS,314,28,2024-03-28 01:41:54.128894,1711586514.128894000,edition.cnn.com,edition.cnn.com,28,0x0001,1,8,0,53,45170,,,,,,
28,172.20.146.77,151.101.67.5,6,TCP,74,29,2024-03-28 01:41:54.129218,1711586514.129217600,,,,,,,,,,48920,443,0x0002,0,0,
29,151.101.67.5,172.20.146.77,6,TCP,66,30,2024-03-28 01:41:54.165890,1711586514.165890000,,,,,,,,,,443,48920,0x0012,0,1,
30,172.20.146.77,151.101.67.5,6,TCP,54,31,2024-03-28 01:41:54.165987,1711586514.165986700,,,,,,,,,,48920,443,0x0010,1,1,
