,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,79,1,2024-03-28 01:43:14.676681,1711586594.676680800,www.dailymail.co.uk,,1,0x0001,1,0,0,59451,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,79,2,2024-03-28 01:43:14.676688,1711586594.676688200,www.dailymail.co.uk,,28,0x0001,1,0,0,59451,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,254,3,2024-03-28 01:43:14.721322,1711586594.721322300,www.dailymail.co.uk,www.dailymail.co.uk,1,0x0001,1,3,0,53,59451,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,294,4,2024-03-28 01:43:14.782658,1711586594.782658400,www.dailymail.co.uk,www.dailymail.co.uk,28,0x0001,1,4,0,53,59451,,,,,,
4,172.20.146.77,23.10.244.184,6,TCP,74,5,2024-03-28 01:43:14.782909,1711586594.782908800,,,,,,,,,,47778,443,0x0002,0,0,
5,23.10.244.184,172.20.146.77,6,TCP,66,6,2024-03-28 01:43:14.814836,1711586594.814836000,,,,,,,,,,443,47778,0x0012,0,1,
6,172.20.146.77,23.10.244.184,6,TCP,54,7,2024-03-28 01:43:14.814884,1711586594.814883900,,,,,,,,,,47778,443,0x0010,1,1,
7,172.20.146.77,23.10.244.184,6,TLS,571,8,2024-03-28 01:43:14.868307,1711586594.868307300,,,,,,,,,,47778,443,0x0018,1,1,TLS_Packet_Captured
8,23.10.244.184,172.20.146.77,6,TLS,2734,9,2024-03-28 01:43:14.916691,1711586594.916690600,,,,,,,,,,443,47778,0x0018,1,518,TLS_Packet_Captured
9,23.10.244.184,172.20.146.77,6,TLS,528,10,2024-03-28 01:43:14.916691,1711586594.916691200,,,,,,,,,,443,47778,0x0018,2681,518,TLS_Packet_Captured
10,172.20.146.77,23.10.244.184,6,TCP,54,11,2024-03-28 01:43:14.916717,1711586594.916716800,,,,,,,,,,47778,443,0x0010,518,2681,
11,172.20.146.77,23.10.244.184,6,TCP,54,12,2024-03-28 01:43:14.916722,1711586594.916721700,,,,,,,,,,47778,443,0x0010,518,3155,
12,172.20.146.77,23.10.244.184,6,TLS,134,13,2024-03-28 01:43:14.918055,1711586594.918055200,,,,,,,,,,47778,443,0x0018,518,3155,TLS_Packet_Captured
13,172.20.146.77,23.10.244.184,6,TLS,226,14,2024-03-28 01:43:14.918229,1711586594.918228800,,,,,,,,,,47778,443,0x0018,598,3155,TLS_Packet_Captured
14,23.10.244.184,172.20.146.77,6,TCP,54,15,2024-03-28 01:43:14.920461,1711586594.920460800,,,,,,,,,,443,47778,0x0010,1,518,
15,172.20.146.77,23.10.244.184,6,TCP,54,16,2024-03-28 01:43:14.920478,1711586594.920477800,,,,,,,,,,47778,443,0x0010,770,3155,
16,23.10.244.184,172.20.146.77,6,TLS,341,17,2024-03-28 01:43:14.974971,1711586594.974970700,,,,,,,,,,443,47778,0x0018,3155,770,TLS_Packet_Captured
17,23.10.244.184,172.20.146.77,6,TLS,341,18,2024-03-28 01:43:14.974971,1711586594.974970900,,,,,,,,,,443,47778,0x0018,3442,770,TLS_Packet_Captured
18,172.20.146.77,23.10.244.184,6,TCP,54,19,2024-03-28 01:43:14.974993,1711586594.974992600,,,,,,,,,,47778,443,0x0010,770,3442,
19,172.20.146.77,23.10.244.184,6,TCP,54,20,2024-03-28 01:43:14.975002,1711586594.975002100,,,,,,,,,,47778,443,0x0010,770,3729,
20,23.10.244.184,172.20.146.77,6,TLS,623,21,2024-03-28 01:43:14.984931,1711586594.984930700,,,,,,,,,,443,47778,0x0018,3729,770,TLS_Packet_Captured
