,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.144.1,239.255.255.250,17,SSDP,217,1,2024-03-28 01:37:33.710633,1711586253.710632900,57284,1900,,,,,,,,,,,,,
1,172.20.144.1,239.255.255.250,17,SSDP,211,2,2024-03-28 01:37:33.768081,1711586253.768081100,57288,1900,,,,,,,,,,,,,
2,172.20.146.77,172.20.144.1,17,DNS,77,3,2024-03-28 01:37:34.208930,1711586254.208929800,44837,53,www.express.co.uk,,1,0x0001,1,0,0,,,,,,
3,172.20.146.77,172.20.144.1,17,DNS,77,4,2024-03-28 01:37:34.208938,1711586254.208937900,44837,53,www.express.co.uk,,28,0x0001,1,0,0,,,,,,
4,172.20.144.1,172.20.146.77,17,DNS,230,5,2024-03-28 01:37:34.290741,1711586254.290741200,53,44837,www.express.co.uk,www.express.co.uk,1,0x0001,1,5,0,,,,,,
5,172.20.144.1,172.20.146.77,17,DNS,390,6,2024-03-28 01:37:34.368922,1711586254.368922000,53,44837,www.express.co.uk,www.express.co.uk,28,0x0001,1,9,0,,,,,,
6,172.20.146.77,18.154.161.80,6,TCP,74,7,2024-03-28 01:37:34.369360,1711586254.369359800,,,,,,,,,,36088,443,0x0002,0,0,
7,18.154.161.80,172.20.146.77,6,TCP,66,8,2024-03-28 01:37:34.429624,1711586254.429623700,,,,,,,,,,443,36088,0x0012,0,1,
8,172.20.146.77,18.154.161.80,6,TCP,54,9,2024-03-28 01:37:34.429710,1711586254.429710200,,,,,,,,,,36088,443,0x0010,1,1,
9,172.20.146.77,18.154.161.80,6,TLS,571,10,2024-03-28 01:37:34.483200,1711586254.483200100,,,,,,,,,,36088,443,0x0018,1,1,TLS_Packet_Captured
10,18.154.161.80,172.20.146.77,6,TCP,54,11,2024-03-28 01:37:34.566871,1711586254.566871300,,,,,,,,,,443,36088,0x0010,1,518,
11,18.154.161.80,172.20.146.77,6,TLS,2734,12,2024-03-28 01:37:34.566871,1711586254.566871400,,,,,,,,,,443,36088,0x0018,1,518,TLS_Packet_Captured
12,18.154.161.80,172.20.146.77,6,TCP,1394,13,2024-03-28 01:37:34.566871,1711586254.566871500,,,,,,,,,,443,36088,0x0010,2681,518,
13,18.154.161.80,172.20.146.77,6,TLS,250,14,2024-03-28 01:37:34.566871,1711586254.566871500,,,,,,,,,,443,36088,0x0018,5361,518,TLS_Packet_Captured
14,18.154.161.80,172.20.146.77,6,DATA,1394,15,2024-03-28 01:37:34.566871,1711586254.566871500,,,,,,,,,,443,36088,0x0010,4021,518,
15,172.20.146.77,18.154.161.80,6,TCP,54,16,2024-03-28 01:37:34.566894,1711586254.566894100,,,,,,,,,,36088,443,0x0010,518,2681,
16,172.20.146.77,18.154.161.80,6,TCP,54,17,2024-03-28 01:37:34.566925,1711586254.566925300,,,,,,,,,,36088,443,0x0010,518,4021,
17,172.20.146.77,18.154.161.80,6,TCP,66,18,2024-03-28 01:37:34.566928,1711586254.566927900,,,,,,,,,,36088,443,0x0010,518,4021,
18,172.20.146.77,18.154.161.80,6,TCP,54,19,2024-03-28 01:37:34.566930,1711586254.566929600,,,,,,,,,,36088,443,0x0010,518,5557,
19,172.20.146.77,18.154.161.80,6,TLS,118,20,2024-03-28 01:37:34.569055,1711586254.569054500,,,,,,,,,,36088,443,0x0018,518,5557,TLS_Packet_Captured
20,172.20.146.77,18.154.161.80,6,TLS,224,21,2024-03-28 01:37:34.569322,1711586254.569321600,,,,,,,,,,36088,443,0x0018,582,5557,TLS_Packet_Captured
21,18.154.161.80,172.20.146.77,6,TCP,54,22,2024-03-28 01:37:34.619957,1711586254.619956700,,,,,,,,,,443,36088,0x0010,5557,752,
22,18.154.161.80,172.20.146.77,6,TLS,200,23,2024-03-28 01:37:34.620996,1711586254.620996100,,,,,,,,,,443,36088,0x0018,5557,752,TLS_Packet_Captured
23,172.20.146.77,18.154.161.80,6,TCP,54,24,2024-03-28 01:37:34.621008,1711586254.621007700,,,,,,,,,,36088,443,0x0010,752,5703,
24,172.20.144.1,239.255.255.250,17,SSDP,217,25,2024-03-28 01:37:34.719998,1711586254.719997800,57284,1900,,,,,,,,,,,,,
25,172.20.144.1,239.255.255.250,17,SSDP,211,26,2024-03-28 01:37:34.785865,1711586254.785865300,57288,1900,,,,,,,,,,,,,
26,18.154.161.80,172.20.146.77,6,TLS,2181,27,2024-03-28 01:37:34.818211,1711586254.818211200,,,,,,,,,,443,36088,0x0018,5703,752,TLS_Packet_Captured
