,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,81,1,2024-03-28 01:45:48.382291,1711586748.382291100,www.finance.yahoo.com,,1,0x0001,1,0,0,53547,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,81,2,2024-03-28 01:45:48.382298,1711586748.382298500,www.finance.yahoo.com,,28,0x0001,1,0,0,53547,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,364,3,2024-03-28 01:45:48.486380,1711586748.486379900,www.finance.yahoo.com,www.finance.yahoo.com,1,0x0001,1,5,0,53,53547,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,290,4,2024-03-28 01:45:48.571596,1711586748.571596200,www.finance.yahoo.com,www.finance.yahoo.com,28,0x0001,1,3,0,53,53547,,,,,,
4,172.20.146.77,76.223.84.192,6,TCP,74,5,2024-03-28 01:45:48.571901,1711586748.571901400,,,,,,,,,,49434,443,0x0002,0,0,
5,76.223.84.192,172.20.146.77,6,TCP,66,6,2024-03-28 01:45:48.607856,1711586748.607856300,,,,,,,,,,443,49434,0x0012,0,1,
6,172.20.146.77,76.223.84.192,6,TCP,54,7,2024-03-28 01:45:48.607905,1711586748.607905400,,,,,,,,,,49434,443,0x0010,1,1,
7,172.20.146.77,76.223.84.192,6,TLS,571,8,2024-03-28 01:45:48.662295,1711586748.662295000,,,,,,,,,,49434,443,0x0018,1,1,TLS_Packet_Captured
8,76.223.84.192,172.20.146.77,6,TCP,54,9,2024-03-28 01:45:48.720915,1711586748.720915300,,,,,,,,,,443,49434,0x0010,1,518,
9,76.223.84.192,172.20.146.77,6,TLS,2734,10,2024-03-28 01:45:48.741277,1711586748.741276900,,,,,,,,,,443,49434,0x0010,1,518,TLS_Packet_Captured
10,76.223.84.192,172.20.146.77,6,TCP,130,11,2024-03-28 01:45:48.741277,1711586748.741277100,,,,,,,,,,443,49434,0x0018,4021,518,
11,172.20.146.77,76.223.84.192,6,TCP,54,12,2024-03-28 01:45:48.741294,1711586748.741294500,,,,,,,,,,49434,443,0x0010,518,2681,
12,172.20.146.77,76.223.84.192,6,TCP,66,13,2024-03-28 01:45:48.741327,1711586748.741326800,,,,,,,,,,49434,443,0x0010,518,2681,
13,76.223.84.192,172.20.146.77,6,TCP,1394,14,2024-03-28 01:45:48.743558,1711586748.743558300,,,,,,,,,,443,49434,0x0010,2681,518,
14,76.223.84.192,172.20.146.77,6,TLS,768,15,2024-03-28 01:45:48.743558,1711586748.743558500,,,,,,,,,,443,49434,0x0018,4097,518,TLS_Packet_Captured
15,172.20.146.77,76.223.84.192,6,TCP,54,16,2024-03-28 01:45:48.743603,1711586748.743602900,,,,,,,,,,49434,443,0x0010,518,4097,
16,172.20.146.77,76.223.84.192,6,TCP,54,17,2024-03-28 01:45:48.743608,1711586748.743608200,,,,,,,,,,49434,443,0x0010,518,4811,
17,172.20.146.77,76.223.84.192,6,TLS,118,18,2024-03-28 01:45:48.744940,1711586748.744939900,,,,,,,,,,49434,443,0x0018,518,4811,TLS_Packet_Captured
18,172.20.146.77,76.223.84.192,6,TLS,228,19,2024-03-28 01:45:48.745140,1711586748.745139800,,,,,,,,,,49434,443,0x0018,582,4811,TLS_Packet_Captured
19,76.223.84.192,172.20.146.77,6,TCP,768,20,2024-03-28 01:45:48.748095,1711586748.748094800,,,,,,,,,,443,49434,0x0018,4097,518,
20,172.20.146.77,76.223.84.192,6,TCP,66,21,2024-03-28 01:45:48.748113,1711586748.748113500,,,,,,,,,,49434,443,0x0010,756,4811,
21,76.223.84.192,172.20.146.77,6,TCP,54,22,2024-03-28 01:45:48.780980,1711586748.780979800,,,,,,,,,,443,49434,0x0010,4811,756,
22,76.223.84.192,172.20.146.77,6,TLS,660,23,2024-03-28 01:45:48.811373,1711586748.811373200,,,,,,,,,,443,49434,0x0018,4811,756,TLS_Packet_Captured
23,76.223.84.192,172.20.146.77,6,TLS,773,24,2024-03-28 01:45:48.811373,1711586748.811373400,,,,,,,,,,443,49434,0x0018,5417,756,TLS_Packet_Captured
24,76.223.84.192,172.20.146.77,6,TLS,1376,25,2024-03-28 01:45:48.811373,1711586748.811373400,,,,,,,,,,443,49434,0x0018,6136,756,TLS_Packet_Captured
25,172.20.146.77,76.223.84.192,6,TCP,54,26,2024-03-28 01:45:48.811391,1711586748.811391400,,,,,,,,,,49434,443,0x0010,756,5417,
26,172.20.146.77,76.223.84.192,6,TCP,54,27,2024-03-28 01:45:48.811422,1711586748.811422400,,,,,,,,,,49434,443,0x0010,756,6136,
27,172.20.146.77,76.223.84.192,6,TCP,54,28,2024-03-28 01:45:48.811425,1711586748.811425200,,,,,,,,,,49434,443,0x0010,756,7458,
28,76.223.84.192,172.20.146.77,6,TLS,1376,29,2024-03-28 01:45:48.814712,1711586748.814711600,,,,,,,,,,443,49434,0x0018,7458,756,TLS_Packet_Captured
29,76.223.84.192,172.20.146.77,6,TLS,1921,30,2024-03-28 01:45:48.814712,1711586748.814711800,,,,,,,,,,443,49434,0x0018,8780,756,TLS_Packet_Captured
30,172.20.146.77,76.223.84.192,6,TCP,54,31,2024-03-28 01:45:48.814732,1711586748.814731800,,,,,,,,,,49434,443,0x0010,756,8780,
31,172.20.146.77,76.223.84.192,6,TCP,54,32,2024-03-28 01:45:48.814765,1711586748.814765400,,,,,,,,,,49434,443,0x0010,756,10647,
32,172.20.146.77,172.20.144.1,17,DNS,77,33,2024-03-28 01:45:48.815723,1711586748.815723200,finance.yahoo.com,,1,0x0001,1,0,0,41961,53,,,,,,
33,172.20.146.77,172.20.144.1,17,DNS,77,34,2024-03-28 01:45:48.815729,1711586748.815729100,finance.yahoo.com,,28,0x0001,1,0,0,41961,53,,,,,,
34,172.20.144.1,172.20.146.77,17,DNS,190,35,2024-03-28 01:45:48.870458,1711586748.870457700,finance.yahoo.com,finance.yahoo.com,1,0x0001,1,3,0,53,41961,,,,,,
35,172.20.144.1,172.20.146.77,17,DNS,214,36,2024-03-28 01:45:48.925146,1711586748.925146400,finance.yahoo.com,finance.yahoo.com,28,0x0001,1,3,0,53,41961,,,,,,
36,172.20.146.77,87.248.107.206,6,TCP,74,37,2024-03-28 01:45:48.925443,1711586748.925442800,,,,,,,,,,48798,443,0x0002,0,0,
37,87.248.107.206,172.20.146.77,6,TCP,66,38,2024-03-28 01:45:48.976069,1711586748.976069400,,,,,,,,,,443,48798,0x0012,0,1,
38,172.20.146.77,87.248.107.206,6,TCP,54,39,2024-03-28 01:45:48.976097,1711586748.976096600,,,,,,,,,,48798,443,0x0010,1,1,
39,172.20.146.77,87.248.107.206,6,TLS,571,40,2024-03-28 01:45:49.029141,1711586749.029140900,,,,,,,,,,48798,443,0x0018,1,1,TLS_Packet_Captured
40,87.248.107.206,172.20.146.77,6,TCP,54,41,2024-03-28 01:45:49.082377,1711586749.082377500,,,,,,,,,,443,48798,0x0010,1,518,
41,87.248.107.206,172.20.146.77,6,TLS,2734,42,2024-03-28 01:45:49.087589,1711586749.087588700,,,,,,,,,,443,48798,0x0010,1,518,TLS_Packet_Captured
