,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,75,1,2024-03-28 01:45:10.266704,1711586710.266704300,www.foxnews.com,,1,0x0001,1,0,0,40457,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,75,2,2024-03-28 01:45:10.266713,1711586710.266712800,www.foxnews.com,,28,0x0001,1,0,0,40457,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,258,3,2024-03-28 01:45:10.391865,1711586710.391865600,www.foxnews.com,www.foxnews.com,1,0x0001,1,4,0,53,40457,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,254,4,2024-03-28 01:45:10.479105,1711586710.479105100,www.foxnews.com,www.foxnews.com,28,0x0001,1,3,0,53,40457,,,,,,
4,172.20.146.77,151.21.209.74,6,TCP,74,5,2024-03-28 01:45:10.479365,1711586710.479364600,,,,,,,,,,43450,443,0x0002,0,0,
5,151.21.209.74,172.20.146.77,6,TCP,66,6,2024-03-28 01:45:10.542626,1711586710.542625900,,,,,,,,,,443,43450,0x0012,0,1,
6,172.20.146.77,151.21.209.74,6,TCP,54,7,2024-03-28 01:45:10.542739,1711586710.542739500,,,,,,,,,,43450,443,0x0010,1,1,
7,172.20.146.77,151.21.209.74,6,TLS,571,8,2024-03-28 01:45:10.597060,1711586710.597060300,,,,,,,,,,43450,443,0x0018,1,1,TLS_Packet_Captured
8,151.21.209.74,172.20.146.77,6,TLS,2734,9,2024-03-28 01:45:10.658762,1711586710.658761600,,,,,,,,,,443,43450,0x0018,1,518,TLS_Packet_Captured
9,151.21.209.74,172.20.146.77,6,TLS,515,10,2024-03-28 01:45:10.658762,1711586710.658761800,,,,,,,,,,443,43450,0x0018,2681,518,TLS_Packet_Captured
10,172.20.146.77,151.21.209.74,6,TCP,54,11,2024-03-28 01:45:10.658805,1711586710.658804600,,,,,,,,,,43450,443,0x0010,518,2681,
11,172.20.146.77,151.21.209.74,6,TCP,54,12,2024-03-28 01:45:10.658811,1711586710.658810600,,,,,,,,,,43450,443,0x0010,518,3142,
12,172.20.146.77,151.21.209.74,6,TLS,134,13,2024-03-28 01:45:10.660149,1711586710.660149100,,,,,,,,,,43450,443,0x0018,518,3142,TLS_Packet_Captured
13,172.20.146.77,151.21.209.74,6,TLS,222,14,2024-03-28 01:45:10.660340,1711586710.660340400,,,,,,,,,,43450,443,0x0018,598,3142,TLS_Packet_Captured
14,151.21.209.74,172.20.146.77,6,TCP,54,15,2024-03-28 01:45:10.661602,1711586710.661602300,,,,,,,,,,443,43450,0x0010,1,518,
15,172.20.146.77,151.21.209.74,6,TCP,54,16,2024-03-28 01:45:10.661619,1711586710.661619100,,,,,,,,,,43450,443,0x0010,766,3142,
16,151.21.209.74,172.20.146.77,6,TLS,341,17,2024-03-28 01:45:10.731876,1711586710.731875600,,,,,,,,,,443,43450,0x0018,3142,598,TLS_Packet_Captured
17,151.21.209.74,172.20.146.77,6,TLS,341,18,2024-03-28 01:45:10.731876,1711586710.731875800,,,,,,,,,,443,43450,0x0018,3429,598,TLS_Packet_Captured
18,172.20.146.77,151.21.209.74,6,TCP,54,19,2024-03-28 01:45:10.731898,1711586710.731898200,,,,,,,,,,43450,443,0x0010,766,3429,
19,172.20.146.77,151.21.209.74,6,TCP,54,20,2024-03-28 01:45:10.731929,1711586710.731928800,,,,,,,,,,43450,443,0x0010,766,3716,
20,151.21.209.74,172.20.146.77,6,TLS,2734,21,2024-03-28 01:45:10.768755,1711586710.768755500,,,,,,,,,,443,43450,0x0018,3716,766,TLS_Packet_Captured
21,172.20.146.77,151.21.209.74,6,TCP,54,22,2024-03-28 01:45:10.768776,1711586710.768776500,,,,,,,,,,43450,443,0x0010,766,6396,
22,151.21.209.74,172.20.146.77,6,TCP,2734,23,2024-03-28 01:45:10.776600,1711586710.776599700,,,,,,,,,,443,43450,0x0018,6396,766,
23,151.21.209.74,172.20.146.77,6,TCP,2734,24,2024-03-28 01:45:10.776600,1711586710.776599900,,,,,,,,,,443,43450,0x0018,9076,766,
24,172.20.146.77,151.21.209.74,6,TCP,54,25,2024-03-28 01:45:10.776618,1711586710.776618100,,,,,,,,,,43450,443,0x0010,766,9076,
25,172.20.146.77,151.21.209.74,6,TCP,54,26,2024-03-28 01:45:10.776650,1711586710.776649800,,,,,,,,,,43450,443,0x0010,766,11756,
26,151.21.209.74,172.20.146.77,6,TCP,2734,27,2024-03-28 01:45:10.789450,1711586710.789450300,,,,,,,,,,443,43450,0x0018,11756,766,
27,151.21.209.74,172.20.146.77,6,TCP,1394,28,2024-03-28 01:45:10.789450,1711586710.789450500,,,,,,,,,,443,43450,0x0010,14436,766,
