,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,79,1,2024-03-28 01:42:32.945599,1711586552.945598600,www.news.google.com,,1,0x0001,1,0,0,49638,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,79,2,2024-03-28 01:42:32.945606,1711586552.945605700,www.news.google.com,,28,0x0001,1,0,0,49638,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,158,3,2024-03-28 01:42:32.999568,1711586552.999568200,www.news.google.com,www.news.google.com,1,0x0001,1,2,0,53,49638,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,170,4,2024-03-28 01:42:33.061591,1711586553.061591200,www.news.google.com,www.news.google.com,28,0x0001,1,2,0,53,49638,,,,,,
4,172.20.146.77,142.250.180.174,6,TCP,74,5,2024-03-28 01:42:33.061988,1711586553.061987900,,,,,,,,,,46544,443,0x0002,0,0,
5,142.250.180.174,172.20.146.77,6,TCP,66,6,2024-03-28 01:42:33.100395,1711586553.100394800,,,,,,,,,,443,46544,0x0012,0,1,
6,172.20.146.77,142.250.180.174,6,TCP,54,7,2024-03-28 01:42:33.100503,1711586553.100503000,,,,,,,,,,46544,443,0x0010,1,1,
7,172.20.146.77,142.250.180.174,6,TLS,571,8,2024-03-28 01:42:33.157664,1711586553.157664300,,,,,,,,,,46544,443,0x0018,1,1,TLS_Packet_Captured
8,142.250.180.174,172.20.146.77,6,TCP,54,9,2024-03-28 01:42:33.200338,1711586553.200337700,,,,,,,,,,443,46544,0x0010,1,518,
9,142.250.180.174,172.20.146.77,6,TLS,1394,10,2024-03-28 01:42:33.222162,1711586553.222162300,,,,,,,,,,443,46544,0x0010,1,518,TLS_Packet_Captured
10,172.20.146.77,142.250.180.174,6,TCP,54,11,2024-03-28 01:42:33.222181,1711586553.222180600,,,,,,,,,,46544,443,0x0010,518,1341,
11,142.250.180.174,172.20.146.77,6,TCP,1394,12,2024-03-28 01:42:33.224788,1711586553.224788500,,,,,,,,,,443,46544,0x0018,1341,518,
