,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port
0,23.51.246.151,172.20.146.77,6,TCP,66,1,2024-03-28 01:34:33.985252,1711586073.985251700,443,38640,0x0012,0,1,,,,,,,,,,
1,172.20.146.77,23.51.246.151,6,TCP,54,2,2024-03-28 01:34:33.985401,1711586073.985400600,38640,443,0x0010,1,1,,,,,,,,,,
2,172.20.146.77,23.51.246.151,6,TLS,571,3,2024-03-28 01:34:34.061599,1711586074.061599200,38640,443,0x0018,1,1,TLS_Packet_Captured,,,,,,,,,
3,23.51.246.151,172.20.146.77,6,TCP,54,4,2024-03-28 01:34:34.122415,1711586074.122414800,443,38640,0x0010,1,518,,,,,,,,,,
4,23.51.246.151,172.20.146.77,6,TLS,1394,5,2024-03-28 01:34:34.145926,1711586074.145926000,443,38640,0x0010,1,518,TLS_Packet_Captured,,,,,,,,,
5,172.20.146.77,23.51.246.151,6,TCP,54,6,2024-03-28 01:34:34.145972,1711586074.145971600,38640,443,0x0010,518,1341,,,,,,,,,,
6,23.51.246.151,172.20.146.77,6,TCP,1394,7,2024-03-28 01:34:34.152026,1711586074.152026000,443,38640,0x0018,1341,518,,,,,,,,,,
7,23.51.246.151,172.20.146.77,6,TCP,130,8,2024-03-28 01:34:34.152026,1711586074.152026100,443,38640,0x0018,4021,518,,,,,,,,,,
8,23.51.246.151,172.20.146.77,6,TCP,1394,9,2024-03-28 01:34:34.152026,1711586074.152026200,443,38640,0x0010,2681,518,,,,,,,,,,
9,172.20.146.77,23.51.246.151,6,TCP,54,10,2024-03-28 01:34:34.152043,1711586074.152043300,38640,443,0x0010,518,2681,,,,,,,,,,
10,172.20.146.77,23.51.246.151,6,TCP,66,11,2024-03-28 01:34:34.152052,1711586074.152052000,38640,443,0x0010,518,2681,,,,,,,,,,
11,172.20.146.77,23.51.246.151,6,TCP,54,12,2024-03-28 01:34:34.152055,1711586074.152055100,38640,443,0x0010,518,4097,,,,,,,,,,
12,23.51.246.151,172.20.146.77,6,TLS,63,13,2024-03-28 01:34:34.168808,1711586074.168808300,443,38640,0x0018,5437,518,TLS_Packet_Captured,,,,,,,,,
13,23.51.246.151,172.20.146.77,6,DATA,1394,14,2024-03-28 01:34:34.168809,1711586074.168808700,443,38640,0x0010,4097,518,,,,,,,,,,
14,172.20.146.77,23.51.246.151,6,TCP,66,15,2024-03-28 01:34:34.168827,1711586074.168827200,38640,443,0x0010,518,4097,,,,,,,,,,
15,172.20.146.77,23.51.246.151,6,TCP,54,16,2024-03-28 01:34:34.168836,1711586074.168835800,38640,443,0x0010,518,5446,,,,,,,,,,
16,172.20.146.77,23.51.246.151,6,TLS,180,17,2024-03-28 01:34:34.172913,1711586074.172912900,38640,443,0x0018,518,5446,TLS_Packet_Captured,,,,,,,,,
17,23.51.246.151,172.20.146.77,6,TLS,105,18,2024-03-28 01:34:34.232409,1711586074.232408500,443,38640,0x0018,5446,644,TLS_Packet_Captured,,,,,,,,,
18,172.20.146.77,23.51.246.151,6,TCP,54,19,2024-03-28 01:34:34.232428,1711586074.232428000,38640,443,0x0010,644,5497,,,,,,,,,,
19,172.20.146.77,23.51.246.151,6,TLS,232,20,2024-03-28 01:34:34.232833,1711586074.232833100,38640,443,0x0018,644,5497,TLS_Packet_Captured,,,,,,,,,
20,23.51.246.151,172.20.146.77,6,TLS,2609,21,2024-03-28 01:34:34.288749,1711586074.288749500,443,38640,0x0018,5497,822,TLS_Packet_Captured,,,,,,,,,
21,172.20.146.77,23.51.246.151,6,TCP,54,22,2024-03-28 01:34:34.288770,1711586074.288769700,38640,443,0x0010,822,8052,,,,,,,,,,
22,23.51.246.151,172.20.146.77,6,TLS,1394,23,2024-03-28 01:34:34.288813,1711586074.288812700,443,38640,0x0010,8052,822,TLS_Packet_Captured,,,,,,,,,
23,172.20.146.77,23.51.246.151,6,TCP,54,24,2024-03-28 01:34:34.288817,1711586074.288816700,38640,443,0x0010,822,9392,,,,,,,,,,
24,23.51.246.151,172.20.146.77,6,TCP,1394,25,2024-03-28 01:34:34.295995,1711586074.295995400,443,38640,0x0018,9392,822,,,,,,,,,,
25,23.51.246.151,172.20.146.77,6,TCP,1394,26,2024-03-28 01:34:34.295996,1711586074.295995600,443,38640,0x0010,10732,822,,,,,,,,,,
