,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,71,1,2024-03-28 01:41:20.503196,1711586480.503195600,www.msn.com,,1,0x0001,1,0,0,42737,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,71,2,2024-03-28 01:41:20.503203,1711586480.503202600,www.msn.com,,28,0x0001,1,0,0,42737,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,226,3,2024-03-28 01:41:20.547265,1711586480.547264800,www.msn.com,www.msn.com,1,0x0001,1,3,0,53,42737,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,191,4,2024-03-28 01:41:20.592201,1711586480.592200700,www.msn.com,www.msn.com,28,0x0001,1,2,0,53,42737,,,,,,
4,172.20.146.77,204.79.197.203,6,TCP,74,5,2024-03-28 01:41:20.592459,1711586480.592458900,,,,,,,,,,60200,443,0x0002,0,0,
5,204.79.197.203,172.20.146.77,6,TCP,66,6,2024-03-28 01:41:20.645058,1711586480.645057900,,,,,,,,,,443,60200,0x0012,0,1,
6,172.20.146.77,204.79.197.203,6,TCP,54,7,2024-03-28 01:41:20.645185,1711586480.645185200,,,,,,,,,,60200,443,0x0010,1,1,
7,172.20.146.77,204.79.197.203,6,TLS,571,8,2024-03-28 01:41:20.698679,1711586480.698679500,,,,,,,,,,60200,443,0x0018,1,1,TLS_Packet_Captured
8,204.79.197.203,172.20.146.77,6,TCP,54,9,2024-03-28 01:41:20.741015,1711586480.741015400,,,,,,,,,,443,60200,0x0010,1,518,
9,204.79.197.203,172.20.146.77,6,TLS,2734,10,2024-03-28 01:41:20.749463,1711586480.749462700,,,,,,,,,,443,60200,0x0010,1,518,TLS_Packet_Captured
