,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,72,1,2024-03-28 01:35:52.672873,1711586152.672873600,www.ndtv.com,,1,0x0001,1,0,0,59252,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,72,2,2024-03-28 01:35:52.672881,1711586152.672881000,www.ndtv.com,,28,0x0001,1,0,0,59252,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,100,3,2024-03-28 01:35:52.741196,1711586152.741196400,www.ndtv.com,www.ndtv.com,1,0x0001,1,1,0,53,59252,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,140,4,2024-03-28 01:35:52.824624,1711586152.824624200,www.ndtv.com,www.ndtv.com,28,0x0001,1,2,0,53,59252,,,,,,
4,172.20.146.77,23.10.245.38,6,TCP,74,5,2024-03-28 01:35:52.824957,1711586152.824957100,,,,,,,,,,51198,443,0x0002,0,0,
5,23.10.245.38,172.20.146.77,6,TCP,66,6,2024-03-28 01:35:52.866020,1711586152.866019900,,,,,,,,,,443,51198,0x0012,0,1,
6,172.20.146.77,23.10.245.38,6,TCP,54,7,2024-03-28 01:35:52.866134,1711586152.866134300,,,,,,,,,,51198,443,0x0010,1,1,
7,172.20.146.77,23.10.245.38,6,TLS,571,8,2024-03-28 01:35:52.920191,1711586152.920190600,,,,,,,,,,51198,443,0x0018,1,1,TLS_Packet_Captured
8,23.10.245.38,172.20.146.77,6,TCP,54,9,2024-03-28 01:35:52.970195,1711586152.970195400,,,,,,,,,,443,51198,0x0010,1,518,
9,23.10.245.38,172.20.146.77,6,TLS,2734,10,2024-03-28 01:35:52.981014,1711586152.981013500,,,,,,,,,,443,51198,0x0018,1,518,TLS_Packet_Captured
10,172.20.146.77,23.10.245.38,6,TCP,54,11,2024-03-28 01:35:52.981030,1711586152.981030100,,,,,,,,,,51198,443,0x0010,518,2681,
11,23.10.245.38,172.20.146.77,6,TLS,1050,12,2024-03-28 01:35:52.983476,1711586152.983475900,,,,,,,,,,443,51198,0x0018,2681,518,TLS_Packet_Captured
12,172.20.146.77,23.10.245.38,6,TCP,54,13,2024-03-28 01:35:52.983493,1711586152.983493400,,,,,,,,,,51198,443,0x0010,518,3677,
13,172.20.146.77,23.10.245.38,6,TLS,134,14,2024-03-28 01:35:52.984955,1711586152.984955400,,,,,,,,,,51198,443,0x0018,518,3677,TLS_Packet_Captured
14,172.20.146.77,23.10.245.38,6,TLS,219,15,2024-03-28 01:35:52.985174,1711586152.985174300,,,,,,,,,,51198,443,0x0018,598,3677,TLS_Packet_Captured
15,23.10.245.38,172.20.146.77,6,TLS,341,16,2024-03-28 01:35:53.020908,1711586153.020908100,,,,,,,,,,443,51198,0x0018,3677,763,TLS_Packet_Captured
16,23.10.245.38,172.20.146.77,6,TLS,341,17,2024-03-28 01:35:53.020908,1711586153.020908200,,,,,,,,,,443,51198,0x0018,3964,763,TLS_Packet_Captured
17,172.20.146.77,23.10.245.38,6,TCP,54,18,2024-03-28 01:35:53.020929,1711586153.020929000,,,,,,,,,,51198,443,0x0010,763,3964,
18,172.20.146.77,23.10.245.38,6,TCP,54,19,2024-03-28 01:35:53.020960,1711586153.020960000,,,,,,,,,,51198,443,0x0010,763,4251,
19,23.10.245.38,172.20.146.77,6,TLS,2734,20,2024-03-28 01:35:53.219035,1711586153.219034600,,,,,,,,,,443,51198,0x0018,4251,763,TLS_Packet_Captured
20,172.20.146.77,23.10.245.38,6,TCP,54,21,2024-03-28 01:35:53.219083,1711586153.219083200,,,,,,,,,,51198,443,0x0010,763,6931,
21,23.10.245.38,172.20.146.77,6,TCP,2734,22,2024-03-28 01:35:53.219332,1711586153.219332500,,,,,,,,,,443,51198,0x0018,6931,763,
22,23.10.245.38,172.20.146.77,6,TCP,2734,23,2024-03-28 01:35:53.219333,1711586153.219332600,,,,,,,,,,443,51198,0x0018,9611,763,
23,172.20.146.77,23.10.245.38,6,TCP,54,24,2024-03-28 01:35:53.219340,1711586153.219339500,,,,,,,,,,51198,443,0x0010,763,9611,
24,172.20.146.77,23.10.245.38,6,TCP,54,25,2024-03-28 01:35:53.219362,1711586153.219362000,,,,,,,,,,51198,443,0x0010,763,12291,
25,23.10.245.38,172.20.146.77,6,TCP,2734,26,2024-03-28 01:35:53.219776,1711586153.219775800,,,,,,,,,,443,51198,0x0018,12291,763,
26,23.10.245.38,172.20.146.77,6,TCP,2734,27,2024-03-28 01:35:53.219776,1711586153.219775900,,,,,,,,,,443,51198,0x0018,14971,763,
27,172.20.146.77,23.10.245.38,6,TCP,54,28,2024-03-28 01:35:53.219782,1711586153.219782000,,,,,,,,,,51198,443,0x0010,763,14971,
28,172.20.146.77,23.10.245.38,6,TCP,54,29,2024-03-28 01:35:53.219805,1711586153.219805000,,,,,,,,,,51198,443,0x0010,763,17651,
29,23.10.245.38,172.20.146.77,6,TCP,2734,30,2024-03-28 01:35:53.219990,1711586153.219989500,,,,,,,,,,443,51198,0x0018,17651,763,
30,172.20.146.77,23.10.245.38,6,TCP,54,31,2024-03-28 01:35:53.219996,1711586153.219995900,,,,,,,,,,51198,443,0x0010,763,20331,
31,23.10.245.38,172.20.146.77,6,TLS,2734,32,2024-03-28 01:35:53.220336,1711586153.220335700,,,,,,,,,,443,51198,0x0018,20331,763,TLS_Packet_Captured
32,172.20.146.77,23.10.245.38,6,TCP,54,33,2024-03-28 01:35:53.220341,1711586153.220341300,,,,,,,,,,51198,443,0x0010,763,23011,
