,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,74,1,2024-03-28 01:38:51.458891,1711586331.458891300,www.news18.com,,1,0x0001,1,0,0,41698,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,74,2,2024-03-28 01:38:51.458898,1711586331.458898400,www.news18.com,,28,0x0001,1,0,0,41698,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,104,3,2024-03-28 01:38:51.556231,1711586331.556230900,www.news18.com,www.news18.com,1,0x0001,1,1,0,53,41698,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,144,4,2024-03-28 01:38:51.632340,1711586331.632340400,www.news18.com,www.news18.com,28,0x0001,1,2,0,53,41698,,,,,,
4,172.20.146.77,2.17.141.171,6,TCP,74,5,2024-03-28 01:38:51.632629,1711586331.632628600,,,,,,,,,,53962,443,0x0002,0,0,
5,2.17.141.171,172.20.146.77,6,TCP,66,6,2024-03-28 01:38:51.680398,1711586331.680398400,,,,,,,,,,443,53962,0x0012,0,1,
6,172.20.146.77,2.17.141.171,6,TCP,54,7,2024-03-28 01:38:51.680483,1711586331.680482600,,,,,,,,,,53962,443,0x0010,1,1,
7,172.20.146.77,2.17.141.171,6,TLS,571,8,2024-03-28 01:38:51.746382,1711586331.746382300,,,,,,,,,,53962,443,0x0018,1,1,TLS_Packet_Captured
8,2.17.141.171,172.20.146.77,6,TCP,54,9,2024-03-28 01:38:51.809617,1711586331.809617100,,,,,,,,,,443,53962,0x0010,1,518,
9,2.17.141.171,172.20.146.77,6,TLS,2734,10,2024-03-28 01:38:51.814663,1711586331.814663500,,,,,,,,,,443,53962,0x0018,1,518,TLS_Packet_Captured
10,2.17.141.171,172.20.146.77,6,TCP,130,11,2024-03-28 01:38:51.814664,1711586331.814663700,,,,,,,,,,443,53962,0x0018,4021,518,
