,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.144.1,172.20.159.255,17,DATA,86,1,2024-03-28 01:46:21.016109,1711586781.016109200,57621,57621,,,,,,,,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,78,2,2024-03-28 01:46:21.304677,1711586781.304676900,36214,53,www.news.yahoo.com,,1,0x0001,1,0,0,,,,,,
2,172.20.146.77,172.20.144.1,17,DNS,78,3,2024-03-28 01:46:21.304685,1711586781.304685000,36214,53,www.news.yahoo.com,,28,0x0001,1,0,0,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,358,4,2024-03-28 01:46:21.421593,1711586781.421593200,53,36214,www.news.yahoo.com,www.news.yahoo.com,1,0x0001,1,5,0,,,,,,
4,172.20.144.1,172.20.146.77,17,DNS,284,5,2024-03-28 01:46:21.453807,1711586781.453807300,53,36214,www.news.yahoo.com,www.news.yahoo.com,28,0x0001,1,3,0,,,,,,
5,172.20.146.77,76.223.84.192,6,TCP,74,6,2024-03-28 01:46:21.454117,1711586781.454116900,,,,,,,,,,49526,443,0x0002,0,0,
6,76.223.84.192,172.20.146.77,6,TCP,66,7,2024-03-28 01:46:21.488900,1711586781.488899900,,,,,,,,,,443,49526,0x0012,0,1,
7,172.20.146.77,76.223.84.192,6,TCP,54,8,2024-03-28 01:46:21.488943,1711586781.488943300,,,,,,,,,,49526,443,0x0010,1,1,
8,172.20.146.77,76.223.84.192,6,TLS,571,9,2024-03-28 01:46:21.544735,1711586781.544735100,,,,,,,,,,49526,443,0x0018,1,1,TLS_Packet_Captured
9,76.223.84.192,172.20.146.77,6,TCP,54,10,2024-03-28 01:46:21.591263,1711586781.591263000,,,,,,,,,,443,49526,0x0010,1,518,
10,76.223.84.192,172.20.146.77,6,TLS,4150,11,2024-03-28 01:46:21.623746,1711586781.623746000,,,,,,,,,,443,49526,0x0018,1,518,TLS_Packet_Captured
11,76.223.84.192,172.20.146.77,6,TLS,769,12,2024-03-28 01:46:21.623746,1711586781.623746200,,,,,,,,,,443,49526,0x0018,4097,518,TLS_Packet_Captured
12,172.20.146.77,76.223.84.192,6,TCP,54,13,2024-03-28 01:46:21.623789,1711586781.623789200,,,,,,,,,,49526,443,0x0010,518,4097,
13,172.20.146.77,76.223.84.192,6,TCP,54,14,2024-03-28 01:46:21.623795,1711586781.623794600,,,,,,,,,,49526,443,0x0010,518,4812,
14,172.20.146.77,76.223.84.192,6,TLS,118,15,2024-03-28 01:46:21.625385,1711586781.625384900,,,,,,,,,,49526,443,0x0018,518,4812,TLS_Packet_Captured
15,172.20.146.77,76.223.84.192,6,TLS,225,16,2024-03-28 01:46:21.625587,1711586781.625586600,,,,,,,,,,49526,443,0x0018,582,4812,TLS_Packet_Captured
16,76.223.84.192,172.20.146.77,6,TCP,769,17,2024-03-28 01:46:21.627290,1711586781.627290600,,,,,,,,,,443,49526,0x0018,4097,518,
17,172.20.146.77,76.223.84.192,6,TCP,66,18,2024-03-28 01:46:21.627311,1711586781.627310400,,,,,,,,,,49526,443,0x0010,753,4812,
18,76.223.84.192,172.20.146.77,6,TCP,54,19,2024-03-28 01:46:21.662719,1711586781.662719400,,,,,,,,,,443,49526,0x0010,4812,753,
19,76.223.84.192,172.20.146.77,6,TLS,341,20,2024-03-28 01:46:21.688790,1711586781.688789500,,,,,,,,,,443,49526,0x0018,4812,753,TLS_Packet_Captured
20,76.223.84.192,172.20.146.77,6,TLS,341,21,2024-03-28 01:46:21.688790,1711586781.688789700,,,,,,,,,,443,49526,0x0018,5099,753,TLS_Packet_Captured
21,172.20.146.77,76.223.84.192,6,TCP,54,22,2024-03-28 01:46:21.688807,1711586781.688807200,,,,,,,,,,49526,443,0x0010,753,5099,
22,172.20.146.77,76.223.84.192,6,TCP,54,23,2024-03-28 01:46:21.688840,1711586781.688839800,,,,,,,,,,49526,443,0x0010,753,5386,
23,76.223.84.192,172.20.146.77,6,TLS,2096,24,2024-03-28 01:46:21.695340,1711586781.695339700,,,,,,,,,,443,49526,0x0018,5386,753,TLS_Packet_Captured
24,76.223.84.192,172.20.146.77,6,TLS,1376,25,2024-03-28 01:46:21.695340,1711586781.695339900,,,,,,,,,,443,49526,0x0018,7428,753,TLS_Packet_Captured
25,76.223.84.192,172.20.146.77,6,TLS,1918,26,2024-03-28 01:46:21.695340,1711586781.695339900,,,,,,,,,,443,49526,0x0018,8750,753,TLS_Packet_Captured
26,172.20.146.77,76.223.84.192,6,TCP,54,27,2024-03-28 01:46:21.695358,1711586781.695357900,,,,,,,,,,49526,443,0x0010,753,7428,
27,172.20.146.77,76.223.84.192,6,TCP,54,28,2024-03-28 01:46:21.695390,1711586781.695389700,,,,,,,,,,49526,443,0x0010,753,8750,
28,172.20.146.77,76.223.84.192,6,TCP,54,29,2024-03-28 01:46:21.695393,1711586781.695392500,,,,,,,,,,49526,443,0x0010,753,10614,
29,172.20.146.77,172.20.144.1,17,DNS,73,30,2024-03-28 01:46:21.696547,1711586781.696547000,44752,53,www.yahoo.com,,1,0x0001,1,0,0,,,,,,
30,172.20.146.77,172.20.144.1,17,DNS,73,31,2024-03-28 01:46:21.696553,1711586781.696552700,44752,53,www.yahoo.com,,28,0x0001,1,0,0,,,,,,
31,172.20.144.1,172.20.146.77,17,DNS,194,32,2024-03-28 01:46:21.728409,1711586781.728408700,53,44752,www.yahoo.com,www.yahoo.com,1,0x0001,1,3,0,,,,,,
32,172.20.144.1,172.20.146.77,17,DNS,218,33,2024-03-28 01:46:21.780347,1711586781.780346800,53,44752,www.yahoo.com,www.yahoo.com,28,0x0001,1,3,0,,,,,,
33,172.20.146.77,87.248.107.206,6,TCP,74,34,2024-03-28 01:46:21.780614,1711586781.780614100,,,,,,,,,,48890,443,0x0002,0,0,
34,87.248.107.206,172.20.146.77,6,TCP,66,35,2024-03-28 01:46:21.831743,1711586781.831743000,,,,,,,,,,443,48890,0x0012,0,1,
35,172.20.146.77,87.248.107.206,6,TCP,54,36,2024-03-28 01:46:21.831791,1711586781.831791300,,,,,,,,,,48890,443,0x0010,1,1,
36,172.20.146.77,87.248.107.206,6,TLS,571,37,2024-03-28 01:46:21.884974,1711586781.884974300,,,,,,,,,,48890,443,0x0018,1,1,TLS_Packet_Captured
37,87.248.107.206,172.20.146.77,6,TCP,54,38,2024-03-28 01:46:21.953119,1711586781.953118700,,,,,,,,,,443,48890,0x0010,1,518,
38,87.248.107.206,172.20.146.77,6,TLS,4150,39,2024-03-28 01:46:21.953119,1711586781.953119100,,,,,,,,,,443,48890,0x0018,1,518,TLS_Packet_Captured
39,87.248.107.206,172.20.146.77,6,TLS,738,40,2024-03-28 01:46:21.953119,1711586781.953119100,,,,,,,,,,443,48890,0x0018,4097,518,TLS_Packet_Captured
40,172.20.146.77,87.248.107.206,6,TCP,54,41,2024-03-28 01:46:21.953170,1711586781.953170400,,,,,,,,,,48890,443,0x0010,518,4097,
41,172.20.146.77,87.248.107.206,6,TCP,54,42,2024-03-28 01:46:21.953176,1711586781.953176500,,,,,,,,,,48890,443,0x0010,518,4781,
42,172.20.146.77,87.248.107.206,6,TLS,118,43,2024-03-28 01:46:21.954778,1711586781.954777600,,,,,,,,,,48890,443,0x0018,518,4781,TLS_Packet_Captured
43,172.20.146.77,87.248.107.206,6,TLS,225,44,2024-03-28 01:46:21.954948,1711586781.954947800,,,,,,,,,,48890,443,0x0018,582,4781,TLS_Packet_Captured
44,87.248.107.206,172.20.146.77,6,TLS,341,45,2024-03-28 01:46:22.001294,1711586782.001293600,,,,,,,,,,443,48890,0x0018,4781,582,TLS_Packet_Captured
45,87.248.107.206,172.20.146.77,6,TLS,341,46,2024-03-28 01:46:22.001294,1711586782.001293800,,,,,,,,,,443,48890,0x0018,5068,582,TLS_Packet_Captured
46,172.20.146.77,87.248.107.206,6,TCP,54,47,2024-03-28 01:46:22.001316,1711586782.001316400,,,,,,,,,,48890,443,0x0010,753,5068,
47,172.20.146.77,87.248.107.206,6,TCP,54,48,2024-03-28 01:46:22.001348,1711586782.001347600,,,,,,,,,,48890,443,0x0010,753,5355,
48,87.248.107.206,172.20.146.77,6,TCP,54,49,2024-03-28 01:46:22.041217,1711586782.041217100,,,,,,,,,,443,48890,0x0010,5355,753,
49,87.248.107.206,172.20.146.77,6,TLS,1376,50,2024-03-28 01:46:22.189922,1711586782.189921800,,,,,,,,,,443,48890,0x0018,5355,753,TLS_Packet_Captured
50,172.20.146.77,87.248.107.206,6,TCP,54,51,2024-03-28 01:46:22.189940,1711586782.189940100,,,,,,,,,,48890,443,0x0010,753,6677,
51,87.248.107.206,172.20.146.77,6,TLS,142,52,2024-03-28 01:46:22.190236,1711586782.190236200,,,,,,,,,,443,48890,0x0018,6677,753,TLS_Packet_Captured
52,172.20.146.77,87.248.107.206,6,TCP,54,53,2024-03-28 01:46:22.190243,1711586782.190243400,,,,,,,,,,48890,443,0x0010,753,6765,
53,87.248.107.206,172.20.146.77,6,TLS,1240,54,2024-03-28 01:46:22.192348,1711586782.192347700,,,,,,,,,,443,48890,0x0018,6765,753,TLS_Packet_Captured
54,172.20.146.77,87.248.107.206,6,TCP,54,55,2024-03-28 01:46:22.192367,1711586782.192367300,,,,,,,,,,48890,443,0x0010,753,7951,
55,87.248.107.206,172.20.146.77,6,TLS,1376,56,2024-03-28 01:46:22.206983,1711586782.206982900,,,,,,,,,,443,48890,0x0018,7951,753,TLS_Packet_Captured
56,87.248.107.206,172.20.146.77,6,TLS,342,57,2024-03-28 01:46:22.206983,1711586782.206983100,,,,,,,,,,443,48890,0x0018,9273,753,TLS_Packet_Captured
57,87.248.107.206,172.20.146.77,6,TLS,1376,58,2024-03-28 01:46:22.206983,1711586782.206983200,,,,,,,,,,443,48890,0x0018,9561,753,TLS_Packet_Captured
58,87.248.107.206,172.20.146.77,6,TLS,2698,59,2024-03-28 01:46:22.206983,1711586782.206983200,,,,,,,,,,443,48890,0x0018,10883,753,TLS_Packet_Captured
59,87.248.107.206,172.20.146.77,6,TLS,5414,60,2024-03-28 01:46:22.206983,1711586782.206983200,,,,,,,,,,443,48890,0x0010,13527,753,TLS_Packet_Captured
60,172.20.146.77,87.248.107.206,6,TCP,54,61,2024-03-28 01:46:22.207014,1711586782.207013600,,,,,,,,,,48890,443,0x0010,753,9273,
61,172.20.146.77,87.248.107.206,6,TCP,54,62,2024-03-28 01:46:22.207040,1711586782.207040300,,,,,,,,,,48890,443,0x0010,753,9561,
62,172.20.146.77,87.248.107.206,6,TCP,54,63,2024-03-28 01:46:22.207043,1711586782.207043300,,,,,,,,,,48890,443,0x0010,753,10883,
63,172.20.146.77,87.248.107.206,6,TCP,54,64,2024-03-28 01:46:22.207045,1711586782.207044900,,,,,,,,,,48890,443,0x0010,753,13527,
64,172.20.146.77,87.248.107.206,6,TCP,54,65,2024-03-28 01:46:22.207048,1711586782.207047800,,,,,,,,,,48890,443,0x0010,753,18887,
65,87.248.107.206,172.20.146.77,6,TLS,2734,66,2024-03-28 01:46:22.209504,1711586782.209503700,,,,,,,,,,443,48890,0x0010,18887,753,TLS_Packet_Captured
66,172.20.146.77,87.248.107.206,6,TCP,54,67,2024-03-28 01:46:22.209524,1711586782.209524300,,,,,,,,,,48890,443,0x0010,753,21567,
67,87.248.107.206,172.20.146.77,6,TLS,2734,68,2024-03-28 01:46:22.209747,1711586782.209747100,,,,,,,,,,443,48890,0x0010,21567,753,TLS_Packet_Captured
68,172.20.146.77,87.248.107.206,6,TCP,54,69,2024-03-28 01:46:22.209756,1711586782.209756000,,,,,,,,,,48890,443,0x0010,753,24247,
69,87.248.107.206,172.20.146.77,6,TLS,1394,70,2024-03-28 01:46:22.216689,1711586782.216688900,,,,,,,,,,443,48890,0x0010,24247,753,TLS_Packet_Captured
