,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,74,1,2024-03-28 01:39:24.406306,1711586364.406306000,www.nypost.com,,1,0x0001,1,0,0,34160,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,74,2,2024-03-28 01:39:24.406321,1711586364.406320700,www.nypost.com,,28,0x0001,1,0,0,34160,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,104,3,2024-03-28 01:39:24.441787,1711586364.441787100,www.nypost.com,www.nypost.com,1,0x0001,1,1,0,53,34160,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,74,4,2024-03-28 01:39:24.493402,1711586364.493401800,www.nypost.com,,28,0x0001,1,0,0,53,34160,,,,,,
4,172.20.146.77,192.0.66.32,6,TCP,74,5,2024-03-28 01:39:24.493757,1711586364.493757200,,,,,,,,,,47434,443,0x0002,0,0,
5,192.0.66.32,172.20.146.77,6,TCP,66,6,2024-03-28 01:39:24.536932,1711586364.536932400,,,,,,,,,,443,47434,0x0012,0,1,
6,172.20.146.77,192.0.66.32,6,TCP,54,7,2024-03-28 01:39:24.537044,1711586364.537044000,,,,,,,,,,47434,443,0x0010,1,1,
7,172.20.146.77,192.0.66.32,6,TLS,571,8,2024-03-28 01:39:24.590266,1711586364.590265900,,,,,,,,,,47434,443,0x0018,1,1,TLS_Packet_Captured
8,192.0.66.32,172.20.146.77,6,TCP,54,9,2024-03-28 01:39:24.648281,1711586364.648280700,,,,,,,,,,443,47434,0x0010,1,518,
9,192.0.66.32,172.20.146.77,6,TLS,1394,10,2024-03-28 01:39:24.650410,1711586364.650409900,,,,,,,,,,443,47434,0x0010,1,518,TLS_Packet_Captured
10,192.0.66.32,172.20.146.77,6,TLS,141,11,2024-03-28 01:39:24.650410,1711586364.650410100,,,,,,,,,,443,47434,0x0018,2681,518,TLS_Packet_Captured
11,192.0.66.32,172.20.146.77,6,DATA,1394,12,2024-03-28 01:39:24.650410,1711586364.650410100,,,,,,,,,,443,47434,0x0018,1341,518,
12,172.20.146.77,192.0.66.32,6,TCP,54,13,2024-03-28 01:39:24.650428,1711586364.650428000,,,,,,,,,,47434,443,0x0010,518,1341,
13,172.20.146.77,192.0.66.32,6,TCP,66,14,2024-03-28 01:39:24.650487,1711586364.650487000,,,,,,,,,,47434,443,0x0010,518,1341,
14,172.20.146.77,192.0.66.32,6,TCP,54,15,2024-03-28 01:39:24.650493,1711586364.650492800,,,,,,,,,,47434,443,0x0010,518,2768,
