,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,75,1,2024-03-28 01:43:54.894707,1711586634.894706900,www.nytimes.com,,1,0x0001,1,0,0,46587,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,75,2,2024-03-28 01:43:54.894715,1711586634.894715100,www.nytimes.com,,28,0x0001,1,0,0,46587,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,302,3,2024-03-28 01:43:54.935383,1711586634.935383200,www.nytimes.com,www.nytimes.com,1,0x0001,1,4,0,53,46587,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,264,4,2024-03-28 01:43:54.978762,1711586634.978762500,www.nytimes.com,www.nytimes.com,28,0x0001,1,3,0,53,46587,,,,,,
4,172.20.146.77,146.75.53.164,6,TCP,74,5,2024-03-28 01:43:54.978950,1711586634.978950000,,,,,,,,,,57710,443,0x0002,0,0,
5,146.75.53.164,172.20.146.77,6,TCP,66,6,2024-03-28 01:43:55.034638,1711586635.034638400,,,,,,,,,,443,57710,0x0012,0,1,
6,172.20.146.77,146.75.53.164,6,TCP,54,7,2024-03-28 01:43:55.034756,1711586635.034756200,,,,,,,,,,57710,443,0x0010,1,1,
7,172.20.146.77,146.75.53.164,6,TLS,571,8,2024-03-28 01:43:55.089346,1711586635.089346300,,,,,,,,,,57710,443,0x0018,1,1,TLS_Packet_Captured
8,146.75.53.164,172.20.146.77,6,TLS,2734,9,2024-03-28 01:43:55.248980,1711586635.248980100,,,,,,,,,,443,57710,0x0018,1,518,TLS_Packet_Captured
9,146.75.53.164,172.20.146.77,6,TLS,1065,10,2024-03-28 01:43:55.248980,1711586635.248980300,,,,,,,,,,443,57710,0x0018,2681,518,TLS_Packet_Captured
10,172.20.146.77,146.75.53.164,6,TCP,54,11,2024-03-28 01:43:55.249037,1711586635.249037300,,,,,,,,,,57710,443,0x0010,518,2681,
11,172.20.146.77,146.75.53.164,6,TCP,54,12,2024-03-28 01:43:55.249044,1711586635.249044200,,,,,,,,,,57710,443,0x0010,518,3692,
12,172.20.146.77,146.75.53.164,6,TLS,147,13,2024-03-28 01:43:55.250495,1711586635.250494700,,,,,,,,,,57710,443,0x0018,518,3692,TLS_Packet_Captured
13,146.75.53.164,172.20.146.77,6,TCP,54,14,2024-03-28 01:43:55.259482,1711586635.259481700,,,,,,,,,,443,57710,0x0010,1,518,
14,172.20.146.77,146.75.53.164,6,TCP,54,15,2024-03-28 01:43:55.259498,1711586635.259498400,,,,,,,,,,57710,443,0x0010,611,3692,
