,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,79,1,2024-03-28 01:44:32.428927,1711586672.428927200,www.theguardian.com,,1,0x0001,1,0,0,46700,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,79,2,2024-03-28 01:44:32.428935,1711586672.428934500,www.theguardian.com,,28,0x0001,1,0,0,46700,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,194,3,2024-03-28 01:44:32.525176,1711586672.525175600,www.theguardian.com,www.theguardian.com,1,0x0001,1,2,0,53,46700,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,206,4,2024-03-28 01:44:32.579298,1711586672.579298300,www.theguardian.com,www.theguardian.com,28,0x0001,1,2,0,53,46700,,,,,,
4,172.20.146.77,146.75.53.111,6,TCP,74,5,2024-03-28 01:44:32.579553,1711586672.579552800,,,,,,,,,,55842,443,0x0002,0,0,
5,146.75.53.111,172.20.146.77,6,TCP,66,6,2024-03-28 01:44:32.621763,1711586672.621762900,,,,,,,,,,443,55842,0x0012,0,1,
6,172.20.146.77,146.75.53.111,6,TCP,54,7,2024-03-28 01:44:32.621900,1711586672.621899500,,,,,,,,,,55842,443,0x0010,1,1,
7,172.20.146.77,146.75.53.111,6,TLS,571,8,2024-03-28 01:44:32.675959,1711586672.675958900,,,,,,,,,,55842,443,0x0018,1,1,TLS_Packet_Captured
8,146.75.53.111,172.20.146.77,6,TLS,2734,9,2024-03-28 01:44:32.760052,1711586672.760052200,,,,,,,,,,443,55842,0x0018,1,518,TLS_Packet_Captured
9,146.75.53.111,172.20.146.77,6,TLS,363,10,2024-03-28 01:44:32.760052,1711586672.760052400,,,,,,,,,,443,55842,0x0018,4021,518,TLS_Packet_Captured
10,146.75.53.111,172.20.146.77,6,DATA,1394,11,2024-03-28 01:44:32.760052,1711586672.760052500,,,,,,,,,,443,55842,0x0010,2681,518,
11,172.20.146.77,146.75.53.111,6,TCP,54,12,2024-03-28 01:44:32.760101,1711586672.760101200,,,,,,,,,,55842,443,0x0010,518,2681,
12,172.20.146.77,146.75.53.111,6,TCP,66,13,2024-03-28 01:44:32.760107,1711586672.760106800,,,,,,,,,,55842,443,0x0010,518,2681,
13,172.20.146.77,146.75.53.111,6,TCP,54,14,2024-03-28 01:44:32.760109,1711586672.760108900,,,,,,,,,,55842,443,0x0010,518,4330,
14,146.75.53.111,172.20.146.77,6,TCP,54,15,2024-03-28 01:44:32.760226,1711586672.760226500,,,,,,,,,,443,55842,0x0010,1,518,
15,172.20.146.77,146.75.53.111,6,TCP,54,16,2024-03-28 01:44:32.760232,1711586672.760232100,,,,,,,,,,55842,443,0x0010,518,4330,
16,172.20.146.77,146.75.53.111,6,TLS,118,17,2024-03-28 01:44:32.761360,1711586672.761360000,,,,,,,,,,55842,443,0x0018,518,4330,TLS_Packet_Captured
17,172.20.146.77,146.75.53.111,6,TLS,226,18,2024-03-28 01:44:32.762068,1711586672.762067900,,,,,,,,,,55842,443,0x0018,582,4330,TLS_Packet_Captured
18,146.75.53.111,172.20.146.77,6,TLS,57,19,2024-03-28 01:44:32.814141,1711586672.814140900,,,,,,,,,,443,55842,0x0018,5670,754,TLS_Packet_Captured
19,172.20.146.77,146.75.53.111,6,TCP,66,20,2024-03-28 01:44:32.814162,1711586672.814162300,,,,,,,,,,55842,443,0x0010,754,4330,
20,146.75.53.111,172.20.146.77,6,TLS,1394,21,2024-03-28 01:44:32.814578,1711586672.814578200,,,,,,,,,,443,55842,0x0010,4330,754,TLS_Packet_Captured
21,146.75.53.111,172.20.146.77,6,TLS,78,22,2024-03-28 01:44:32.814578,1711586672.814578400,,,,,,,,,,443,55842,0x0018,5673,754,TLS_Packet_Captured
22,172.20.146.77,146.75.53.111,6,TCP,54,23,2024-03-28 01:44:32.814654,1711586672.814654100,,,,,,,,,,55842,443,0x0010,754,5673,
23,172.20.146.77,146.75.53.111,6,TCP,54,24,2024-03-28 01:44:32.814661,1711586672.814660900,,,,,,,,,,55842,443,0x0010,754,5697,
24,146.75.53.111,172.20.146.77,6,TCP,54,25,2024-03-28 01:44:32.814854,1711586672.814853900,,,,,,,,,,443,55842,0x0011,5697,754,
25,172.20.146.77,146.75.53.111,6,TCP,54,26,2024-03-28 01:44:32.815526,1711586672.815526000,,,,,,,,,,55842,443,0x0014,754,5698,
26,172.20.146.77,172.20.144.1,17,DNS,79,27,2024-03-28 01:44:32.816816,1711586672.816815500,www.theguardian.com,,1,0x0001,1,0,0,41066,53,,,,,,
27,172.20.146.77,172.20.144.1,17,DNS,79,28,2024-03-28 01:44:32.816819,1711586672.816819000,www.theguardian.com,,28,0x0001,1,0,0,41066,53,,,,,,
28,146.75.53.111,172.20.146.77,6,TCP,54,29,2024-03-28 01:44:32.820461,1711586672.820460700,,,,,,,,,,443,55842,0x0010,4330,582,
29,146.75.53.111,172.20.146.77,6,TCP,54,30,2024-03-28 01:44:32.820461,1711586672.820460900,,,,,,,,,,443,55842,0x0010,4330,754,
30,172.20.146.77,146.75.53.111,6,TCP,54,31,2024-03-28 01:44:32.820601,1711586672.820600600,,,,,,,,,,55842,443,0x0004,582,0,
31,172.20.146.77,146.75.53.111,6,TCP,54,32,2024-03-28 01:44:32.820609,1711586672.820608800,,,,,,,,,,55842,443,0x0004,754,0,
32,172.20.144.1,172.20.146.77,17,DNS,194,33,2024-03-28 01:44:32.914994,1711586672.914993600,www.theguardian.com,www.theguardian.com,1,0x0001,1,2,0,53,41066,,,,,,
33,172.20.144.1,172.20.146.77,17,DNS,206,34,2024-03-28 01:44:32.915586,1711586672.915586200,www.theguardian.com,www.theguardian.com,28,0x0001,1,2,0,53,41066,,,,,,
34,172.20.146.77,146.75.61.111,6,TCP,74,35,2024-03-28 01:44:32.915797,1711586672.915796600,,,,,,,,,,41560,443,0x0002,0,0,
35,146.75.61.111,172.20.146.77,6,TCP,66,36,2024-03-28 01:44:32.961140,1711586672.961139900,,,,,,,,,,443,41560,0x0012,0,1,
