,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,80,1,2024-03-28 01:37:03.279749,1711586223.279748800,www.timesofindia.com,,1,0x0001,1,0,0,59791,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,80,2,2024-03-28 01:37:03.279756,1711586223.279756100,www.timesofindia.com,,28,0x0001,1,0,0,59791,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,260,3,2024-03-28 01:37:03.346243,1711586223.346243400,www.timesofindia.com,www.timesofindia.com,1,0x0001,1,3,0,53,59791,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,300,4,2024-03-28 01:37:03.441658,1711586223.441658600,www.timesofindia.com,www.timesofindia.com,28,0x0001,1,4,0,53,59791,,,,,,
4,172.20.146.77,23.13.51.132,6,TCP,74,5,2024-03-28 01:37:03.441972,1711586223.441971600,,,,,,,,,,40032,443,0x0002,0,0,
5,23.13.51.132,172.20.146.77,6,TCP,66,6,2024-03-28 01:37:03.490069,1711586223.490069200,,,,,,,,,,443,40032,0x0012,0,1,
6,172.20.146.77,23.13.51.132,6,TCP,54,7,2024-03-28 01:37:03.490153,1711586223.490152800,,,,,,,,,,40032,443,0x0010,1,1,
7,172.20.146.77,23.13.51.132,6,TLS,571,8,2024-03-28 01:37:03.542633,1711586223.542632700,,,,,,,,,,40032,443,0x0018,1,1,TLS_Packet_Captured
8,23.13.51.132,172.20.146.77,6,TCP,54,9,2024-03-28 01:37:03.601714,1711586223.601713700,,,,,,,,,,443,40032,0x0010,1,518,
9,23.13.51.132,172.20.146.77,6,TLS,2734,10,2024-03-28 01:37:03.601714,1711586223.601713900,,,,,,,,,,443,40032,0x0018,1,518,TLS_Packet_Captured
10,23.13.51.132,172.20.146.77,6,TCP,130,11,2024-03-28 01:37:03.601714,1711586223.601714000,,,,,,,,,,443,40032,0x0018,4021,518,
11,23.13.51.132,172.20.146.77,6,TCP,1394,12,2024-03-28 01:37:03.601714,1711586223.601714000,,,,,,,,,,443,40032,0x0010,2681,518,
12,172.20.146.77,23.13.51.132,6,TCP,54,13,2024-03-28 01:37:03.601737,1711586223.601737500,,,,,,,,,,40032,443,0x0010,518,2681,
13,172.20.146.77,23.13.51.132,6,TCP,66,14,2024-03-28 01:37:03.601768,1711586223.601767800,,,,,,,,,,40032,443,0x0010,518,2681,
14,172.20.146.77,23.13.51.132,6,TCP,54,15,2024-03-28 01:37:03.601771,1711586223.601771100,,,,,,,,,,40032,443,0x0010,518,4097,
15,23.13.51.132,172.20.146.77,6,TLS,1664,16,2024-03-28 01:37:03.622753,1711586223.622752800,,,,,,,,,,443,40032,0x0018,4097,518,TLS_Packet_Captured
16,172.20.146.77,23.13.51.132,6,TCP,54,17,2024-03-28 01:37:03.622769,1711586223.622769400,,,,,,,,,,40032,443,0x0010,518,5707,
17,172.20.146.77,23.13.51.132,6,TLS,134,18,2024-03-28 01:37:03.624129,1711586223.624128900,,,,,,,,,,40032,443,0x0018,518,5707,TLS_Packet_Captured
18,172.20.146.77,23.13.51.132,6,TLS,227,19,2024-03-28 01:37:03.624300,1711586223.624300200,,,,,,,,,,40032,443,0x0018,598,5707,TLS_Packet_Captured
19,23.13.51.132,172.20.146.77,6,TLS,341,20,2024-03-28 01:37:03.670321,1711586223.670320800,,,,,,,,,,443,40032,0x0018,5707,598,TLS_Packet_Captured
20,23.13.51.132,172.20.146.77,6,TLS,341,21,2024-03-28 01:37:03.670321,1711586223.670321000,,,,,,,,,,443,40032,0x0018,5994,598,TLS_Packet_Captured
21,172.20.146.77,23.13.51.132,6,TCP,54,22,2024-03-28 01:37:03.670342,1711586223.670341900,,,,,,,,,,40032,443,0x0010,771,5994,
22,172.20.146.77,23.13.51.132,6,TCP,54,23,2024-03-28 01:37:03.670373,1711586223.670373400,,,,,,,,,,40032,443,0x0010,771,6281,
23,23.13.51.132,172.20.146.77,6,TLS,649,24,2024-03-28 01:37:03.703339,1711586223.703339400,,,,,,,,,,443,40032,0x0018,6281,771,TLS_Packet_Captured
24,172.20.146.77,23.13.51.132,6,TCP,54,25,2024-03-28 01:37:03.703360,1711586223.703359500,,,,,,,,,,40032,443,0x0010,771,6876,
25,172.20.146.77,172.20.144.1,17,DNS,87,26,2024-03-28 01:37:03.704492,1711586223.704491900,timesofindia.indiatimes.com,,1,0x0001,1,0,0,45196,53,,,,,,
26,172.20.146.77,172.20.144.1,17,DNS,87,27,2024-03-28 01:37:03.704499,1711586223.704498500,timesofindia.indiatimes.com,,28,0x0001,1,0,0,45196,53,,,,,,
27,172.20.144.1,172.20.146.77,17,DNS,312,28,2024-03-28 01:37:03.788109,1711586223.788109000,timesofindia.indiatimes.com,timesofindia.indiatimes.com,1,0x0001,1,4,0,53,45196,,,,,,
28,172.20.144.1,172.20.146.77,17,DNS,336,29,2024-03-28 01:37:03.848536,1711586223.848535600,timesofindia.indiatimes.com,timesofindia.indiatimes.com,28,0x0001,1,4,0,53,45196,,,,,,
29,172.20.146.77,2.16.135.178,6,TCP,74,30,2024-03-28 01:37:03.848887,1711586223.848887400,,,,,,,,,,34756,443,0x0002,0,0,
30,2.16.135.178,172.20.146.77,6,TCP,66,31,2024-03-28 01:37:03.893571,1711586223.893571400,,,,,,,,,,443,34756,0x0012,0,1,
31,172.20.146.77,2.16.135.178,6,TCP,54,32,2024-03-28 01:37:03.893670,1711586223.893670400,,,,,,,,,,34756,443,0x0010,1,1,
32,172.20.146.77,2.16.135.178,6,TLS,571,33,2024-03-28 01:37:03.947038,1711586223.947038100,,,,,,,,,,34756,443,0x0018,1,1,TLS_Packet_Captured
33,2.16.135.178,172.20.146.77,6,TCP,54,34,2024-03-28 01:37:04.002995,1711586224.002995100,,,,,,,,,,443,34756,0x0010,1,518,
34,2.16.135.178,172.20.146.77,6,TLS,2734,35,2024-03-28 01:37:04.002995,1711586224.002995300,,,,,,,,,,443,34756,0x0018,1,518,TLS_Packet_Captured
35,2.16.135.178,172.20.146.77,6,TLS,711,36,2024-03-28 01:37:04.002995,1711586224.002995300,,,,,,,,,,443,34756,0x0018,2681,518,TLS_Packet_Captured
36,172.20.146.77,2.16.135.178,6,TCP,54,37,2024-03-28 01:37:04.003020,1711586224.003020300,,,,,,,,,,34756,443,0x0010,518,2681,
37,172.20.146.77,2.16.135.178,6,TCP,54,38,2024-03-28 01:37:04.003031,1711586224.003030800,,,,,,,,,,34756,443,0x0010,518,3338,
38,172.20.146.77,2.16.135.178,6,TLS,134,39,2024-03-28 01:37:04.004459,1711586224.004458600,,,,,,,,,,34756,443,0x0018,518,3338,TLS_Packet_Captured
39,172.20.146.77,2.16.135.178,6,TLS,234,40,2024-03-28 01:37:04.004630,1711586224.004630400,,,,,,,,,,34756,443,0x0018,598,3338,TLS_Packet_Captured
40,2.16.135.178,172.20.146.77,6,TLS,357,41,2024-03-28 01:37:04.074770,1711586224.074770000,,,,,,,,,,443,34756,0x0018,3338,598,TLS_Packet_Captured
41,2.16.135.178,172.20.146.77,6,TLS,357,42,2024-03-28 01:37:04.074770,1711586224.074770100,,,,,,,,,,443,34756,0x0018,3641,598,TLS_Packet_Captured
42,172.20.146.77,2.16.135.178,6,TCP,54,43,2024-03-28 01:37:04.074791,1711586224.074791100,,,,,,,,,,34756,443,0x0010,778,3641,
43,172.20.146.77,2.16.135.178,6,TCP,54,44,2024-03-28 01:37:04.074800,1711586224.074799500,,,,,,,,,,34756,443,0x0010,778,3944,
44,2.16.135.178,172.20.146.77,6,TCP,54,45,2024-03-28 01:37:04.129660,1711586224.129660400,,,,,,,,,,443,34756,0x0010,3944,778,
45,2.16.135.178,172.20.146.77,6,TLS,1394,46,2024-03-28 01:37:04.166781,1711586224.166781400,,,,,,,,,,443,34756,0x0010,3944,778,TLS_Packet_Captured
46,2.16.135.178,172.20.146.77,6,TLS,108,47,2024-03-28 01:37:04.166782,1711586224.166781600,,,,,,,,,,443,34756,0x0018,6619,778,TLS_Packet_Captured
47,172.20.146.77,2.16.135.178,6,TCP,54,48,2024-03-28 01:37:04.166799,1711586224.166799100,,,,,,,,,,34756,443,0x0010,778,5284,
48,172.20.146.77,2.16.135.178,6,TCP,66,49,2024-03-28 01:37:04.166808,1711586224.166808300,,,,,,,,,,34756,443,0x0010,778,5284,
49,2.16.135.178,172.20.146.77,6,DATA,1389,50,2024-03-28 01:37:04.167095,1711586224.167095300,,,,,,,,,,443,34756,0x0018,5284,778,
50,172.20.146.77,2.16.135.178,6,TCP,54,51,2024-03-28 01:37:04.167103,1711586224.167102800,,,,,,,,,,34756,443,0x0010,778,6673,
51,2.16.135.178,172.20.146.77,6,TLS,2734,52,2024-03-28 01:37:04.181035,1711586224.181035000,,,,,,,,,,443,34756,0x0018,6673,778,TLS_Packet_Captured
52,172.20.146.77,2.16.135.178,6,TCP,54,53,2024-03-28 01:37:04.181091,1711586224.181090500,,,,,,,,,,34756,443,0x0010,778,9353,
53,2.16.135.178,172.20.146.77,6,TLS,2223,54,2024-03-28 01:37:04.181588,1711586224.181588000,,,,,,,,,,443,34756,0x0018,9353,778,TLS_Packet_Captured
54,2.16.135.178,172.20.146.77,6,TLS,2734,55,2024-03-28 01:37:04.181588,1711586224.181588300,,,,,,,,,,443,34756,0x0018,11522,778,TLS_Packet_Captured
55,2.16.135.178,172.20.146.77,6,TCP,2734,56,2024-03-28 01:37:04.181588,1711586224.181588300,,,,,,,,,,443,34756,0x0018,14202,778,
56,2.16.135.178,172.20.146.77,6,TCP,1394,57,2024-03-28 01:37:04.181588,1711586224.181588400,,,,,,,,,,443,34756,0x0010,16882,778,
57,172.20.146.77,2.16.135.178,6,TCP,54,58,2024-03-28 01:37:04.181657,1711586224.181656900,,,,,,,,,,34756,443,0x0010,778,11522,
58,172.20.146.77,2.16.135.178,6,TCP,54,59,2024-03-28 01:37:04.181670,1711586224.181670400,,,,,,,,,,34756,443,0x0010,778,14202,
59,172.20.146.77,2.16.135.178,6,TCP,54,60,2024-03-28 01:37:04.181675,1711586224.181674800,,,,,,,,,,34756,443,0x0010,778,16882,
60,172.20.146.77,2.16.135.178,6,TCP,54,61,2024-03-28 01:37:04.181676,1711586224.181676400,,,,,,,,,,34756,443,0x0010,778,18222,
61,2.16.135.178,172.20.146.77,6,TCP,1394,62,2024-03-28 01:37:04.181765,1711586224.181765200,,,,,,,,,,443,34756,0x0018,18222,778,
62,172.20.146.77,2.16.135.178,6,TCP,54,63,2024-03-28 01:37:04.181786,1711586224.181785700,,,,,,,,,,34756,443,0x0010,778,19562,
63,2.16.135.178,172.20.146.77,6,TCP,2734,64,2024-03-28 01:37:04.185253,1711586224.185252900,,,,,,,,,,443,34756,0x0018,19562,778,
64,172.20.146.77,2.16.135.178,6,TCP,54,65,2024-03-28 01:37:04.185270,1711586224.185270100,,,,,,,,,,34756,443,0x0010,778,22242,
65,2.16.135.178,172.20.146.77,6,TLS,913,66,2024-03-28 01:37:04.187821,1711586224.187820800,,,,,,,,,,443,34756,0x0018,22242,778,TLS_Packet_Captured
66,2.16.135.178,172.20.146.77,6,TLS,2734,67,2024-03-28 01:37:04.187821,1711586224.187821000,,,,,,,,,,443,34756,0x0018,23101,778,TLS_Packet_Captured
67,172.20.146.77,2.16.135.178,6,TCP,54,68,2024-03-28 01:37:04.187911,1711586224.187910800,,,,,,,,,,34756,443,0x0010,778,25781,
68,2.16.135.178,172.20.146.77,6,TCP,1394,69,2024-03-28 01:37:04.191707,1711586224.191706800,,,,,,,,,,443,34756,0x0010,25781,778,
69,2.16.135.178,172.20.146.77,6,TLS,787,70,2024-03-28 01:37:04.203167,1711586224.203167300,,,,,,,,,,443,34756,0x0018,27121,778,TLS_Packet_Captured
70,2.16.135.178,172.20.146.77,6,TLS,2734,71,2024-03-28 01:37:04.203167,1711586224.203167500,,,,,,,,,,443,34756,0x0018,27854,778,TLS_Packet_Captured
71,2.16.135.178,172.20.146.77,6,TLS,2734,72,2024-03-28 01:37:04.203168,1711586224.203167600,,,,,,,,,,443,34756,0x0018,30534,778,TLS_Packet_Captured
72,2.16.135.178,172.20.146.77,6,TCP,2734,73,2024-03-28 01:37:04.203168,1711586224.203167600,,,,,,,,,,443,34756,0x0018,33214,778,
73,2.16.135.178,172.20.146.77,6,TLS,2734,74,2024-03-28 01:37:04.203168,1711586224.203167600,,,,,,,,,,443,34756,0x0018,35894,778,TLS_Packet_Captured
