,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,172.20.146.77,172.20.144.1,17,DNS,82,1,2024-03-28 01:35:12.689011,1711586112.689011400,www.washingtonpost.com,,1,0x0001,1,0,0,50258,53,,,,,,
1,172.20.146.77,172.20.144.1,17,DNS,82,2,2024-03-28 01:35:12.689019,1711586112.689019500,www.washingtonpost.com,,28,0x0001,1,0,0,50258,53,,,,,,
2,172.20.144.1,172.20.146.77,17,DNS,226,3,2024-03-28 01:35:12.736565,1711586112.736565400,www.washingtonpost.com,www.washingtonpost.com,1,0x0001,1,3,0,53,50258,,,,,,
3,172.20.144.1,172.20.146.77,17,DNS,188,4,2024-03-28 01:35:12.779839,1711586112.779839000,www.washingtonpost.com,www.washingtonpost.com,28,0x0001,1,2,0,53,50258,,,,,,
4,172.20.146.77,95.101.209.236,6,TCP,74,5,2024-03-28 01:35:12.780377,1711586112.780377400,,,,,,,,,,58758,443,0x0002,0,0,
5,95.101.209.236,172.20.146.77,6,TCP,66,6,2024-03-28 01:35:12.839394,1711586112.839394000,,,,,,,,,,443,58758,0x0012,0,1,
6,172.20.146.77,95.101.209.236,6,TCP,54,7,2024-03-28 01:35:12.839480,1711586112.839479700,,,,,,,,,,58758,443,0x0010,1,1,
7,172.20.146.77,95.101.209.236,6,TLS,571,8,2024-03-28 01:35:12.893266,1711586112.893265700,,,,,,,,,,58758,443,0x0018,1,1,TLS_Packet_Captured
8,95.101.209.236,172.20.146.77,6,TCP,54,9,2024-03-28 01:35:12.952880,1711586112.952879700,,,,,,,,,,443,58758,0x0010,1,518,
9,95.101.209.236,172.20.146.77,6,TLS,2734,10,2024-03-28 01:35:12.952880,1711586112.952879900,,,,,,,,,,443,58758,0x0018,1,518,TLS_Packet_Captured
10,95.101.209.236,172.20.146.77,6,TLS,1388,11,2024-03-28 01:35:12.952880,1711586112.952879900,,,,,,,,,,443,58758,0x0018,2681,518,TLS_Packet_Captured
11,172.20.146.77,95.101.209.236,6,TCP,54,12,2024-03-28 01:35:12.952901,1711586112.952900900,,,,,,,,,,58758,443,0x0010,518,2681,
12,172.20.146.77,95.101.209.236,6,TCP,54,13,2024-03-28 01:35:12.952910,1711586112.952910200,,,,,,,,,,58758,443,0x0010,518,4015,
13,172.20.146.77,95.101.209.236,6,TLS,134,14,2024-03-28 01:35:12.954481,1711586112.954481000,,,,,,,,,,58758,443,0x0018,518,4015,TLS_Packet_Captured
14,172.20.146.77,95.101.209.236,6,TLS,229,15,2024-03-28 01:35:12.954654,1711586112.954654000,,,,,,,,,,58758,443,0x0018,598,4015,TLS_Packet_Captured
15,95.101.209.236,172.20.146.77,6,TLS,357,16,2024-03-28 01:35:13.006658,1711586113.006658100,,,,,,,,,,443,58758,0x0018,4015,598,TLS_Packet_Captured
16,95.101.209.236,172.20.146.77,6,TLS,357,17,2024-03-28 01:35:13.006658,1711586113.006658300,,,,,,,,,,443,58758,0x0018,4318,598,TLS_Packet_Captured
