,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,74,1,2024-03-27 02:42:58.548403,1711503778.548402600,www.abc.net.au,,1,0x0001,1,0,0,45091,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,74,2,2024-03-27 02:42:58.548410,1711503778.548409700,www.abc.net.au,,28,0x0001,1,0,0,45091,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,228,3,2024-03-27 02:42:58.619265,1711503778.619264900,www.abc.net.au,www.abc.net.au,1,0x0001,1,3,0,53,45091,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,190,4,2024-03-27 02:42:58.691921,1711503778.691921100,www.abc.net.au,www.abc.net.au,28,0x0001,1,2,0,53,45091,,,,,,
4,192.168.159.238,2.17.140.98,6,TCP,74,5,2024-03-27 02:42:58.692167,1711503778.692166900,,,,,,,,,,41618,443,0x0002,0,0,
5,2.17.140.98,192.168.159.238,6,TCP,66,6,2024-03-27 02:42:58.751994,1711503778.751994100,,,,,,,,,,443,41618,0x0012,0,1,
6,192.168.159.238,2.17.140.98,6,TCP,54,7,2024-03-27 02:42:58.752047,1711503778.752046500,,,,,,,,,,41618,443,0x0010,1,1,
7,192.168.159.238,2.17.140.98,6,TLS,571,8,2024-03-27 02:42:58.805239,1711503778.805239300,,,,,,,,,,41618,443,0x0018,1,1,TLS_Packet_Captured
8,2.17.140.98,192.168.159.238,6,TLS,2734,9,2024-03-27 02:42:58.867194,1711503778.867193900,,,,,,,,,,443,41618,0x0018,1,518,TLS_Packet_Captured
9,2.17.140.98,192.168.159.238,6,TLS,1470,10,2024-03-27 02:42:58.867194,1711503778.867194000,,,,,,,,,,443,41618,0x0018,2681,518,TLS_Packet_Captured
10,192.168.159.238,2.17.140.98,6,TCP,54,11,2024-03-27 02:42:58.867239,1711503778.867239300,,,,,,,,,,41618,443,0x0010,518,2681,
11,192.168.159.238,2.17.140.98,6,TCP,54,12,2024-03-27 02:42:58.867245,1711503778.867245000,,,,,,,,,,41618,443,0x0010,518,4097,
12,2.17.140.98,192.168.159.238,6,TCP,54,13,2024-03-27 02:42:58.872549,1711503778.872549400,,,,,,,,,,443,41618,0x0010,1,518,
13,192.168.159.238,2.17.140.98,6,TCP,54,14,2024-03-27 02:42:58.872566,1711503778.872565700,,,,,,,,,,41618,443,0x0010,518,4097,
14,2.17.140.98,192.168.159.238,6,TLS,171,15,2024-03-27 02:42:58.887421,1711503778.887421000,,,,,,,,,,443,41618,0x0018,4097,518,TLS_Packet_Captured
15,192.168.159.238,2.17.140.98,6,TCP,54,16,2024-03-27 02:42:58.887437,1711503778.887437200,,,,,,,,,,41618,443,0x0010,518,4214,
16,192.168.159.238,2.17.140.98,6,TLS,134,17,2024-03-27 02:42:58.887765,1711503778.887765300,,,,,,,,,,41618,443,0x0018,518,4214,TLS_Packet_Captured
17,192.168.159.238,2.17.140.98,6,TLS,221,18,2024-03-27 02:42:58.887963,1711503778.887963000,,,,,,,,,,41618,443,0x0018,598,4214,TLS_Packet_Captured
18,2.17.140.98,192.168.159.238,6,TLS,341,19,2024-03-27 02:42:58.931911,1711503778.931910500,,,,,,,,,,443,41618,0x0018,4214,598,TLS_Packet_Captured
19,2.17.140.98,192.168.159.238,6,TLS,341,20,2024-03-27 02:42:58.931911,1711503778.931910700,,,,,,,,,,443,41618,0x0018,4501,598,TLS_Packet_Captured
20,192.168.159.238,2.17.140.98,6,TCP,54,21,2024-03-27 02:42:58.931933,1711503778.931933400,,,,,,,,,,41618,443,0x0010,765,4501,
21,192.168.159.238,2.17.140.98,6,TCP,54,22,2024-03-27 02:42:58.931964,1711503778.931963700,,,,,,,,,,41618,443,0x0010,765,4788,
22,2.17.140.98,192.168.159.238,6,TLS,2332,23,2024-03-27 02:42:58.967982,1711503778.967982100,,,,,,,,,,443,41618,0x0018,4788,765,TLS_Packet_Captured
23,2.17.140.98,192.168.159.238,6,TLS,2734,24,2024-03-27 02:42:58.967982,1711503778.967982200,,,,,,,,,,443,41618,0x0018,7066,765,TLS_Packet_Captured
24,2.17.140.98,192.168.159.238,6,TCP,1394,25,2024-03-27 02:42:58.967982,1711503778.967982300,,,,,,,,,,443,41618,0x0010,9746,765,
25,192.168.159.238,2.17.140.98,6,TCP,54,26,2024-03-27 02:42:58.968003,1711503778.968003200,,,,,,,,,,41618,443,0x0010,765,7066,
26,192.168.159.238,2.17.140.98,6,TCP,54,27,2024-03-27 02:42:58.968033,1711503778.968033000,,,,,,,,,,41618,443,0x0010,765,9746,
27,192.168.159.238,2.17.140.98,6,TCP,54,28,2024-03-27 02:42:58.968037,1711503778.968036700,,,,,,,,,,41618,443,0x0010,765,11086,
28,2.17.140.98,192.168.159.238,6,TCP,1394,29,2024-03-27 02:42:58.972884,1711503778.972883600,,,,,,,,,,443,41618,0x0018,11086,765,
29,2.17.140.98,192.168.159.238,6,TCP,2734,30,2024-03-27 02:42:58.972884,1711503778.972883800,,,,,,,,,,443,41618,0x0018,12426,765,
30,192.168.159.238,2.17.140.98,6,TCP,54,31,2024-03-27 02:42:58.972902,1711503778.972902100,,,,,,,,,,41618,443,0x0010,765,12426,
31,192.168.159.238,2.17.140.98,6,TCP,54,32,2024-03-27 02:42:58.972934,1711503778.972934600,,,,,,,,,,41618,443,0x0010,765,15106,
32,2.17.140.98,192.168.159.238,6,TCP,1394,33,2024-03-27 02:42:58.972938,1711503778.972938100,,,,,,,,,,443,41618,0x0010,15106,765,
33,192.168.159.238,2.17.140.98,6,TCP,54,34,2024-03-27 02:42:58.972940,1711503778.972940000,,,,,,,,,,41618,443,0x0010,765,16446,
34,2.17.140.98,192.168.159.238,6,TCP,1394,35,2024-03-27 02:42:58.975363,1711503778.975362800,,,,,,,,,,443,41618,0x0018,16446,765,
35,2.17.140.98,192.168.159.238,6,TCP,1394,36,2024-03-27 02:42:58.975363,1711503778.975363000,,,,,,,,,,443,41618,0x0010,17786,765,
36,192.168.159.238,2.17.140.98,6,TCP,54,37,2024-03-27 02:42:58.975381,1711503778.975380700,,,,,,,,,,41618,443,0x0010,765,17786,
37,192.168.159.238,2.17.140.98,6,TCP,54,38,2024-03-27 02:42:58.975411,1711503778.975410900,,,,,,,,,,41618,443,0x0010,765,19126,
38,2.17.140.98,192.168.159.238,6,TCP,1394,39,2024-03-27 02:42:58.978918,1711503778.978918000,,,,,,,,,,443,41618,0x0018,19126,765,
39,2.17.140.98,192.168.159.238,6,TCP,2734,40,2024-03-27 02:42:58.978918,1711503778.978918200,,,,,,,,,,443,41618,0x0018,20466,765,
