,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.144.1,239.255.255.250,17,SSDP,211,1,2024-03-27 02:43:30.628223,1711503810.628222900,58604,1900,,,,,,,,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,73,2,2024-03-27 02:43:31.249809,1711503811.249808800,37792,53,www.bbc.co.uk,,1,0x0001,1,0,0,,,,,,
2,192.168.159.238,192.168.144.1,17,DNS,73,3,2024-03-27 02:43:31.249816,1711503811.249816400,37792,53,www.bbc.co.uk,,28,0x0001,1,0,0,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,220,4,2024-03-27 02:43:31.395847,1711503811.395847400,53,37792,www.bbc.co.uk,www.bbc.co.uk,1,0x0001,1,3,0,,,,,,
4,192.168.144.1,192.168.159.238,17,DNS,186,5,2024-03-27 02:43:31.452031,1711503811.452030700,53,37792,www.bbc.co.uk,www.bbc.co.uk,28,0x0001,1,2,0,,,,,,
5,192.168.159.238,146.75.52.81,6,TCP,74,6,2024-03-27 02:43:31.452311,1711503811.452311100,,,,,,,,,,35706,443,0x0002,0,0,
6,146.75.52.81,192.168.159.238,6,TCP,66,7,2024-03-27 02:43:31.519143,1711503811.519143000,,,,,,,,,,443,35706,0x0012,0,1,
7,192.168.159.238,146.75.52.81,6,TCP,54,8,2024-03-27 02:43:31.519258,1711503811.519258000,,,,,,,,,,35706,443,0x0010,1,1,
8,192.168.159.238,146.75.52.81,6,TLS,571,9,2024-03-27 02:43:31.572011,1711503811.572011400,,,,,,,,,,35706,443,0x0018,1,1,TLS_Packet_Captured
9,192.168.144.1,239.255.255.250,17,SSDP,217,10,2024-03-27 02:43:31.609957,1711503811.609957300,58600,1900,,,,,,,,,,,,,
10,146.75.52.81,192.168.159.238,6,TCP,54,11,2024-03-27 02:43:31.632779,1711503811.632778800,,,,,,,,,,443,35706,0x0010,1,518,
11,146.75.52.81,192.168.159.238,6,TLS,2734,12,2024-03-27 02:43:31.637956,1711503811.637955800,,,,,,,,,,443,35706,0x0018,1,518,TLS_Packet_Captured
12,146.75.52.81,192.168.159.238,6,TLS,2230,13,2024-03-27 02:43:31.637956,1711503811.637956000,,,,,,,,,,443,35706,0x0018,2681,518,TLS_Packet_Captured
13,192.168.159.238,146.75.52.81,6,TCP,54,14,2024-03-27 02:43:31.637974,1711503811.637973900,,,,,,,,,,35706,443,0x0010,518,2681,
14,192.168.159.238,146.75.52.81,6,TCP,54,15,2024-03-27 02:43:31.638007,1711503811.638007500,,,,,,,,,,35706,443,0x0010,518,4857,
15,192.168.159.238,146.75.52.81,6,TLS,118,16,2024-03-27 02:43:31.639727,1711503811.639727000,,,,,,,,,,35706,443,0x0018,518,4857,TLS_Packet_Captured
16,192.168.159.238,146.75.52.81,6,TLS,220,17,2024-03-27 02:43:31.639937,1711503811.639936600,,,,,,,,,,35706,443,0x0018,582,4857,TLS_Packet_Captured
17,192.168.144.1,239.255.255.250,17,SSDP,211,18,2024-03-27 02:43:31.656795,1711503811.656794800,58604,1900,,,,,,,,,,,,,
18,146.75.52.81,192.168.159.238,6,TLS,2734,19,2024-03-27 02:43:31.677953,1711503811.677952600,,,,,,,,,,443,35706,0x0018,4857,748,TLS_Packet_Captured
19,192.168.159.238,146.75.52.81,6,TCP,54,20,2024-03-27 02:43:31.677999,1711503811.677999500,,,,,,,,,,35706,443,0x0010,748,7537,
20,146.75.52.81,192.168.159.238,6,TLS,2580,21,2024-03-27 02:43:31.680386,1711503811.680385600,,,,,,,,,,443,35706,0x0018,7537,748,TLS_Packet_Captured
21,146.75.52.81,192.168.159.238,6,TLS,2734,22,2024-03-27 02:43:31.680386,1711503811.680386000,,,,,,,,,,443,35706,0x0018,10063,748,TLS_Packet_Captured
22,192.168.159.238,146.75.52.81,6,TCP,54,23,2024-03-27 02:43:31.680404,1711503811.680404400,,,,,,,,,,35706,443,0x0010,748,10063,
23,192.168.159.238,146.75.52.81,6,TCP,54,24,2024-03-27 02:43:31.680434,1711503811.680434000,,,,,,,,,,35706,443,0x0010,748,12743,
24,146.75.52.81,192.168.159.238,6,TCP,54,25,2024-03-27 02:43:31.682856,1711503811.682856100,,,,,,,,,,443,35706,0x0010,4857,582,
25,146.75.52.81,192.168.159.238,6,TCP,54,26,2024-03-27 02:43:31.682856,1711503811.682856200,,,,,,,,,,443,35706,0x0010,4857,748,
26,192.168.159.238,146.75.52.81,6,TCP,54,27,2024-03-27 02:43:31.682873,1711503811.682873400,,,,,,,,,,35706,443,0x0010,748,12743,
27,146.75.52.81,192.168.159.238,6,TLS,2734,28,2024-03-27 02:43:31.683210,1711503811.683210100,,,,,,,,,,443,35706,0x0018,12743,748,TLS_Packet_Captured
28,192.168.159.238,146.75.52.81,6,TCP,54,29,2024-03-27 02:43:31.683220,1711503811.683219600,,,,,,,,,,35706,443,0x0010,748,15423,
29,146.75.52.81,192.168.159.238,6,TLS,2734,30,2024-03-27 02:43:31.683527,1711503811.683527300,,,,,,,,,,443,35706,0x0018,15423,748,TLS_Packet_Captured
30,192.168.159.238,146.75.52.81,6,TCP,54,31,2024-03-27 02:43:31.683539,1711503811.683538900,,,,,,,,,,35706,443,0x0010,748,18103,
31,146.75.52.81,192.168.159.238,6,TLS,2734,32,2024-03-27 02:43:31.687028,1711503811.687028000,,,,,,,,,,443,35706,0x0018,18103,748,TLS_Packet_Captured
32,146.75.52.81,192.168.159.238,6,TLS,2734,33,2024-03-27 02:43:31.687028,1711503811.687028200,,,,,,,,,,443,35706,0x0018,20783,748,TLS_Packet_Captured
33,192.168.159.238,146.75.52.81,6,TCP,54,34,2024-03-27 02:43:31.687046,1711503811.687046000,,,,,,,,,,35706,443,0x0010,748,20783,
34,192.168.159.238,146.75.52.81,6,TCP,54,35,2024-03-27 02:43:31.687078,1711503811.687078200,,,,,,,,,,35706,443,0x0010,748,23463,
35,146.75.52.81,192.168.159.238,6,TLS,1394,36,2024-03-27 02:43:31.692719,1711503811.692718600,,,,,,,,,,443,35706,0x0010,23463,748,TLS_Packet_Captured
