,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,72,1,2024-03-27 02:38:28.112480,1711503508.112480400,www.cnbc.com,,1,0x0001,1,0,0,40989,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,72,2,2024-03-27 02:38:28.112488,1711503508.112487500,www.cnbc.com,,28,0x0001,1,0,0,40989,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,224,3,2024-03-27 02:38:28.184130,1711503508.184130100,www.cnbc.com,www.cnbc.com,1,0x0001,1,3,0,53,40989,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,184,4,2024-03-27 02:38:28.243873,1711503508.243872800,www.cnbc.com,www.cnbc.com,28,0x0001,1,2,0,53,40989,,,,,,
4,192.168.159.238,2.16.80.95,6,TCP,74,5,2024-03-27 02:38:28.244098,1711503508.244098200,,,,,,,,,,41598,443,0x0002,0,0,
5,2.16.80.95,192.168.159.238,6,TCP,66,6,2024-03-27 02:38:28.428813,1711503508.428812500,,,,,,,,,,443,41598,0x0012,0,1,
6,192.168.159.238,2.16.80.95,6,TCP,54,7,2024-03-27 02:38:28.428908,1711503508.428907800,,,,,,,,,,41598,443,0x0010,1,1,
7,192.168.159.238,2.16.80.95,6,TLS,571,8,2024-03-27 02:38:28.485161,1711503508.485161400,,,,,,,,,,41598,443,0x0018,1,1,TLS_Packet_Captured
8,2.16.80.95,192.168.159.238,6,TCP,54,9,2024-03-27 02:38:28.551561,1711503508.551561300,,,,,,,,,,443,41598,0x0010,1,518,
9,2.16.80.95,192.168.159.238,6,TLS,2734,10,2024-03-27 02:38:28.560039,1711503508.560038600,,,,,,,,,,443,41598,0x0018,1,518,TLS_Packet_Captured
10,2.16.80.95,192.168.159.238,6,TLS,915,11,2024-03-27 02:38:28.560039,1711503508.560038700,,,,,,,,,,443,41598,0x0018,2681,518,TLS_Packet_Captured
11,192.168.159.238,2.16.80.95,6,TCP,54,12,2024-03-27 02:38:28.560056,1711503508.560056000,,,,,,,,,,41598,443,0x0010,518,2681,
12,192.168.159.238,2.16.80.95,6,TCP,54,13,2024-03-27 02:38:28.560089,1711503508.560088600,,,,,,,,,,41598,443,0x0010,518,3542,
13,192.168.159.238,2.16.80.95,6,TLS,134,14,2024-03-27 02:38:28.561426,1711503508.561425600,,,,,,,,,,41598,443,0x0018,518,3542,TLS_Packet_Captured
14,192.168.159.238,2.16.80.95,6,TLS,219,15,2024-03-27 02:38:28.561621,1711503508.561620600,,,,,,,,,,41598,443,0x0018,598,3542,TLS_Packet_Captured
15,2.16.80.95,192.168.159.238,6,TLS,341,16,2024-03-27 02:38:28.612196,1711503508.612196100,,,,,,,,,,443,41598,0x0018,3542,598,TLS_Packet_Captured
16,2.16.80.95,192.168.159.238,6,TLS,341,17,2024-03-27 02:38:28.612196,1711503508.612196300,,,,,,,,,,443,41598,0x0018,3829,598,TLS_Packet_Captured
17,192.168.159.238,2.16.80.95,6,TCP,54,18,2024-03-27 02:38:28.612219,1711503508.612219300,,,,,,,,,,41598,443,0x0010,763,3829,
18,192.168.159.238,2.16.80.95,6,TCP,54,19,2024-03-27 02:38:28.612251,1711503508.612250800,,,,,,,,,,41598,443,0x0010,763,4116,
19,2.16.80.95,192.168.159.238,6,TCP,54,20,2024-03-27 02:38:28.672154,1711503508.672154500,,,,,,,,,,443,41598,0x0010,4116,763,
20,2.16.80.95,192.168.159.238,6,TLS,628,21,2024-03-27 02:38:29.131190,1711503509.131190300,,,,,,,,,,443,41598,0x0018,4116,763,TLS_Packet_Captured
21,192.168.159.238,2.16.80.95,6,TCP,54,22,2024-03-27 02:38:29.131208,1711503509.131207800,,,,,,,,,,41598,443,0x0010,763,4690,
22,192.168.159.238,2.16.80.95,6,TLS,347,23,2024-03-27 02:38:29.132702,1711503509.132701600,,,,,,,,,,41598,443,0x0018,763,4690,TLS_Packet_Captured
23,2.16.80.95,192.168.159.238,6,TCP,54,24,2024-03-27 02:38:29.232213,1711503509.232213600,,,,,,,,,,443,41598,0x0010,4690,1056,
