,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,79,1,2024-03-27 02:46:58.407753,1711504018.407753400,www.dailymail.co.uk,,1,0x0001,1,0,0,60905,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,79,2,2024-03-27 02:46:58.407761,1711504018.407761000,www.dailymail.co.uk,,28,0x0001,1,0,0,60905,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,254,3,2024-03-27 02:46:58.454125,1711504018.454124600,www.dailymail.co.uk,www.dailymail.co.uk,1,0x0001,1,3,0,53,60905,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,294,4,2024-03-27 02:46:58.504767,1711504018.504767100,www.dailymail.co.uk,www.dailymail.co.uk,28,0x0001,1,4,0,53,60905,,,,,,
4,192.168.159.238,23.10.244.184,6,TCP,74,5,2024-03-27 02:46:58.505095,1711504018.505094600,,,,,,,,,,57976,443,0x0002,0,0,
5,23.10.244.184,192.168.159.238,6,TCP,66,6,2024-03-27 02:46:58.549426,1711504018.549425700,,,,,,,,,,443,57976,0x0012,0,1,
6,192.168.159.238,23.10.244.184,6,TCP,54,7,2024-03-27 02:46:58.549494,1711504018.549493700,,,,,,,,,,57976,443,0x0010,1,1,
7,192.168.159.238,23.10.244.184,6,TLS,571,8,2024-03-27 02:46:58.601675,1711504018.601674700,,,,,,,,,,57976,443,0x0018,1,1,TLS_Packet_Captured
8,23.10.244.184,192.168.159.238,6,TLS,2734,9,2024-03-27 02:46:58.663988,1711504018.663987800,,,,,,,,,,443,57976,0x0018,1,518,TLS_Packet_Captured
9,192.168.159.238,23.10.244.184,6,TCP,54,10,2024-03-27 02:46:58.664035,1711504018.664034500,,,,,,,,,,57976,443,0x0010,518,2681,
10,23.10.244.184,192.168.159.238,6,TLS,528,11,2024-03-27 02:46:58.666587,1711504018.666587100,,,,,,,,,,443,57976,0x0018,2681,518,TLS_Packet_Captured
11,192.168.159.238,23.10.244.184,6,TCP,54,12,2024-03-27 02:46:58.666604,1711504018.666604200,,,,,,,,,,57976,443,0x0010,518,3155,
12,192.168.159.238,23.10.244.184,6,TLS,134,13,2024-03-27 02:46:58.667924,1711504018.667923900,,,,,,,,,,57976,443,0x0018,518,3155,TLS_Packet_Captured
13,192.168.159.238,23.10.244.184,6,TLS,226,14,2024-03-27 02:46:58.668097,1711504018.668096600,,,,,,,,,,57976,443,0x0018,598,3155,TLS_Packet_Captured
14,23.10.244.184,192.168.159.238,6,TCP,54,15,2024-03-27 02:46:58.673284,1711504018.673283700,,,,,,,,,,443,57976,0x0010,1,518,
15,192.168.159.238,23.10.244.184,6,TCP,54,16,2024-03-27 02:46:58.673301,1711504018.673300400,,,,,,,,,,57976,443,0x0010,770,3155,
16,23.10.244.184,192.168.159.238,6,TLS,341,17,2024-03-27 02:46:58.700533,1711504018.700532900,,,,,,,,,,443,57976,0x0018,3155,598,TLS_Packet_Captured
17,23.10.244.184,192.168.159.238,6,TLS,341,18,2024-03-27 02:46:58.700533,1711504018.700533100,,,,,,,,,,443,57976,0x0018,3442,598,TLS_Packet_Captured
18,192.168.159.238,23.10.244.184,6,TCP,54,19,2024-03-27 02:46:58.700556,1711504018.700556000,,,,,,,,,,57976,443,0x0010,770,3442,
19,192.168.159.238,23.10.244.184,6,TCP,54,20,2024-03-27 02:46:58.700587,1711504018.700586600,,,,,,,,,,57976,443,0x0010,770,3729,
20,23.10.244.184,192.168.159.238,6,TLS,624,21,2024-03-27 02:46:58.722388,1711504018.722388100,,,,,,,,,,443,57976,0x0018,3729,770,TLS_Packet_Captured
21,192.168.159.238,23.10.244.184,6,TCP,54,22,2024-03-27 02:46:58.722407,1711504018.722407300,,,,,,,,,,57976,443,0x0010,770,4299,
22,192.168.159.238,23.10.244.184,6,TLS,241,23,2024-03-27 02:46:58.723430,1711504018.723430200,,,,,,,,,,57976,443,0x0018,770,4299,TLS_Packet_Captured
23,23.10.244.184,192.168.159.238,6,TCP,54,24,2024-03-27 02:46:58.813296,1711504018.813296300,,,,,,,,,,443,57976,0x0010,4299,957,
24,23.10.244.184,192.168.159.238,6,TLS,1394,25,2024-03-27 02:46:59.076145,1711504019.076144800,,,,,,,,,,443,57976,0x0010,4299,957,TLS_Packet_Captured
25,192.168.159.238,23.10.244.184,6,TCP,54,26,2024-03-27 02:46:59.076187,1711504019.076187400,,,,,,,,,,57976,443,0x0010,957,5639,
