,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,77,1,2024-03-27 02:39:58.329224,1711503598.329224200,www.express.co.uk,,1,0x0001,1,0,0,35988,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,77,2,2024-03-27 02:39:58.329232,1711503598.329231700,www.express.co.uk,,28,0x0001,1,0,0,35988,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,230,3,2024-03-27 02:39:58.583310,1711503598.583310300,www.express.co.uk,www.express.co.uk,1,0x0001,1,5,0,53,35988,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,390,4,2024-03-27 02:39:58.633115,1711503598.633115000,www.express.co.uk,www.express.co.uk,28,0x0001,1,9,0,53,35988,,,,,,
4,192.168.159.238,108.138.189.11,6,TCP,74,5,2024-03-27 02:39:58.633476,1711503598.633475600,,,,,,,,,,47336,443,0x0002,0,0,
5,108.138.189.11,192.168.159.238,6,TCP,66,6,2024-03-27 02:39:58.675482,1711503598.675482000,,,,,,,,,,443,47336,0x0012,0,1,
6,192.168.159.238,108.138.189.11,6,TCP,54,7,2024-03-27 02:39:58.675576,1711503598.675576000,,,,,,,,,,47336,443,0x0010,1,1,
7,192.168.159.238,108.138.189.11,6,TLS,571,8,2024-03-27 02:39:58.728589,1711503598.728588800,,,,,,,,,,47336,443,0x0018,1,1,TLS_Packet_Captured
8,108.138.189.11,192.168.159.238,6,TCP,54,9,2024-03-27 02:39:58.774689,1711503598.774689200,,,,,,,,,,443,47336,0x0010,1,518,
9,108.138.189.11,192.168.159.238,6,TLS,2734,10,2024-03-27 02:39:58.774690,1711503598.774689700,,,,,,,,,,443,47336,0x0018,1,518,TLS_Packet_Captured
10,108.138.189.11,192.168.159.238,6,TLS,2930,11,2024-03-27 02:39:58.774690,1711503598.774689700,,,,,,,,,,443,47336,0x0018,2681,518,TLS_Packet_Captured
11,192.168.159.238,108.138.189.11,6,TCP,54,12,2024-03-27 02:39:58.774713,1711503598.774712600,,,,,,,,,,47336,443,0x0010,518,2681,
12,192.168.159.238,108.138.189.11,6,TCP,54,13,2024-03-27 02:39:58.774743,1711503598.774742900,,,,,,,,,,47336,443,0x0010,518,5557,
13,192.168.159.238,108.138.189.11,6,TLS,118,14,2024-03-27 02:39:58.776779,1711503598.776778800,,,,,,,,,,47336,443,0x0018,518,5557,TLS_Packet_Captured
14,192.168.159.238,108.138.189.11,6,TLS,224,15,2024-03-27 02:39:58.776953,1711503598.776952500,,,,,,,,,,47336,443,0x0018,582,5557,TLS_Packet_Captured
15,108.138.189.11,192.168.159.238,6,TLS,200,16,2024-03-27 02:39:58.812733,1711503598.812732800,,,,,,,,,,443,47336,0x0018,5557,582,TLS_Packet_Captured
16,108.138.189.11,192.168.159.238,6,TCP,54,17,2024-03-27 02:39:58.812733,1711503598.812733000,,,,,,,,,,443,47336,0x0010,5557,582,
17,192.168.159.238,108.138.189.11,6,TCP,54,18,2024-03-27 02:39:58.812755,1711503598.812755300,,,,,,,,,,47336,443,0x0010,752,5703,
18,192.168.159.238,108.138.189.11,6,TCP,54,19,2024-03-27 02:39:58.812784,1711503598.812784500,,,,,,,,,,47336,443,0x0010,752,5703,
19,108.138.189.11,192.168.159.238,6,TCP,54,20,2024-03-27 02:39:58.852229,1711503598.852229100,,,,,,,,,,443,47336,0x0010,5703,752,
20,108.138.189.11,192.168.159.238,6,TLS,1394,21,2024-03-27 02:39:58.978559,1711503598.978559300,,,,,,,,,,443,47336,0x0010,5703,752,TLS_Packet_Captured
21,192.168.159.238,108.138.189.11,6,TCP,54,22,2024-03-27 02:39:58.978584,1711503598.978583900,,,,,,,,,,47336,443,0x0010,752,7043,
22,108.138.189.11,192.168.159.238,6,TLS,1364,23,2024-03-27 02:39:58.980504,1711503598.980503600,,,,,,,,,,443,47336,0x0018,7043,752,TLS_Packet_Captured
23,108.138.189.11,192.168.159.238,6,TLS,2634,24,2024-03-27 02:39:58.980504,1711503598.980503600,,,,,,,,,,443,47336,0x0018,8353,752,TLS_Packet_Captured
24,192.168.159.238,108.138.189.11,6,TCP,54,25,2024-03-27 02:39:58.980513,1711503598.980512600,,,,,,,,,,47336,443,0x0010,752,8353,
25,192.168.159.238,108.138.189.11,6,TCP,54,26,2024-03-27 02:39:58.980535,1711503598.980535300,,,,,,,,,,47336,443,0x0010,752,10933,
26,108.138.189.11,192.168.159.238,6,TLS,1403,27,2024-03-27 02:39:59.001986,1711503599.001985900,,,,,,,,,,443,47336,0x0018,10933,752,TLS_Packet_Captured
27,192.168.159.238,108.138.189.11,6,TCP,54,28,2024-03-27 02:39:59.002007,1711503599.002006800,,,,,,,,,,47336,443,0x0010,752,12282,
28,108.138.189.11,192.168.159.238,6,TLS,2259,29,2024-03-27 02:39:59.009805,1711503599.009804900,,,,,,,,,,443,47336,0x0018,12282,752,TLS_Packet_Captured
29,192.168.159.238,108.138.189.11,6,TCP,54,30,2024-03-27 02:39:59.009823,1711503599.009822800,,,,,,,,,,47336,443,0x0010,752,14487,
