,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,81,1,2024-03-27 02:49:58.380587,1711504198.380587400,www.finance.yahoo.com,,1,0x0001,1,0,0,42291,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,81,2,2024-03-27 02:49:58.380595,1711504198.380594800,www.finance.yahoo.com,,28,0x0001,1,0,0,42291,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,428,3,2024-03-27 02:49:58.522663,1711504198.522663400,www.finance.yahoo.com,www.finance.yahoo.com,1,0x0001,1,6,0,53,42291,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,354,4,2024-03-27 02:49:58.564718,1711504198.564718500,www.finance.yahoo.com,www.finance.yahoo.com,28,0x0001,1,4,0,53,42291,,,,,,
4,192.168.159.238,13.248.158.7,6,TCP,74,5,2024-03-27 02:49:58.565063,1711504198.565062600,,,,,,,,,,43446,443,0x0002,0,0,
5,13.248.158.7,192.168.159.238,6,TCP,66,6,2024-03-27 02:49:58.613614,1711504198.613613500,,,,,,,,,,443,43446,0x0012,0,1,
6,192.168.159.238,13.248.158.7,6,TCP,54,7,2024-03-27 02:49:58.613700,1711504198.613700500,,,,,,,,,,43446,443,0x0010,1,1,
7,192.168.159.238,13.248.158.7,6,TLS,571,8,2024-03-27 02:49:58.666868,1711504198.666867800,,,,,,,,,,43446,443,0x0018,1,1,TLS_Packet_Captured
8,13.248.158.7,192.168.159.238,6,TCP,54,9,2024-03-27 02:49:58.723651,1711504198.723651200,,,,,,,,,,443,43446,0x0010,1,518,
9,13.248.158.7,192.168.159.238,6,TLS,1394,10,2024-03-27 02:49:58.751339,1711504198.751339100,,,,,,,,,,443,43446,0x0010,1,518,TLS_Packet_Captured
10,192.168.159.238,13.248.158.7,6,TCP,54,11,2024-03-27 02:49:58.751356,1711504198.751356200,,,,,,,,,,43446,443,0x0010,518,1341,
11,13.248.158.7,192.168.159.238,6,TCP,2810,12,2024-03-27 02:49:58.751951,1711504198.751950800,,,,,,,,,,443,43446,0x0018,1341,518,
12,192.168.159.238,13.248.158.7,6,TCP,54,13,2024-03-27 02:49:58.751984,1711504198.751984300,,,,,,,,,,43446,443,0x0010,518,4097,
13,13.248.158.7,192.168.159.238,6,TLS,768,14,2024-03-27 02:49:58.752093,1711504198.752092800,,,,,,,,,,443,43446,0x0018,4097,518,TLS_Packet_Captured
14,192.168.159.238,13.248.158.7,6,TCP,54,15,2024-03-27 02:49:58.752104,1711504198.752103700,,,,,,,,,,43446,443,0x0010,518,4811,
15,192.168.159.238,13.248.158.7,6,TLS,118,16,2024-03-27 02:49:58.753484,1711504198.753484600,,,,,,,,,,43446,443,0x0018,518,4811,TLS_Packet_Captured
16,192.168.159.238,13.248.158.7,6,TLS,228,17,2024-03-27 02:49:58.753693,1711504198.753692900,,,,,,,,,,43446,443,0x0018,582,4811,TLS_Packet_Captured
17,13.248.158.7,192.168.159.238,6,TCP,768,18,2024-03-27 02:49:58.753969,1711504198.753969000,,,,,,,,,,443,43446,0x0018,4097,518,
18,192.168.159.238,13.248.158.7,6,TCP,66,19,2024-03-27 02:49:58.753978,1711504198.753978200,,,,,,,,,,43446,443,0x0010,756,4811,
19,13.248.158.7,192.168.159.238,6,TCP,54,20,2024-03-27 02:49:58.793189,1711504198.793189200,,,,,,,,,,443,43446,0x0010,4811,756,
20,13.248.158.7,192.168.159.238,6,TLS,357,21,2024-03-27 02:49:58.820444,1711504198.820444100,,,,,,,,,,443,43446,0x0018,4811,756,TLS_Packet_Captured
21,13.248.158.7,192.168.159.238,6,TLS,357,22,2024-03-27 02:49:58.820444,1711504198.820444300,,,,,,,,,,443,43446,0x0018,5114,756,TLS_Packet_Captured
22,192.168.159.238,13.248.158.7,6,TCP,54,23,2024-03-27 02:49:58.820461,1711504198.820461000,,,,,,,,,,43446,443,0x0010,756,5114,
23,192.168.159.238,13.248.158.7,6,TCP,54,24,2024-03-27 02:49:58.820493,1711504198.820492600,,,,,,,,,,43446,443,0x0010,756,5417,
24,13.248.158.7,192.168.159.238,6,TLS,773,25,2024-03-27 02:49:58.823719,1711504198.823718500,,,,,,,,,,443,43446,0x0018,5417,756,TLS_Packet_Captured
25,13.248.158.7,192.168.159.238,6,TLS,1376,26,2024-03-27 02:49:58.823719,1711504198.823718600,,,,,,,,,,443,43446,0x0018,6136,756,TLS_Packet_Captured
26,13.248.158.7,192.168.159.238,6,TLS,1394,27,2024-03-27 02:49:58.823719,1711504198.823718700,,,,,,,,,,443,43446,0x0010,7458,756,TLS_Packet_Captured
27,192.168.159.238,13.248.158.7,6,TCP,54,28,2024-03-27 02:49:58.823737,1711504198.823736600,,,,,,,,,,43446,443,0x0010,756,6136,
28,192.168.159.238,13.248.158.7,6,TCP,54,29,2024-03-27 02:49:58.823769,1711504198.823768600,,,,,,,,,,43446,443,0x0010,756,7458,
29,192.168.159.238,13.248.158.7,6,TCP,54,30,2024-03-27 02:49:58.823771,1711504198.823771300,,,,,,,,,,43446,443,0x0010,756,8798,
30,13.248.158.7,192.168.159.238,6,TLS,1358,31,2024-03-27 02:49:58.825643,1711504198.825643300,,,,,,,,,,443,43446,0x0018,8798,756,TLS_Packet_Captured
31,13.248.158.7,192.168.159.238,6,TLS,597,32,2024-03-27 02:49:58.825643,1711504198.825643400,,,,,,,,,,443,43446,0x0018,10102,756,TLS_Packet_Captured
32,192.168.159.238,13.248.158.7,6,TCP,54,33,2024-03-27 02:49:58.825664,1711504198.825664200,,,,,,,,,,43446,443,0x0010,756,10102,
33,192.168.159.238,13.248.158.7,6,TCP,54,34,2024-03-27 02:49:58.825704,1711504198.825704100,,,,,,,,,,43446,443,0x0010,756,10645,
34,192.168.159.238,192.168.144.1,17,DNS,77,35,2024-03-27 02:49:58.826955,1711504198.826954600,finance.yahoo.com,,1,0x0001,1,0,0,49908,53,,,,,,
35,192.168.159.238,192.168.144.1,17,DNS,77,36,2024-03-27 02:49:58.826962,1711504198.826962400,finance.yahoo.com,,28,0x0001,1,0,0,49908,53,,,,,,
