,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,75,1,2024-03-27 02:49:12.231694,1711504152.231694100,www.foxnews.com,,1,0x0001,1,0,0,49181,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,75,2,2024-03-27 02:49:12.231701,1711504152.231701100,www.foxnews.com,,28,0x0001,1,0,0,49181,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,166,3,2024-03-27 02:49:12.303264,1711504152.303264200,www.foxnews.com,www.foxnews.com,1,0x0001,1,2,0,53,49181,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,127,4,2024-03-27 02:49:12.360780,1711504152.360780000,www.foxnews.com,www.foxnews.com,28,0x0001,1,1,0,53,49181,,,,,,
4,192.168.159.238,146.75.54.132,6,TCP,74,5,2024-03-27 02:49:12.361116,1711504152.361116300,,,,,,,,,,60628,443,0x0002,0,0,
5,146.75.54.132,192.168.159.238,6,TCP,66,6,2024-03-27 02:49:12.399923,1711504152.399923200,,,,,,,,,,443,60628,0x0012,0,1,
6,192.168.159.238,146.75.54.132,6,TCP,54,7,2024-03-27 02:49:12.400037,1711504152.400036500,,,,,,,,,,60628,443,0x0010,1,1,
7,192.168.159.238,146.75.54.132,6,TLS,571,8,2024-03-27 02:49:12.453169,1711504152.453169400,,,,,,,,,,60628,443,0x0018,1,1,TLS_Packet_Captured
8,146.75.54.132,192.168.159.238,6,TLS,2734,9,2024-03-27 02:49:12.513755,1711504152.513755100,,,,,,,,,,443,60628,0x0018,1,518,TLS_Packet_Captured
9,146.75.54.132,192.168.159.238,6,TLS,2102,10,2024-03-27 02:49:12.513755,1711504152.513755200,,,,,,,,,,443,60628,0x0018,2681,518,TLS_Packet_Captured
10,146.75.54.132,192.168.159.238,6,TCP,54,11,2024-03-27 02:49:12.513755,1711504152.513755200,,,,,,,,,,443,60628,0x0010,1,518,
11,192.168.159.238,146.75.54.132,6,TCP,54,12,2024-03-27 02:49:12.513802,1711504152.513802400,,,,,,,,,,60628,443,0x0010,518,2681,
12,192.168.159.238,146.75.54.132,6,TCP,54,13,2024-03-27 02:49:12.513809,1711504152.513808700,,,,,,,,,,60628,443,0x0010,518,4729,
13,192.168.159.238,146.75.54.132,6,TCP,54,14,2024-03-27 02:49:12.513849,1711504152.513849200,,,,,,,,,,60628,443,0x0010,518,4729,
14,192.168.159.238,146.75.54.132,6,TLS,118,15,2024-03-27 02:49:12.515684,1711504152.515684200,,,,,,,,,,60628,443,0x0018,518,4729,TLS_Packet_Captured
15,192.168.159.238,146.75.54.132,6,TLS,222,16,2024-03-27 02:49:12.515889,1711504152.515889300,,,,,,,,,,60628,443,0x0018,582,4729,TLS_Packet_Captured
16,146.75.54.132,192.168.159.238,6,TCP,54,17,2024-03-27 02:49:12.552761,1711504152.552760600,,,,,,,,,,443,60628,0x0010,4729,582,
17,146.75.54.132,192.168.159.238,6,TCP,54,18,2024-03-27 02:49:12.563449,1711504152.563448900,,,,,,,,,,443,60628,0x0010,4729,750,
18,146.75.54.132,192.168.159.238,6,TLS,1288,19,2024-03-27 02:49:12.663982,1711504152.663982400,,,,,,,,,,443,60628,0x0018,4729,750,TLS_Packet_Captured
19,192.168.159.238,146.75.54.132,6,TCP,54,20,2024-03-27 02:49:12.663999,1711504152.663998800,,,,,,,,,,60628,443,0x0010,750,5963,
20,146.75.54.132,192.168.159.238,6,TLS,2734,21,2024-03-27 02:49:12.666035,1711504152.666035100,,,,,,,,,,443,60628,0x0018,5963,750,TLS_Packet_Captured
21,192.168.159.238,146.75.54.132,6,TCP,54,22,2024-03-27 02:49:12.666076,1711504152.666076400,,,,,,,,,,60628,443,0x0010,750,8643,
22,146.75.54.132,192.168.159.238,6,TLS,2734,23,2024-03-27 02:49:12.666266,1711504152.666266500,,,,,,,,,,443,60628,0x0018,8643,750,TLS_Packet_Captured
23,146.75.54.132,192.168.159.238,6,TLS,1394,24,2024-03-27 02:49:12.666266,1711504152.666266500,,,,,,,,,,443,60628,0x0010,11323,750,TLS_Packet_Captured
24,192.168.159.238,146.75.54.132,6,TCP,54,25,2024-03-27 02:49:12.666289,1711504152.666289000,,,,,,,,,,60628,443,0x0010,750,11323,
25,192.168.159.238,146.75.54.132,6,TCP,54,26,2024-03-27 02:49:12.666294,1711504152.666294300,,,,,,,,,,60628,443,0x0010,750,12663,
26,146.75.54.132,192.168.159.238,6,TLS,1394,27,2024-03-27 02:49:12.670685,1711504152.670684800,,,,,,,,,,443,60628,0x0018,12663,750,TLS_Packet_Captured
27,146.75.54.132,192.168.159.238,6,TLS,2734,28,2024-03-27 02:49:12.670685,1711504152.670685000,,,,,,,,,,443,60628,0x0018,14003,750,TLS_Packet_Captured
28,192.168.159.238,146.75.54.132,6,TCP,54,29,2024-03-27 02:49:12.670703,1711504152.670702800,,,,,,,,,,60628,443,0x0010,750,14003,
29,192.168.159.238,146.75.54.132,6,TCP,54,30,2024-03-27 02:49:12.670735,1711504152.670735000,,,,,,,,,,60628,443,0x0010,750,16683,
30,146.75.54.132,192.168.159.238,6,TLS,2734,31,2024-03-27 02:49:12.673947,1711504152.673947400,,,,,,,,,,443,60628,0x0018,16683,750,TLS_Packet_Captured
31,146.75.54.132,192.168.159.238,6,TLS,2734,32,2024-03-27 02:49:12.673948,1711504152.673948100,,,,,,,,,,443,60628,0x0018,19363,750,TLS_Packet_Captured
32,146.75.54.132,192.168.159.238,6,TLS,2734,33,2024-03-27 02:49:12.673948,1711504152.673948100,,,,,,,,,,443,60628,0x0018,22043,750,TLS_Packet_Captured
33,192.168.159.238,146.75.54.132,6,TCP,54,34,2024-03-27 02:49:12.673968,1711504152.673968100,,,,,,,,,,60628,443,0x0010,750,19363,
34,192.168.159.238,146.75.54.132,6,TCP,54,35,2024-03-27 02:49:12.674001,1711504152.674000700,,,,,,,,,,60628,443,0x0010,750,22043,
35,192.168.159.238,146.75.54.132,6,TCP,54,36,2024-03-27 02:49:12.674003,1711504152.674003300,,,,,,,,,,60628,443,0x0010,750,24723,
36,146.75.54.132,192.168.159.238,6,TLS,2734,37,2024-03-27 02:49:12.680279,1711504152.680279200,,,,,,,,,,443,60628,0x0018,24723,750,TLS_Packet_Captured
37,146.75.54.132,192.168.159.238,6,TLS,2734,38,2024-03-27 02:49:12.680279,1711504152.680279300,,,,,,,,,,443,60628,0x0018,27403,750,TLS_Packet_Captured
38,146.75.54.132,192.168.159.238,6,TLS,2734,39,2024-03-27 02:49:12.680279,1711504152.680279300,,,,,,,,,,443,60628,0x0018,30083,750,TLS_Packet_Captured
39,192.168.159.238,146.75.54.132,6,TCP,54,40,2024-03-27 02:49:12.680299,1711504152.680298600,,,,,,,,,,60628,443,0x0010,750,27403,
40,192.168.159.238,146.75.54.132,6,TCP,54,41,2024-03-27 02:49:12.680332,1711504152.680331800,,,,,,,,,,60628,443,0x0010,750,30083,
41,146.75.54.132,192.168.159.238,6,TLS,2734,42,2024-03-27 02:49:12.680376,1711504152.680376300,,,,,,,,,,443,60628,0x0018,32763,750,TLS_Packet_Captured
42,192.168.159.238,146.75.54.132,6,TCP,54,43,2024-03-27 02:49:12.680385,1711504152.680384800,,,,,,,,,,60628,443,0x0010,750,32763,
43,192.168.159.238,146.75.54.132,6,TCP,54,44,2024-03-27 02:49:12.680494,1711504152.680493600,,,,,,,,,,60628,443,0x0010,750,35443,
44,146.75.54.132,192.168.159.238,6,TLS,2734,45,2024-03-27 02:49:12.683552,1711504152.683551600,,,,,,,,,,443,60628,0x0018,35443,750,TLS_Packet_Captured
45,192.168.159.238,146.75.54.132,6,TCP,54,46,2024-03-27 02:49:12.683571,1711504152.683571100,,,,,,,,,,60628,443,0x0010,750,38123,
46,146.75.54.132,192.168.159.238,6,TLS,1394,47,2024-03-27 02:49:12.683969,1711504152.683968800,,,,,,,,,,443,60628,0x0010,38123,750,TLS_Packet_Captured
47,146.75.54.132,192.168.159.238,6,TLS,1394,48,2024-03-27 02:49:12.690955,1711504152.690955200,,,,,,,,,,443,60628,0x0018,39463,750,TLS_Packet_Captured
48,146.75.54.132,192.168.159.238,6,TLS,4074,49,2024-03-27 02:49:12.690955,1711504152.690955400,,,,,,,,,,443,60628,0x0018,40803,750,TLS_Packet_Captured
49,146.75.54.132,192.168.159.238,6,TLS,2734,50,2024-03-27 02:49:12.690955,1711504152.690955500,,,,,,,,,,443,60628,0x0010,44823,750,TLS_Packet_Captured
50,192.168.159.238,146.75.54.132,6,TCP,54,51,2024-03-27 02:49:12.690974,1711504152.690973700,,,,,,,,,,60628,443,0x0010,750,40803,
51,192.168.159.238,146.75.54.132,6,TCP,54,52,2024-03-27 02:49:12.691059,1711504152.691058600,,,,,,,,,,60628,443,0x0010,750,47503,
52,146.75.54.132,192.168.159.238,6,TLS,1394,53,2024-03-27 02:49:12.691248,1711504152.691248000,,,,,,,,,,443,60628,0x0018,47503,750,TLS_Packet_Captured
53,146.75.54.132,192.168.159.238,6,TLS,4074,54,2024-03-27 02:49:12.691248,1711504152.691248100,,,,,,,,,,443,60628,0x0018,48843,750,TLS_Packet_Captured
54,192.168.159.238,146.75.54.132,6,TCP,54,55,2024-03-27 02:49:12.691282,1711504152.691282000,,,,,,,,,,60628,443,0x0010,750,52863,
55,146.75.54.132,192.168.159.238,6,TLS,4074,56,2024-03-27 02:49:12.697931,1711504152.697931300,,,,,,,,,,443,60628,0x0018,52863,750,TLS_Packet_Captured
56,146.75.54.132,192.168.159.238,6,TLS,4074,57,2024-03-27 02:49:12.697932,1711504152.697931500,,,,,,,,,,443,60628,0x0018,56883,750,TLS_Packet_Captured
57,146.75.54.132,192.168.159.238,6,TLS,4074,58,2024-03-27 02:49:12.697932,1711504152.697931600,,,,,,,,,,443,60628,0x0010,60903,750,TLS_Packet_Captured
58,192.168.159.238,146.75.54.132,6,TCP,54,59,2024-03-27 02:49:12.697953,1711504152.697952700,,,,,,,,,,60628,443,0x0010,750,56883,
59,192.168.159.238,146.75.54.132,6,TCP,54,60,2024-03-27 02:49:12.698050,1711504152.698050200,,,,,,,,,,60628,443,0x0010,750,64923,
60,146.75.54.132,192.168.159.238,6,TLS,1394,61,2024-03-27 02:49:12.698360,1711504152.698360400,,,,,,,,,,443,60628,0x0018,64923,750,TLS_Packet_Captured
61,146.75.54.132,192.168.159.238,6,TLS,1394,62,2024-03-27 02:49:12.698361,1711504152.698360600,,,,,,,,,,443,60628,0x0010,66263,750,TLS_Packet_Captured
62,192.168.159.238,146.75.54.132,6,TCP,54,63,2024-03-27 02:49:12.698587,1711504152.698586600,,,,,,,,,,60628,443,0x0010,750,67603,
63,146.75.54.132,192.168.159.238,6,TLS,1538,64,2024-03-27 02:49:12.703517,1711504152.703517400,,,,,,,,,,443,60628,0x0018,67603,750,TLS_Packet_Captured
64,192.168.159.238,146.75.54.132,6,TCP,54,65,2024-03-27 02:49:12.703534,1711504152.703534200,,,,,,,,,,60628,443,0x0010,750,69087,
65,192.168.159.238,192.168.144.1,17,DNS,75,66,2024-03-27 02:49:12.704958,1711504152.704957900,www.foxnews.com,,1,0x0001,1,0,0,46703,53,,,,,,
66,192.168.159.238,192.168.144.1,17,DNS,75,67,2024-03-27 02:49:12.704964,1711504152.704963900,www.foxnews.com,,28,0x0001,1,0,0,46703,53,,,,,,
67,192.168.144.1,192.168.159.238,17,DNS,166,68,2024-03-27 02:49:12.705872,1711504152.705871500,www.foxnews.com,www.foxnews.com,1,0x0001,1,2,0,53,46703,,,,,,
68,192.168.144.1,192.168.159.238,17,DNS,127,69,2024-03-27 02:49:12.706120,1711504152.706120600,www.foxnews.com,www.foxnews.com,28,0x0001,1,1,0,53,46703,,,,,,
69,192.168.159.238,146.75.54.132,6,TCP,74,70,2024-03-27 02:49:12.706244,1711504152.706243900,,,,,,,,,,60630,443,0x0002,0,0,
70,146.75.54.132,192.168.159.238,6,TCP,66,71,2024-03-27 02:49:12.742809,1711504152.742809100,,,,,,,,,,443,60630,0x0012,0,1,
71,192.168.159.238,146.75.54.132,6,TCP,54,72,2024-03-27 02:49:12.742835,1711504152.742835000,,,,,,,,,,60630,443,0x0010,1,1,
72,192.168.159.238,146.75.54.132,6,TLS,571,73,2024-03-27 02:49:12.796573,1711504152.796572800,,,,,,,,,,60630,443,0x0018,1,1,TLS_Packet_Captured
73,146.75.54.132,192.168.159.238,6,TCP,54,74,2024-03-27 02:49:12.853645,1711504152.853644700,,,,,,,,,,443,60630,0x0010,1,518,
74,146.75.54.132,192.168.159.238,6,TLS,2734,75,2024-03-27 02:49:12.853645,1711504152.853644800,,,,,,,,,,443,60630,0x0018,1,518,TLS_Packet_Captured
75,146.75.54.132,192.168.159.238,6,TLS,2102,76,2024-03-27 02:49:12.853645,1711504152.853644900,,,,,,,,,,443,60630,0x0018,2681,518,TLS_Packet_Captured
76,192.168.159.238,146.75.54.132,6,TCP,54,77,2024-03-27 02:49:12.853668,1711504152.853667700,,,,,,,,,,60630,443,0x0010,518,2681,
77,192.168.159.238,146.75.54.132,6,TCP,54,78,2024-03-27 02:49:12.853678,1711504152.853677500,,,,,,,,,,60630,443,0x0010,518,4729,
78,192.168.159.238,146.75.54.132,6,TLS,118,79,2024-03-27 02:49:12.855399,1711504152.855398800,,,,,,,,,,60630,443,0x0018,518,4729,TLS_Packet_Captured
79,192.168.159.238,146.75.54.132,6,TLS,222,80,2024-03-27 02:49:12.855565,1711504152.855564700,,,,,,,,,,60630,443,0x0018,582,4729,TLS_Packet_Captured
80,146.75.54.132,192.168.159.238,6,TCP,54,81,2024-03-27 02:49:12.893365,1711504152.893365500,,,,,,,,,,443,60630,0x0010,4729,582,
81,146.75.54.132,192.168.159.238,6,TCP,54,82,2024-03-27 02:49:12.903763,1711504152.903762800,,,,,,,,,,443,60630,0x0010,4729,750,
82,146.75.54.132,192.168.159.238,6,TLS,1287,83,2024-03-27 02:49:12.903763,1711504152.903763400,,,,,,,,,,443,60630,0x0018,4729,750,TLS_Packet_Captured
83,192.168.159.238,146.75.54.132,6,TCP,54,84,2024-03-27 02:49:12.903784,1711504152.903784000,,,,,,,,,,60630,443,0x0010,750,5962,
84,146.75.54.132,192.168.159.238,6,TLS,2734,85,2024-03-27 02:49:12.910360,1711504152.910359900,,,,,,,,,,443,60630,0x0018,5962,750,TLS_Packet_Captured
85,146.75.54.132,192.168.159.238,6,TLS,2734,86,2024-03-27 02:49:12.910360,1711504152.910360100,,,,,,,,,,443,60630,0x0018,8642,750,TLS_Packet_Captured
86,192.168.159.238,146.75.54.132,6,TCP,54,87,2024-03-27 02:49:12.910378,1711504152.910378000,,,,,,,,,,60630,443,0x0010,750,8642,
87,192.168.159.238,146.75.54.132,6,TCP,54,88,2024-03-27 02:49:12.910388,1711504152.910387400,,,,,,,,,,60630,443,0x0010,750,11322,
88,146.75.54.132,192.168.159.238,6,TLS,2734,89,2024-03-27 02:49:12.924090,1711504152.924089600,,,,,,,,,,443,60630,0x0018,11322,750,TLS_Packet_Captured
89,192.168.159.238,146.75.54.132,6,TCP,54,90,2024-03-27 02:49:12.924106,1711504152.924106300,,,,,,,,,,60630,443,0x0010,750,14002,
90,146.75.54.132,192.168.159.238,6,TLS,2734,91,2024-03-27 02:49:12.924476,1711504152.924476400,,,,,,,,,,443,60630,0x0018,14002,750,TLS_Packet_Captured
91,146.75.54.132,192.168.159.238,6,TLS,2734,92,2024-03-27 02:49:12.924477,1711504152.924476600,,,,,,,,,,443,60630,0x0018,16682,750,TLS_Packet_Captured
92,146.75.54.132,192.168.159.238,6,TLS,2734,93,2024-03-27 02:49:12.924477,1711504152.924476600,,,,,,,,,,443,60630,0x0018,19362,750,TLS_Packet_Captured
93,146.75.54.132,192.168.159.238,6,TLS,2734,94,2024-03-27 02:49:12.924477,1711504152.924476600,,,,,,,,,,443,60630,0x0018,22042,750,TLS_Packet_Captured
94,192.168.159.238,146.75.54.132,6,TCP,54,95,2024-03-27 02:49:12.924492,1711504152.924492100,,,,,,,,,,60630,443,0x0010,750,16682,
95,192.168.159.238,146.75.54.132,6,TCP,54,96,2024-03-27 02:49:12.924500,1711504152.924499700,,,,,,,,,,60630,443,0x0010,750,19362,
96,192.168.159.238,146.75.54.132,6,TCP,54,97,2024-03-27 02:49:12.924502,1711504152.924502000,,,,,,,,,,60630,443,0x0010,750,22042,
97,192.168.159.238,146.75.54.132,6,TCP,54,98,2024-03-27 02:49:12.924506,1711504152.924506000,,,,,,,,,,60630,443,0x0010,750,24722,
98,146.75.54.132,192.168.159.238,6,TLS,1394,99,2024-03-27 02:49:12.924509,1711504152.924508500,,,,,,,,,,443,60630,0x0010,24722,750,TLS_Packet_Captured
99,192.168.159.238,146.75.54.132,6,TCP,54,100,2024-03-27 02:49:12.924512,1711504152.924511800,,,,,,,,,,60630,443,0x0010,750,26062,
100,146.75.54.132,192.168.159.238,6,TLS,1394,101,2024-03-27 02:49:12.924988,1711504152.924987900,,,,,,,,,,443,60630,0x0018,26062,750,TLS_Packet_Captured
101,146.75.54.132,192.168.159.238,6,TLS,2734,102,2024-03-27 02:49:12.924989,1711504152.924988400,,,,,,,,,,443,60630,0x0018,27402,750,TLS_Packet_Captured
102,146.75.54.132,192.168.159.238,6,TLS,2734,103,2024-03-27 02:49:12.924989,1711504152.924988400,,,,,,,,,,443,60630,0x0018,30082,750,TLS_Packet_Captured
103,146.75.54.132,192.168.159.238,6,TLS,2734,104,2024-03-27 02:49:12.924989,1711504152.924988400,,,,,,,,,,443,60630,0x0018,32762,750,TLS_Packet_Captured
104,192.168.159.238,146.75.54.132,6,TCP,54,105,2024-03-27 02:49:12.925001,1711504152.925001100,,,,,,,,,,60630,443,0x0010,750,27402,
105,192.168.159.238,146.75.54.132,6,TCP,54,106,2024-03-27 02:49:12.925005,1711504152.925005100,,,,,,,,,,60630,443,0x0010,750,30082,
