,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,79,1,2024-03-27 02:45:58.482040,1711503958.482040300,www.news.google.com,,1,0x0001,1,0,0,54680,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,79,2,2024-03-27 02:45:58.482048,1711503958.482047600,www.news.google.com,,28,0x0001,1,0,0,54680,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,158,3,2024-03-27 02:45:58.550099,1711503958.550099200,www.news.google.com,www.news.google.com,1,0x0001,1,2,0,53,54680,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,170,4,2024-03-27 02:45:58.600400,1711503958.600400500,www.news.google.com,www.news.google.com,28,0x0001,1,2,0,53,54680,,,,,,
4,192.168.159.238,216.58.205.46,6,TCP,74,5,2024-03-27 02:45:58.600796,1711503958.600795500,,,,,,,,,,59706,443,0x0002,0,0,
5,216.58.205.46,192.168.159.238,6,TCP,66,6,2024-03-27 02:45:58.636066,1711503958.636066300,,,,,,,,,,443,59706,0x0012,0,1,
6,192.168.159.238,216.58.205.46,6,TCP,54,7,2024-03-27 02:45:58.636154,1711503958.636153800,,,,,,,,,,59706,443,0x0010,1,1,
7,192.168.159.238,216.58.205.46,6,TLS,571,8,2024-03-27 02:45:58.689483,1711503958.689482600,,,,,,,,,,59706,443,0x0018,1,1,TLS_Packet_Captured
8,216.58.205.46,192.168.159.238,6,TCP,54,9,2024-03-27 02:45:58.742914,1711503958.742914500,,,,,,,,,,443,59706,0x0010,1,518,
9,216.58.205.46,192.168.159.238,6,TLS,2734,10,2024-03-27 02:45:58.752500,1711503958.752499800,,,,,,,,,,443,59706,0x0018,1,518,TLS_Packet_Captured
10,192.168.159.238,216.58.205.46,6,TCP,54,11,2024-03-27 02:45:58.752531,1711503958.752530500,,,,,,,,,,59706,443,0x0010,518,2681,
11,216.58.205.46,192.168.159.238,6,TLS,1706,12,2024-03-27 02:45:58.753034,1711503958.753034100,,,,,,,,,,443,59706,0x0018,2681,518,TLS_Packet_Captured
12,192.168.159.238,216.58.205.46,6,TCP,54,13,2024-03-27 02:45:58.753051,1711503958.753050800,,,,,,,,,,59706,443,0x0010,518,4333,
13,192.168.159.238,216.58.205.46,6,TLS,134,14,2024-03-27 02:45:58.754771,1711503958.754771100,,,,,,,,,,59706,443,0x0018,518,4333,TLS_Packet_Captured
14,192.168.159.238,216.58.205.46,6,TLS,226,15,2024-03-27 02:45:58.754999,1711503958.754998700,,,,,,,,,,59706,443,0x0018,598,4333,TLS_Packet_Captured
15,216.58.205.46,192.168.159.238,6,TCP,54,16,2024-03-27 02:45:58.802539,1711503958.802539100,,,,,,,,,,443,59706,0x0010,4333,770,
16,216.58.205.46,192.168.159.238,6,TLS,1309,17,2024-03-27 02:45:58.815212,1711503958.815211800,,,,,,,,,,443,59706,0x0018,4333,770,TLS_Packet_Captured
17,192.168.159.238,216.58.205.46,6,TCP,54,18,2024-03-27 02:45:58.815229,1711503958.815229400,,,,,,,,,,59706,443,0x0010,770,5588,
18,192.168.159.238,192.168.144.1,17,DNS,75,19,2024-03-27 02:45:58.816409,1711503958.816408900,news.google.com,,1,0x0001,1,0,0,55549,53,,,,,,
19,192.168.159.238,192.168.144.1,17,DNS,75,20,2024-03-27 02:45:58.816415,1711503958.816414900,news.google.com,,28,0x0001,1,0,0,55549,53,,,,,,
20,192.168.144.1,192.168.159.238,17,DNS,106,21,2024-03-27 02:45:58.821317,1711503958.821317500,news.google.com,news.google.com,1,0x0001,1,1,0,53,55549,,,,,,
21,192.168.144.1,192.168.159.238,17,DNS,118,22,2024-03-27 02:45:58.827382,1711503958.827382200,news.google.com,news.google.com,28,0x0001,1,1,0,53,55549,,,,,,
22,192.168.159.238,216.58.205.46,6,TCP,74,23,2024-03-27 02:45:58.827666,1711503958.827665900,,,,,,,,,,59708,443,0x0002,0,0,
23,216.58.205.46,192.168.159.238,6,TCP,66,24,2024-03-27 02:45:58.869104,1711503958.869103900,,,,,,,,,,443,59708,0x0012,0,1,
24,192.168.159.238,216.58.205.46,6,TCP,54,25,2024-03-27 02:45:58.869147,1711503958.869147100,,,,,,,,,,59708,443,0x0010,1,1,
25,192.168.159.238,216.58.205.46,6,TLS,571,26,2024-03-27 02:45:58.922552,1711503958.922552400,,,,,,,,,,59708,443,0x0018,1,1,TLS_Packet_Captured
26,216.58.205.46,192.168.159.238,6,TCP,54,27,2024-03-27 02:45:58.982959,1711503958.982958600,,,,,,,,,,443,59708,0x0010,1,518,
27,216.58.205.46,192.168.159.238,6,TLS,2734,28,2024-03-27 02:45:58.989358,1711503958.989357600,,,,,,,,,,443,59708,0x0018,1,518,TLS_Packet_Captured
28,216.58.205.46,192.168.159.238,6,TCP,365,29,2024-03-27 02:45:58.989358,1711503958.989357800,,,,,,,,,,443,59708,0x0018,4021,518,
29,216.58.205.46,192.168.159.238,6,DATA,1394,30,2024-03-27 02:45:58.989358,1711503958.989357800,,,,,,,,,,443,59708,0x0010,2681,518,
30,192.168.159.238,216.58.205.46,6,TCP,54,31,2024-03-27 02:45:58.989375,1711503958.989375300,,,,,,,,,,59708,443,0x0010,518,2681,
31,192.168.159.238,216.58.205.46,6,TCP,66,32,2024-03-27 02:45:58.989404,1711503958.989404300,,,,,,,,,,59708,443,0x0010,518,2681,
32,192.168.159.238,216.58.205.46,6,TCP,54,33,2024-03-27 02:45:58.989408,1711503958.989407700,,,,,,,,,,59708,443,0x0010,518,4332,
33,192.168.159.238,216.58.205.46,6,TLS,134,34,2024-03-27 02:45:58.991138,1711503958.991138100,,,,,,,,,,59708,443,0x0018,518,4332,TLS_Packet_Captured
34,192.168.159.238,216.58.205.46,6,TLS,222,35,2024-03-27 02:45:58.991310,1711503958.991309600,,,,,,,,,,59708,443,0x0018,598,4332,TLS_Packet_Captured
35,216.58.205.46,192.168.159.238,6,TCP,54,36,2024-03-27 02:45:59.032486,1711503959.032485800,,,,,,,,,,443,59708,0x0010,4332,766,
36,216.58.205.46,192.168.159.238,6,TLS,2363,37,2024-03-27 02:45:59.067132,1711503959.067132500,,,,,,,,,,443,59708,0x0018,4332,766,TLS_Packet_Captured
37,192.168.159.238,216.58.205.46,6,TCP,54,38,2024-03-27 02:45:59.067150,1711503959.067150200,,,,,,,,,,59708,443,0x0010,766,6641,
38,192.168.159.238,216.58.205.46,6,TLS,453,39,2024-03-27 02:45:59.069203,1711503959.069203100,,,,,,,,,,59708,443,0x0018,766,6641,TLS_Packet_Captured
39,216.58.205.46,192.168.159.238,6,TCP,54,40,2024-03-27 02:45:59.122460,1711503959.122460400,,,,,,,,,,443,59708,0x0010,6641,1165,
40,216.58.205.46,192.168.159.238,6,TLS,235,41,2024-03-27 02:45:59.151343,1711503959.151343100,,,,,,,,,,443,59708,0x0018,7981,1165,TLS_Packet_Captured
41,216.58.205.46,192.168.159.238,6,TCP,1394,42,2024-03-27 02:45:59.151343,1711503959.151343300,,,,,,,,,,443,59708,0x0010,6641,1165,
42,216.58.205.46,192.168.159.238,6,TLS,1346,43,2024-03-27 02:45:59.151343,1711503959.151343300,,,,,,,,,,443,59708,0x0018,8162,1165,TLS_Packet_Captured
43,192.168.159.238,216.58.205.46,6,TCP,66,44,2024-03-27 02:45:59.151364,1711503959.151363800,,,,,,,,,,59708,443,0x0010,1165,6641,
