,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port
0,23.79.95.79,192.168.159.238,6,TLS,1394,1,2024-03-27 02:35:42.036794,1711503342.036794300,443,48616,0x0010,1,1,TLS_Packet_Captured,,,,,,,,,
1,192.168.159.238,23.79.95.79,6,TCP,54,2,2024-03-27 02:35:42.036820,1711503342.036820200,48616,443,0x0010,1,1341,,,,,,,,,,
2,23.79.95.79,192.168.159.238,6,TCP,1394,3,2024-03-27 02:35:42.046378,1711503342.046378300,443,48616,0x0018,1341,1,,,,,,,,,,
3,23.79.95.79,192.168.159.238,6,TCP,2734,4,2024-03-27 02:35:42.046379,1711503342.046378600,443,48616,0x0018,2681,1,,,,,,,,,,
4,23.79.95.79,192.168.159.238,6,TCP,2734,5,2024-03-27 02:35:42.046379,1711503342.046378600,443,48616,0x0018,5361,1,,,,,,,,,,
5,23.79.95.79,192.168.159.238,6,TCP,2734,6,2024-03-27 02:35:42.046379,1711503342.046378600,443,48616,0x0018,8041,1,,,,,,,,,,
6,23.79.95.79,192.168.159.238,6,TCP,2734,7,2024-03-27 02:35:42.046379,1711503342.046378700,443,48616,0x0018,10721,1,,,,,,,,,,
7,192.168.159.238,23.79.95.79,6,TCP,54,8,2024-03-27 02:35:42.046419,1711503342.046418700,48616,443,0x0010,1,2681,,,,,,,,,,
8,192.168.159.238,23.79.95.79,6,TCP,54,9,2024-03-27 02:35:42.046477,1711503342.046477300,48616,443,0x0010,1,5361,,,,,,,,,,
9,192.168.159.238,23.79.95.79,6,TCP,54,10,2024-03-27 02:35:42.046503,1711503342.046502600,48616,443,0x0010,1,8041,,,,,,,,,,
10,192.168.159.238,23.79.95.79,6,TCP,54,11,2024-03-27 02:35:42.046506,1711503342.046505800,48616,443,0x0010,1,10721,,,,,,,,,,
11,192.168.159.238,23.79.95.79,6,TCP,54,12,2024-03-27 02:35:42.046507,1711503342.046507300,48616,443,0x0010,1,13401,,,,,,,,,,
