,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,71,1,2024-03-27 02:44:28.592426,1711503868.592426100,www.msn.com,,1,0x0001,1,0,0,48903,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,71,2,2024-03-27 02:44:28.592436,1711503868.592436400,www.msn.com,,28,0x0001,1,0,0,48903,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,226,3,2024-03-27 02:44:28.648577,1711503868.648577000,www.msn.com,www.msn.com,1,0x0001,1,3,0,53,48903,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,191,4,2024-03-27 02:44:28.694309,1711503868.694309000,www.msn.com,www.msn.com,28,0x0001,1,2,0,53,48903,,,,,,
4,192.168.159.238,204.79.197.203,6,TCP,74,5,2024-03-27 02:44:28.694553,1711503868.694553200,,,,,,,,,,34906,443,0x0002,0,0,
5,204.79.197.203,192.168.159.238,6,TCP,66,6,2024-03-27 02:44:28.757265,1711503868.757264800,,,,,,,,,,443,34906,0x0012,0,1,
6,192.168.159.238,204.79.197.203,6,TCP,54,7,2024-03-27 02:44:28.757350,1711503868.757349800,,,,,,,,,,34906,443,0x0010,1,1,
7,192.168.159.238,204.79.197.203,6,TLS,571,8,2024-03-27 02:44:28.810173,1711503868.810173300,,,,,,,,,,34906,443,0x0018,1,1,TLS_Packet_Captured
8,204.79.197.203,192.168.159.238,6,TLS,4224,9,2024-03-27 02:44:28.873046,1711503868.873045600,,,,,,,,,,443,34906,0x0018,1,518,TLS_Packet_Captured
9,204.79.197.203,192.168.159.238,6,TCP,54,10,2024-03-27 02:44:28.873046,1711503868.873045700,,,,,,,,,,443,34906,0x0010,1,518,
10,192.168.159.238,204.79.197.203,6,TCP,54,11,2024-03-27 02:44:28.873091,1711503868.873090500,,,,,,,,,,34906,443,0x0010,518,4171,
11,192.168.159.238,204.79.197.203,6,TCP,54,12,2024-03-27 02:44:28.873096,1711503868.873095600,,,,,,,,,,34906,443,0x0010,518,4171,
12,192.168.159.238,204.79.197.203,6,TLS,212,13,2024-03-27 02:44:28.876346,1711503868.876346400,,,,,,,,,,34906,443,0x0018,518,4171,TLS_Packet_Captured
13,204.79.197.203,192.168.159.238,6,TCP,54,14,2024-03-27 02:44:28.922893,1711503868.922893100,,,,,,,,,,443,34906,0x0010,4171,676,
14,204.79.197.203,192.168.159.238,6,TLS,105,15,2024-03-27 02:44:28.926511,1711503868.926510900,,,,,,,,,,443,34906,0x0018,4171,676,TLS_Packet_Captured
15,192.168.159.238,204.79.197.203,6,TCP,54,16,2024-03-27 02:44:28.926529,1711503868.926528800,,,,,,,,,,34906,443,0x0010,676,4222,
16,192.168.159.238,204.79.197.203,6,TLS,225,17,2024-03-27 02:44:28.926899,1711503868.926899500,,,,,,,,,,34906,443,0x0018,676,4222,TLS_Packet_Captured
17,204.79.197.203,192.168.159.238,6,TCP,54,18,2024-03-27 02:44:28.990911,1711503868.990911300,,,,,,,,,,443,34906,0x0010,4222,847,
18,204.79.197.203,192.168.159.238,6,TLS,1992,19,2024-03-27 02:44:29.023812,1711503869.023811900,,,,,,,,,,443,34906,0x0018,4222,847,TLS_Packet_Captured
19,192.168.159.238,204.79.197.203,6,TCP,54,20,2024-03-27 02:44:29.023829,1711503869.023828900,,,,,,,,,,34906,443,0x0010,847,6160,
20,192.168.159.238,204.79.197.203,6,TLS,499,21,2024-03-27 02:44:29.025945,1711503869.025945300,,,,,,,,,,34906,443,0x0018,847,6160,TLS_Packet_Captured
21,204.79.197.203,192.168.159.238,6,TCP,54,22,2024-03-27 02:44:29.072787,1711503869.072787400,,,,,,,,,,443,34906,0x0010,6160,1292,
22,204.79.197.203,192.168.159.238,6,TLS,1394,23,2024-03-27 02:44:29.163412,1711503869.163411500,,,,,,,,,,443,34906,0x0010,6160,1292,TLS_Packet_Captured
23,204.79.197.203,192.168.159.238,6,TLS,2580,24,2024-03-27 02:44:29.167988,1711503869.167988200,,,,,,,,,,443,34906,0x0018,7500,1292,TLS_Packet_Captured
24,192.168.159.238,204.79.197.203,6,TCP,54,25,2024-03-27 02:44:29.168075,1711503869.168075100,,,,,,,,,,34906,443,0x0010,1292,10026,
25,204.79.197.203,192.168.159.238,6,TLS,618,26,2024-03-27 02:44:29.168371,1711503869.168371300,,,,,,,,,,443,34906,0x0018,10026,1292,TLS_Packet_Captured
26,204.79.197.203,192.168.159.238,6,TLS,505,27,2024-03-27 02:44:29.168371,1711503869.168371400,,,,,,,,,,443,34906,0x0018,10590,1292,TLS_Packet_Captured
27,204.79.197.203,192.168.159.238,6,TLS,4074,28,2024-03-27 02:44:29.168371,1711503869.168371400,,,,,,,,,,443,34906,0x0010,11041,1292,TLS_Packet_Captured
28,204.79.197.203,192.168.159.238,6,TLS,110,29,2024-03-27 02:44:29.168506,1711503869.168505700,,,,,,,,,,443,34906,0x0018,15061,1292,TLS_Packet_Captured
29,204.79.197.203,192.168.159.238,6,TLS,139,30,2024-03-27 02:44:29.168506,1711503869.168505700,,,,,,,,,,443,34906,0x0018,15117,1292,TLS_Packet_Captured
30,204.79.197.203,192.168.159.238,6,TLS,94,31,2024-03-27 02:44:29.168506,1711503869.168505800,,,,,,,,,,443,34906,0x0018,15202,1292,TLS_Packet_Captured
31,192.168.159.238,204.79.197.203,6,TCP,54,32,2024-03-27 02:44:29.169187,1711503869.169187000,,,,,,,,,,34906,443,0x0010,1292,15242,
32,204.79.197.203,192.168.159.238,6,TLS,2204,33,2024-03-27 02:44:29.171156,1711503869.171156400,,,,,,,,,,443,34906,0x0018,15242,1292,TLS_Packet_Captured
33,192.168.159.238,204.79.197.203,6,TCP,54,34,2024-03-27 02:44:29.171174,1711503869.171173500,,,,,,,,,,34906,443,0x0010,1292,17392,
34,204.79.197.203,192.168.159.238,6,TLS,2010,35,2024-03-27 02:44:29.171785,1711503869.171785300,,,,,,,,,,443,34906,0x0018,17392,1292,TLS_Packet_Captured
35,204.79.197.203,192.168.159.238,6,TLS,1394,36,2024-03-27 02:44:29.171785,1711503869.171785400,,,,,,,,,,443,34906,0x0010,19348,1292,TLS_Packet_Captured
36,192.168.159.238,204.79.197.203,6,TCP,54,37,2024-03-27 02:44:29.171799,1711503869.171799000,,,,,,,,,,34906,443,0x0010,1292,19348,
37,204.79.197.203,192.168.159.238,6,TLS,920,38,2024-03-27 02:44:29.171991,1711503869.171990800,,,,,,,,,,443,34906,0x0018,20688,1292,TLS_Packet_Captured
38,204.79.197.203,192.168.159.238,6,TLS,1394,39,2024-03-27 02:44:29.171991,1711503869.171990900,,,,,,,,,,443,34906,0x0010,21554,1292,TLS_Packet_Captured
39,192.168.159.238,204.79.197.203,6,TCP,54,40,2024-03-27 02:44:29.172001,1711503869.172000700,,,,,,,,,,34906,443,0x0010,1292,21554,
40,204.79.197.203,192.168.159.238,6,TLS,2791,41,2024-03-27 02:44:29.179458,1711503869.179458000,,,,,,,,,,443,34906,0x0018,22894,1292,TLS_Packet_Captured
41,204.79.197.203,192.168.159.238,6,TLS,139,42,2024-03-27 02:44:29.179458,1711503869.179458100,,,,,,,,,,443,34906,0x0018,25631,1292,TLS_Packet_Captured
42,204.79.197.203,192.168.159.238,6,TLS,91,43,2024-03-27 02:44:29.179458,1711503869.179458200,,,,,,,,,,443,34906,0x0018,25716,1292,TLS_Packet_Captured
43,204.79.197.203,192.168.159.238,6,TLS,1394,44,2024-03-27 02:44:29.179458,1711503869.179458200,,,,,,,,,,443,34906,0x0010,25753,1292,TLS_Packet_Captured
44,192.168.159.238,204.79.197.203,6,TCP,54,45,2024-03-27 02:44:29.179544,1711503869.179544400,,,,,,,,,,34906,443,0x0010,1292,27093,
45,204.79.197.203,192.168.159.238,6,TLS,1838,46,2024-03-27 02:44:29.183845,1711503869.183844500,,,,,,,,,,443,34906,0x0018,27093,1292,TLS_Packet_Captured
46,204.79.197.203,192.168.159.238,6,TLS,1036,47,2024-03-27 02:44:29.183845,1711503869.183844700,,,,,,,,,,443,34906,0x0018,28877,1292,TLS_Packet_Captured
47,204.79.197.203,192.168.159.238,6,TLS,3234,48,2024-03-27 02:44:29.183845,1711503869.183844700,,,,,,,,,,443,34906,0x0018,29859,1292,TLS_Packet_Captured
48,204.79.197.203,192.168.159.238,6,TLS,1394,49,2024-03-27 02:44:29.183845,1711503869.183844700,,,,,,,,,,443,34906,0x0010,33039,1292,TLS_Packet_Captured
