,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,72,1,2024-03-27 02:37:54.685282,1711503474.685282200,www.ndtv.com,,1,0x0001,1,0,0,56070,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,72,2,2024-03-27 02:37:54.685289,1711503474.685289000,www.ndtv.com,,28,0x0001,1,0,0,56070,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,100,3,2024-03-27 02:37:54.769331,1711503474.769330400,www.ndtv.com,www.ndtv.com,1,0x0001,1,1,0,53,56070,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,140,4,2024-03-27 02:37:54.953413,1711503474.953413500,www.ndtv.com,www.ndtv.com,28,0x0001,1,2,0,53,56070,,,,,,
4,192.168.159.238,104.85.9.29,6,TCP,74,5,2024-03-27 02:37:54.953795,1711503474.953795200,,,,,,,,,,56442,443,0x0002,0,0,
5,104.85.9.29,192.168.159.238,6,TCP,66,6,2024-03-27 02:37:54.997935,1711503474.997935400,,,,,,,,,,443,56442,0x0012,0,1,
6,192.168.159.238,104.85.9.29,6,TCP,54,7,2024-03-27 02:37:54.998031,1711503474.998031100,,,,,,,,,,56442,443,0x0010,1,1,
7,192.168.159.238,104.85.9.29,6,TLS,571,8,2024-03-27 02:37:55.049211,1711503475.049210800,,,,,,,,,,56442,443,0x0018,1,1,TLS_Packet_Captured
8,104.85.9.29,192.168.159.238,6,TLS,2734,9,2024-03-27 02:37:55.107966,1711503475.107965800,,,,,,,,,,443,56442,0x0018,1,518,TLS_Packet_Captured
9,104.85.9.29,192.168.159.238,6,TLS,1050,10,2024-03-27 02:37:55.107966,1711503475.107966000,,,,,,,,,,443,56442,0x0018,2681,518,TLS_Packet_Captured
10,192.168.159.238,104.85.9.29,6,TCP,54,11,2024-03-27 02:37:55.108012,1711503475.108012100,,,,,,,,,,56442,443,0x0010,518,2681,
11,192.168.159.238,104.85.9.29,6,TCP,54,12,2024-03-27 02:37:55.108018,1711503475.108018300,,,,,,,,,,56442,443,0x0010,518,3677,
12,192.168.159.238,104.85.9.29,6,TLS,134,13,2024-03-27 02:37:55.109465,1711503475.109464800,,,,,,,,,,56442,443,0x0018,518,3677,TLS_Packet_Captured
13,192.168.159.238,104.85.9.29,6,TLS,219,14,2024-03-27 02:37:55.109634,1711503475.109634300,,,,,,,,,,56442,443,0x0018,598,3677,TLS_Packet_Captured
14,104.85.9.29,192.168.159.238,6,TCP,54,15,2024-03-27 02:37:55.112620,1711503475.112620300,,,,,,,,,,443,56442,0x0010,1,518,
15,192.168.159.238,104.85.9.29,6,TCP,54,16,2024-03-27 02:37:55.112637,1711503475.112636800,,,,,,,,,,56442,443,0x0010,763,3677,
16,104.85.9.29,192.168.159.238,6,TLS,341,17,2024-03-27 02:37:55.165493,1711503475.165493400,,,,,,,,,,443,56442,0x0018,3677,598,TLS_Packet_Captured
17,104.85.9.29,192.168.159.238,6,TLS,341,18,2024-03-27 02:37:55.165493,1711503475.165493500,,,,,,,,,,443,56442,0x0018,3964,598,TLS_Packet_Captured
18,192.168.159.238,104.85.9.29,6,TCP,54,19,2024-03-27 02:37:55.165516,1711503475.165515800,,,,,,,,,,56442,443,0x0010,763,3964,
19,192.168.159.238,104.85.9.29,6,TCP,54,20,2024-03-27 02:37:55.165546,1711503475.165546200,,,,,,,,,,56442,443,0x0010,763,4251,
