,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,74,1,2024-03-27 02:41:31.408932,1711503691.408932100,www.news18.com,,1,0x0001,1,0,0,54574,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,74,2,2024-03-27 02:41:31.408939,1711503691.408938800,www.news18.com,,28,0x0001,1,0,0,54574,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,104,3,2024-03-27 02:41:31.486916,1711503691.486916100,www.news18.com,www.news18.com,1,0x0001,1,1,0,53,54574,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,144,4,2024-03-27 02:41:31.550744,1711503691.550744400,www.news18.com,www.news18.com,28,0x0001,1,2,0,53,54574,,,,,,
4,192.168.159.238,23.10.245.160,6,TCP,74,5,2024-03-27 02:41:31.551017,1711503691.551016500,,,,,,,,,,59196,443,0x0002,0,0,
5,192.168.144.1,239.255.255.250,17,SSDP,217,6,2024-03-27 02:41:31.581695,1711503691.581695100,,,,,,,,53044,1900,,,,,,
6,23.10.245.160,192.168.159.238,6,TCP,66,7,2024-03-27 02:41:31.584050,1711503691.584050400,,,,,,,,,,443,59196,0x0012,0,1,
7,192.168.159.238,23.10.245.160,6,TCP,54,8,2024-03-27 02:41:31.584139,1711503691.584139200,,,,,,,,,,59196,443,0x0010,1,1,
8,192.168.159.238,23.10.245.160,6,TLS,571,9,2024-03-27 02:41:31.636866,1711503691.636865600,,,,,,,,,,59196,443,0x0018,1,1,TLS_Packet_Captured
9,192.168.144.1,239.255.255.250,17,SSDP,211,10,2024-03-27 02:41:31.641160,1711503691.641159800,,,,,,,,53048,1900,,,,,,
10,23.10.245.160,192.168.159.238,6,TCP,54,11,2024-03-27 02:41:31.692672,1711503691.692672400,,,,,,,,,,443,59196,0x0010,1,518,
11,23.10.245.160,192.168.159.238,6,TLS,1394,12,2024-03-27 02:41:31.703538,1711503691.703538300,,,,,,,,,,443,59196,0x0010,1,518,TLS_Packet_Captured
12,192.168.159.238,23.10.245.160,6,TCP,54,13,2024-03-27 02:41:31.703559,1711503691.703558700,,,,,,,,,,59196,443,0x0010,518,1341,
