,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,78,1,2024-03-27 02:50:58.543462,1711504258.543462300,www.news.yahoo.com,,1,0x0001,1,0,0,33713,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,78,2,2024-03-27 02:50:58.543469,1711504258.543469300,www.news.yahoo.com,,28,0x0001,1,0,0,33713,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,422,3,2024-03-27 02:50:58.645622,1711504258.645622500,www.news.yahoo.com,www.news.yahoo.com,1,0x0001,1,6,0,53,33713,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,348,4,2024-03-27 02:50:58.701148,1711504258.701147600,www.news.yahoo.com,www.news.yahoo.com,28,0x0001,1,4,0,53,33713,,,,,,
4,192.168.159.238,76.223.84.192,6,TCP,74,5,2024-03-27 02:50:58.701447,1711504258.701447100,,,,,,,,,,35658,443,0x0002,0,0,
5,76.223.84.192,192.168.159.238,6,TCP,66,6,2024-03-27 02:50:58.739977,1711504258.739977200,,,,,,,,,,443,35658,0x0012,0,1,
6,192.168.159.238,76.223.84.192,6,TCP,54,7,2024-03-27 02:50:58.740067,1711504258.740066800,,,,,,,,,,35658,443,0x0010,1,1,
7,192.168.159.238,76.223.84.192,6,TLS,571,8,2024-03-27 02:50:58.796867,1711504258.796867100,,,,,,,,,,35658,443,0x0018,1,1,TLS_Packet_Captured
8,76.223.84.192,192.168.159.238,6,TCP,54,9,2024-03-27 02:50:58.853180,1711504258.853180500,,,,,,,,,,443,35658,0x0010,1,518,
9,76.223.84.192,192.168.159.238,6,TLS,2734,10,2024-03-27 02:50:58.877947,1711504258.877947200,,,,,,,,,,443,35658,0x0010,1,518,TLS_Packet_Captured
10,192.168.159.238,76.223.84.192,6,TCP,54,11,2024-03-27 02:50:58.877964,1711504258.877964500,,,,,,,,,,35658,443,0x0010,518,2681,
11,76.223.84.192,192.168.159.238,6,TCP,1470,12,2024-03-27 02:50:58.883871,1711504258.883870500,,,,,,,,,,443,35658,0x0018,2681,518,
12,76.223.84.192,192.168.159.238,6,TLS,769,13,2024-03-27 02:50:58.883871,1711504258.883870700,,,,,,,,,,443,35658,0x0018,4097,518,TLS_Packet_Captured
13,192.168.159.238,76.223.84.192,6,TCP,54,14,2024-03-27 02:50:58.883887,1711504258.883887300,,,,,,,,,,35658,443,0x0010,518,4097,
14,192.168.159.238,76.223.84.192,6,TCP,54,15,2024-03-27 02:50:58.883920,1711504258.883920000,,,,,,,,,,35658,443,0x0010,518,4812,
15,192.168.159.238,76.223.84.192,6,TLS,118,16,2024-03-27 02:50:58.885278,1711504258.885278200,,,,,,,,,,35658,443,0x0018,518,4812,TLS_Packet_Captured
16,192.168.159.238,76.223.84.192,6,TLS,225,17,2024-03-27 02:50:58.885484,1711504258.885483700,,,,,,,,,,35658,443,0x0018,582,4812,TLS_Packet_Captured
17,76.223.84.192,192.168.159.238,6,TCP,769,18,2024-03-27 02:50:58.889731,1711504258.889731300,,,,,,,,,,443,35658,0x0018,4097,518,
18,192.168.159.238,76.223.84.192,6,TCP,66,19,2024-03-27 02:50:58.889775,1711504258.889775200,,,,,,,,,,35658,443,0x0010,753,4812,
19,76.223.84.192,192.168.159.238,6,TCP,54,20,2024-03-27 02:50:58.933540,1711504258.933539800,,,,,,,,,,443,35658,0x0010,4812,753,
20,76.223.84.192,192.168.159.238,6,TLS,341,21,2024-03-27 02:50:58.951577,1711504258.951576800,,,,,,,,,,443,35658,0x0018,4812,753,TLS_Packet_Captured
21,192.168.159.238,76.223.84.192,6,TCP,54,22,2024-03-27 02:50:58.951594,1711504258.951593600,,,,,,,,,,35658,443,0x0010,753,5099,
22,76.223.84.192,192.168.159.238,6,TLS,341,23,2024-03-27 02:50:58.952203,1711504258.952203200,,,,,,,,,,443,35658,0x0018,5099,753,TLS_Packet_Captured
23,76.223.84.192,192.168.159.238,6,TLS,774,24,2024-03-27 02:50:58.952203,1711504258.952203300,,,,,,,,,,443,35658,0x0018,5386,753,TLS_Packet_Captured
24,192.168.159.238,76.223.84.192,6,TCP,54,25,2024-03-27 02:50:58.952217,1711504258.952217300,,,,,,,,,,35658,443,0x0010,753,5386,
25,192.168.159.238,76.223.84.192,6,TCP,54,26,2024-03-27 02:50:58.952245,1711504258.952245000,,,,,,,,,,35658,443,0x0010,753,6106,
26,76.223.84.192,192.168.159.238,6,TLS,2698,27,2024-03-27 02:50:58.952507,1711504258.952506600,,,,,,,,,,443,35658,0x0018,6106,753,TLS_Packet_Captured
