,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,74,1,2024-03-27 02:42:28.232324,1711503748.232323600,www.nypost.com,,1,0x0001,1,0,0,55272,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,74,2,2024-03-27 02:42:28.232330,1711503748.232330100,www.nypost.com,,28,0x0001,1,0,0,55272,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,104,3,2024-03-27 02:42:28.310641,1711503748.310640700,www.nypost.com,www.nypost.com,1,0x0001,1,1,0,53,55272,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,74,4,2024-03-27 02:42:28.384964,1711503748.384964200,www.nypost.com,,28,0x0001,1,0,0,53,55272,,,,,,
4,192.168.159.238,192.0.66.32,6,TCP,74,5,2024-03-27 02:42:28.385253,1711503748.385252900,,,,,,,,,,35130,443,0x0002,0,0,
5,192.0.66.32,192.168.159.238,6,TCP,66,6,2024-03-27 02:42:28.444903,1711503748.444902700,,,,,,,,,,443,35130,0x0012,0,1,
6,192.168.159.238,192.0.66.32,6,TCP,54,7,2024-03-27 02:42:28.444989,1711503748.444989100,,,,,,,,,,35130,443,0x0010,1,1,
7,192.168.159.238,192.0.66.32,6,TLS,571,8,2024-03-27 02:42:28.504344,1711503748.504344000,,,,,,,,,,35130,443,0x0018,1,1,TLS_Packet_Captured
8,192.0.66.32,192.168.159.238,6,TLS,1394,9,2024-03-27 02:42:28.585469,1711503748.585469400,,,,,,,,,,443,35130,0x0010,1,518,TLS_Packet_Captured
9,192.0.66.32,192.168.159.238,6,TCP,54,10,2024-03-27 02:42:28.585469,1711503748.585469600,,,,,,,,,,443,35130,0x0010,1,518,
10,192.0.66.32,192.168.159.238,6,TLS,1394,11,2024-03-27 02:42:28.585470,1711503748.585469700,,,,,,,,,,443,35130,0x0018,1341,518,TLS_Packet_Captured
11,192.0.66.32,192.168.159.238,6,TLS,140,12,2024-03-27 02:42:28.585470,1711503748.585469700,,,,,,,,,,443,35130,0x0018,2681,518,TLS_Packet_Captured
12,192.168.159.238,192.0.66.32,6,TCP,54,13,2024-03-27 02:42:28.585522,1711503748.585521900,,,,,,,,,,35130,443,0x0010,518,1341,
13,192.168.159.238,192.0.66.32,6,TCP,54,14,2024-03-27 02:42:28.585527,1711503748.585527500,,,,,,,,,,35130,443,0x0010,518,1341,
14,192.168.159.238,192.0.66.32,6,TCP,54,15,2024-03-27 02:42:28.585530,1711503748.585530400,,,,,,,,,,35130,443,0x0010,518,2681,
15,192.168.159.238,192.0.66.32,6,TCP,54,16,2024-03-27 02:42:28.585533,1711503748.585532800,,,,,,,,,,35130,443,0x0010,518,2767,
16,192.168.159.238,192.0.66.32,6,TLS,134,17,2024-03-27 02:42:28.587059,1711503748.587059000,,,,,,,,,,35130,443,0x0018,518,2767,TLS_Packet_Captured
17,192.168.159.238,192.0.66.32,6,TLS,221,18,2024-03-27 02:42:28.587233,1711503748.587233400,,,,,,,,,,35130,443,0x0018,598,2767,TLS_Packet_Captured
18,192.0.66.32,192.168.159.238,6,TLS,357,19,2024-03-27 02:42:28.652184,1711503748.652184100,,,,,,,,,,443,35130,0x0018,2767,765,TLS_Packet_Captured
19,192.0.66.32,192.168.159.238,6,TLS,357,20,2024-03-27 02:42:28.652184,1711503748.652184200,,,,,,,,,,443,35130,0x0018,3070,765,TLS_Packet_Captured
20,192.0.66.32,192.168.159.238,6,TLS,829,21,2024-03-27 02:42:28.652184,1711503748.652184300,,,,,,,,,,443,35130,0x0018,3373,765,TLS_Packet_Captured
21,192.168.159.238,192.0.66.32,6,TCP,54,22,2024-03-27 02:42:28.652205,1711503748.652205100,,,,,,,,,,35130,443,0x0010,765,3070,
22,192.168.159.238,192.0.66.32,6,TCP,54,23,2024-03-27 02:42:28.652237,1711503748.652237100,,,,,,,,,,35130,443,0x0010,765,3373,
23,192.168.159.238,192.0.66.32,6,TCP,54,24,2024-03-27 02:42:28.652240,1711503748.652239900,,,,,,,,,,35130,443,0x0010,765,4148,
24,192.168.159.238,192.168.144.1,17,DNS,70,25,2024-03-27 02:42:28.653519,1711503748.653519200,nypost.com,,1,0x0001,1,0,0,49037,53,,,,,,
25,192.168.159.238,192.168.144.1,17,DNS,70,26,2024-03-27 02:42:28.653543,1711503748.653542900,nypost.com,,28,0x0001,1,0,0,49037,53,,,,,,
26,192.168.144.1,192.168.159.238,17,DNS,96,27,2024-03-27 02:42:28.724185,1711503748.724184500,nypost.com,nypost.com,1,0x0001,1,1,0,53,49037,,,,,,
27,192.168.144.1,192.168.159.238,17,DNS,70,28,2024-03-27 02:42:28.795075,1711503748.795075300,nypost.com,,28,0x0001,1,0,0,53,49037,,,,,,
28,192.168.159.238,192.0.66.32,6,TCP,74,29,2024-03-27 02:42:28.795280,1711503748.795280200,,,,,,,,,,35132,443,0x0002,0,0,
29,192.0.66.32,192.168.159.238,6,TCP,66,30,2024-03-27 02:42:28.859212,1711503748.859211600,,,,,,,,,,443,35132,0x0012,0,1,
30,192.168.159.238,192.0.66.32,6,TCP,54,31,2024-03-27 02:42:28.859255,1711503748.859254500,,,,,,,,,,35132,443,0x0010,1,1,
31,192.168.159.238,192.0.66.32,6,TLS,571,32,2024-03-27 02:42:28.911476,1711503748.911476200,,,,,,,,,,35132,443,0x0018,1,1,TLS_Packet_Captured
32,192.0.66.32,192.168.159.238,6,TLS,2734,33,2024-03-27 02:42:28.997374,1711503748.997374200,,,,,,,,,,443,35132,0x0018,1,518,TLS_Packet_Captured
33,192.0.66.32,192.168.159.238,6,TLS,140,34,2024-03-27 02:42:28.997374,1711503748.997374400,,,,,,,,,,443,35132,0x0018,2681,518,TLS_Packet_Captured
