,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.144.1,239.255.255.250,17,SSDP,217,1,2024-03-27 02:47:30.609498,1711504050.609497500,65180,1900,,,,,,,,,,,,,
1,192.168.144.1,239.255.255.250,17,SSDP,211,2,2024-03-27 02:47:30.638281,1711504050.638280900,65184,1900,,,,,,,,,,,,,
2,192.168.159.238,192.168.144.1,17,DNS,75,3,2024-03-27 02:47:31.276744,1711504051.276743600,41035,53,www.nytimes.com,,1,0x0001,1,0,0,,,,,,
3,192.168.159.238,192.168.144.1,17,DNS,75,4,2024-03-27 02:47:31.276751,1711504051.276750700,41035,53,www.nytimes.com,,28,0x0001,1,0,0,,,,,,
4,192.168.144.1,192.168.159.238,17,DNS,302,5,2024-03-27 02:47:31.334057,1711504051.334057100,53,41035,www.nytimes.com,www.nytimes.com,1,0x0001,1,4,0,,,,,,
5,192.168.144.1,192.168.159.238,17,DNS,264,6,2024-03-27 02:47:31.384204,1711504051.384203700,53,41035,www.nytimes.com,www.nytimes.com,28,0x0001,1,3,0,,,,,,
6,192.168.159.238,146.75.53.164,6,TCP,74,7,2024-03-27 02:47:31.384567,1711504051.384566900,,,,,,,,,,60366,443,0x0002,0,0,
7,146.75.53.164,192.168.159.238,6,TCP,66,8,2024-03-27 02:47:31.432147,1711504051.432146800,,,,,,,,,,443,60366,0x0012,0,1,
8,192.168.159.238,146.75.53.164,6,TCP,54,9,2024-03-27 02:47:31.432229,1711504051.432228600,,,,,,,,,,60366,443,0x0010,1,1,
9,192.168.159.238,146.75.53.164,6,TLS,571,10,2024-03-27 02:47:31.485962,1711504051.485962500,,,,,,,,,,60366,443,0x0018,1,1,TLS_Packet_Captured
10,146.75.53.164,192.168.159.238,6,TLS,1394,11,2024-03-27 02:47:31.539278,1711504051.539277900,,,,,,,,,,443,60366,0x0010,1,518,TLS_Packet_Captured
11,192.168.159.238,146.75.53.164,6,TCP,54,12,2024-03-27 02:47:31.539323,1711504051.539322900,,,,,,,,,,60366,443,0x0010,518,1341,
12,146.75.53.164,192.168.159.238,6,TCP,1394,13,2024-03-27 02:47:31.541454,1711504051.541454000,,,,,,,,,,443,60366,0x0018,1341,518,
13,146.75.53.164,192.168.159.238,6,TLS,1064,14,2024-03-27 02:47:31.541454,1711504051.541454400,,,,,,,,,,443,60366,0x0018,2681,518,TLS_Packet_Captured
14,192.168.159.238,146.75.53.164,6,TCP,54,15,2024-03-27 02:47:31.541479,1711504051.541479400,,,,,,,,,,60366,443,0x0010,518,2681,
15,192.168.159.238,146.75.53.164,6,TCP,54,16,2024-03-27 02:47:31.541518,1711504051.541518500,,,,,,,,,,60366,443,0x0010,518,3691,
