,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port
0,192.168.159.238,192.168.144.1,17,DNS,70,1,2024-03-27 02:40:58.269685,1711503658.269684900,www.rt.com,,1,0x0001,1,0,0,35841,53
1,192.168.159.238,192.168.144.1,17,DNS,70,2,2024-03-27 02:40:58.269692,1711503658.269692300,www.rt.com,,28,0x0001,1,0,0,35841,53
2,192.168.144.1,192.168.159.238,17,DNS,109,3,2024-03-27 02:40:58.323249,1711503658.323249200,www.rt.com,www.rt.com.rpz.GS.local,1,0x0001,1,1,0,53,35841
3,192.168.144.1,192.168.159.238,17,DNS,141,4,2024-03-27 02:40:58.373742,1711503658.373742300,www.rt.com,www.rt.com,28,0x0001,1,1,0,53,35841
4,192.168.159.238,192.168.144.1,17,DNS,70,5,2024-03-27 02:40:58.374854,1711503658.374853700,www.rt.com,,1,0x0001,1,0,0,33720,53
5,192.168.159.238,192.168.144.1,17,DNS,70,6,2024-03-27 02:40:58.374861,1711503658.374860600,www.rt.com,,28,0x0001,1,0,0,33720,53
6,192.168.144.1,192.168.159.238,17,DNS,109,7,2024-03-27 02:40:58.375612,1711503658.375611500,www.rt.com,www.rt.com.rpz.GS.local,1,0x0001,1,1,0,53,33720
7,192.168.144.1,192.168.159.238,17,DNS,141,8,2024-03-27 02:40:58.375953,1711503658.375953000,www.rt.com,www.rt.com,28,0x0001,1,1,0,53,33720
8,192.168.159.238,192.168.144.1,17,DNS,70,9,2024-03-27 02:40:58.377320,1711503658.377320000,www.rt.com,,1,0x0001,1,0,0,48782,53
9,192.168.159.238,192.168.144.1,17,DNS,70,10,2024-03-27 02:40:58.377326,1711503658.377326400,www.rt.com,,28,0x0001,1,0,0,48782,53
10,192.168.144.1,192.168.159.238,17,DNS,109,11,2024-03-27 02:40:58.378010,1711503658.378009900,www.rt.com,www.rt.com.rpz.GS.local,1,0x0001,1,1,0,53,48782
11,192.168.144.1,192.168.159.238,17,DNS,141,12,2024-03-27 02:40:58.378364,1711503658.378363500,www.rt.com,www.rt.com,28,0x0001,1,1,0,53,48782
12,192.168.159.238,192.168.144.1,17,DNS,70,13,2024-03-27 02:40:58.379440,1711503658.379440300,www.rt.com,,1,0x0001,1,0,0,58737,53
13,192.168.159.238,192.168.144.1,17,DNS,70,14,2024-03-27 02:40:58.379447,1711503658.379446600,www.rt.com,,28,0x0001,1,0,0,58737,53
14,192.168.144.1,192.168.159.238,17,DNS,109,15,2024-03-27 02:40:58.380258,1711503658.380257500,www.rt.com,www.rt.com.rpz.GS.local,1,0x0001,1,1,0,53,58737
15,192.168.144.1,192.168.159.238,17,DNS,141,16,2024-03-27 02:40:58.380478,1711503658.380477900,www.rt.com,www.rt.com,28,0x0001,1,1,0,53,58737
16,192.168.159.238,192.168.144.1,17,DNS,70,17,2024-03-27 02:40:58.381681,1711503658.381680700,www.rt.com,,1,0x0001,1,0,0,49999,53
17,192.168.159.238,192.168.144.1,17,DNS,70,18,2024-03-27 02:40:58.381690,1711503658.381690100,www.rt.com,,28,0x0001,1,0,0,49999,53
18,192.168.144.1,192.168.159.238,17,DNS,109,19,2024-03-27 02:40:58.382447,1711503658.382446600,www.rt.com,www.rt.com.rpz.GS.local,1,0x0001,1,1,0,53,49999
19,192.168.144.1,192.168.159.238,17,DNS,141,20,2024-03-27 02:40:58.382768,1711503658.382768500,www.rt.com,www.rt.com,28,0x0001,1,1,0,53,49999
20,192.168.159.238,192.168.144.1,17,DNS,70,21,2024-03-27 02:40:58.383898,1711503658.383897700,www.rt.com,,1,0x0001,1,0,0,43467,53
21,192.168.159.238,192.168.144.1,17,DNS,70,22,2024-03-27 02:40:58.383905,1711503658.383905100,www.rt.com,,28,0x0001,1,0,0,43467,53
22,192.168.144.1,192.168.159.238,17,DNS,109,23,2024-03-27 02:40:58.384639,1711503658.384639300,www.rt.com,www.rt.com.rpz.GS.local,1,0x0001,1,1,0,53,43467
23,192.168.144.1,192.168.159.238,17,DNS,141,24,2024-03-27 02:40:58.384851,1711503658.384850500,www.rt.com,www.rt.com,28,0x0001,1,1,0,53,43467
24,192.168.159.238,192.168.144.1,17,DNS,70,25,2024-03-27 02:40:58.386210,1711503658.386209800,www.rt.com,,1,0x0001,1,0,0,54299,53
25,192.168.159.238,192.168.144.1,17,DNS,70,26,2024-03-27 02:40:58.386221,1711503658.386221100,www.rt.com,,28,0x0001,1,0,0,54299,53
