,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,79,1,2024-03-27 02:48:28.620848,1711504108.620848100,www.theguardian.com,,1,0x0001,1,0,0,51918,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,79,2,2024-03-27 02:48:28.620856,1711504108.620855600,www.theguardian.com,,28,0x0001,1,0,0,51918,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,194,3,2024-03-27 02:48:28.702327,1711504108.702326900,www.theguardian.com,www.theguardian.com,1,0x0001,1,2,0,53,51918,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,206,4,2024-03-27 02:48:28.754592,1711504108.754592400,www.theguardian.com,www.theguardian.com,28,0x0001,1,2,0,53,51918,,,,,,
4,192.168.159.238,146.75.53.111,6,TCP,74,5,2024-03-27 02:48:28.754970,1711504108.754970300,,,,,,,,,,35474,443,0x0002,0,0,
5,146.75.53.111,192.168.159.238,6,TCP,66,6,2024-03-27 02:48:28.801851,1711504108.801850900,,,,,,,,,,443,35474,0x0012,0,1,
6,192.168.159.238,146.75.53.111,6,TCP,54,7,2024-03-27 02:48:28.801940,1711504108.801940000,,,,,,,,,,35474,443,0x0010,1,1,
7,192.168.159.238,146.75.53.111,6,TLS,571,8,2024-03-27 02:48:28.855882,1711504108.855881900,,,,,,,,,,35474,443,0x0018,1,1,TLS_Packet_Captured
8,146.75.53.111,192.168.159.238,6,TLS,2734,9,2024-03-27 02:48:28.914026,1711504108.914026000,,,,,,,,,,443,35474,0x0018,1,518,TLS_Packet_Captured
9,146.75.53.111,192.168.159.238,6,TLS,1703,10,2024-03-27 02:48:28.914026,1711504108.914026200,,,,,,,,,,443,35474,0x0018,2681,518,TLS_Packet_Captured
10,192.168.159.238,146.75.53.111,6,TCP,54,11,2024-03-27 02:48:28.914074,1711504108.914073900,,,,,,,,,,35474,443,0x0010,518,2681,
11,192.168.159.238,146.75.53.111,6,TCP,54,12,2024-03-27 02:48:28.914081,1711504108.914080600,,,,,,,,,,35474,443,0x0010,518,4330,
12,192.168.159.238,146.75.53.111,6,TLS,118,13,2024-03-27 02:48:28.915445,1711504108.915445200,,,,,,,,,,35474,443,0x0018,518,4330,TLS_Packet_Captured
13,192.168.159.238,146.75.53.111,6,TLS,226,14,2024-03-27 02:48:28.915619,1711504108.915619000,,,,,,,,,,35474,443,0x0018,582,4330,TLS_Packet_Captured
14,146.75.53.111,192.168.159.238,6,TCP,54,15,2024-03-27 02:48:28.924824,1711504108.924823500,,,,,,,,,,443,35474,0x0010,1,518,
15,192.168.159.238,146.75.53.111,6,TCP,54,16,2024-03-27 02:48:28.924841,1711504108.924840700,,,,,,,,,,35474,443,0x0010,754,4330,
16,146.75.53.111,192.168.159.238,6,TCP,54,17,2024-03-27 02:48:28.953714,1711504108.953713800,,,,,,,,,,443,35474,0x0010,4330,582,
17,146.75.53.111,192.168.159.238,6,TCP,54,18,2024-03-27 02:48:28.953714,1711504108.953714000,,,,,,,,,,443,35474,0x0010,4330,754,
18,146.75.53.111,192.168.159.238,6,TLS,1396,19,2024-03-27 02:48:28.953714,1711504108.953714000,,,,,,,,,,443,35474,0x0018,4330,754,TLS_Packet_Captured
19,146.75.53.111,192.168.159.238,6,TLS,78,20,2024-03-27 02:48:28.953714,1711504108.953714000,,,,,,,,,,443,35474,0x0018,5672,754,TLS_Packet_Captured
20,146.75.53.111,192.168.159.238,6,TCP,54,21,2024-03-27 02:48:28.953714,1711504108.953714100,,,,,,,,,,443,35474,0x0011,5696,754,
21,192.168.159.238,146.75.53.111,6,TCP,54,22,2024-03-27 02:48:28.953742,1711504108.953741800,,,,,,,,,,35474,443,0x0010,754,5672,
22,192.168.159.238,146.75.53.111,6,TCP,54,23,2024-03-27 02:48:28.953779,1711504108.953778400,,,,,,,,,,35474,443,0x0010,754,5696,
23,192.168.159.238,146.75.53.111,6,TCP,54,24,2024-03-27 02:48:28.955259,1711504108.955258800,,,,,,,,,,35474,443,0x0014,754,5697,
24,192.168.159.238,192.168.144.1,17,DNS,79,25,2024-03-27 02:48:28.956865,1711504108.956865400,www.theguardian.com,,1,0x0001,1,0,0,52913,53,,,,,,
25,192.168.159.238,192.168.144.1,17,DNS,79,26,2024-03-27 02:48:28.956870,1711504108.956869900,www.theguardian.com,,28,0x0001,1,0,0,52913,53,,,,,,
26,192.168.144.1,192.168.159.238,17,DNS,194,27,2024-03-27 02:48:28.957798,1711504108.957798500,www.theguardian.com,www.theguardian.com,1,0x0001,1,2,0,53,52913,,,,,,
27,192.168.144.1,192.168.159.238,17,DNS,206,28,2024-03-27 02:48:28.958073,1711504108.958072800,www.theguardian.com,www.theguardian.com,28,0x0001,1,2,0,53,52913,,,,,,
28,192.168.159.238,146.75.53.111,6,TCP,74,29,2024-03-27 02:48:28.958243,1711504108.958243200,,,,,,,,,,35476,443,0x0002,0,0,
29,146.75.53.111,192.168.159.238,6,TCP,66,30,2024-03-27 02:48:28.992108,1711504108.992107800,,,,,,,,,,443,35476,0x0012,0,1,
30,192.168.159.238,146.75.53.111,6,TCP,54,31,2024-03-27 02:48:28.992152,1711504108.992151900,,,,,,,,,,35476,443,0x0010,1,1,
31,192.168.159.238,146.75.53.111,6,TLS,571,32,2024-03-27 02:48:29.045408,1711504109.045407700,,,,,,,,,,35476,443,0x0018,1,1,TLS_Packet_Captured
32,146.75.53.111,192.168.159.238,6,TLS,2734,33,2024-03-27 02:48:29.101159,1711504109.101158700,,,,,,,,,,443,35476,0x0018,1,518,TLS_Packet_Captured
33,146.75.53.111,192.168.159.238,6,TLS,1703,34,2024-03-27 02:48:29.101159,1711504109.101158800,,,,,,,,,,443,35476,0x0018,2681,518,TLS_Packet_Captured
34,192.168.159.238,146.75.53.111,6,TCP,54,35,2024-03-27 02:48:29.101207,1711504109.101207500,,,,,,,,,,35476,443,0x0010,518,2681,
35,192.168.159.238,146.75.53.111,6,TCP,54,36,2024-03-27 02:48:29.101214,1711504109.101213600,,,,,,,,,,35476,443,0x0010,518,4330,
36,192.168.159.238,146.75.53.111,6,TLS,118,37,2024-03-27 02:48:29.102562,1711504109.102562300,,,,,,,,,,35476,443,0x0018,518,4330,TLS_Packet_Captured
37,192.168.159.238,146.75.53.111,6,TLS,276,38,2024-03-27 02:48:29.102735,1711504109.102734800,,,,,,,,,,35476,443,0x0018,582,4330,TLS_Packet_Captured
38,146.75.53.111,192.168.159.238,6,TCP,54,39,2024-03-27 02:48:29.103192,1711504109.103191800,,,,,,,,,,443,35476,0x0010,1,518,
