,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,80,1,2024-03-27 02:39:12.338037,1711503552.338037500,www.timesofindia.com,,1,0x0001,1,0,0,33007,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,80,2,2024-03-27 02:39:12.338045,1711503552.338044800,www.timesofindia.com,,28,0x0001,1,0,0,33007,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,260,3,2024-03-27 02:39:12.420281,1711503552.420281300,www.timesofindia.com,www.timesofindia.com,1,0x0001,1,3,0,53,33007,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,300,4,2024-03-27 02:39:12.460337,1711503552.460337100,www.timesofindia.com,www.timesofindia.com,28,0x0001,1,4,0,53,33007,,,,,,
4,192.168.159.238,104.91.26.221,6,TCP,74,5,2024-03-27 02:39:12.460652,1711503552.460652300,,,,,,,,,,48920,443,0x0002,0,0,
5,104.91.26.221,192.168.159.238,6,TCP,66,6,2024-03-27 02:39:12.502184,1711503552.502183700,,,,,,,,,,443,48920,0x0012,0,1,
6,192.168.159.238,104.91.26.221,6,TCP,54,7,2024-03-27 02:39:12.502259,1711503552.502259600,,,,,,,,,,48920,443,0x0010,1,1,
7,192.168.159.238,104.91.26.221,6,TLS,571,8,2024-03-27 02:39:12.555012,1711503552.555012000,,,,,,,,,,48920,443,0x0018,1,1,TLS_Packet_Captured
8,104.91.26.221,192.168.159.238,6,TCP,54,9,2024-03-27 02:39:12.612116,1711503552.612115700,,,,,,,,,,443,48920,0x0010,1,518,
9,104.91.26.221,192.168.159.238,6,TLS,1394,10,2024-03-27 02:39:12.792981,1711503552.792980700,,,,,,,,,,443,48920,0x0010,1,518,TLS_Packet_Captured
10,192.168.159.238,104.91.26.221,6,TCP,54,11,2024-03-27 02:39:12.793021,1711503552.793020800,,,,,,,,,,48920,443,0x0010,518,1341,
11,104.91.26.221,192.168.159.238,6,TCP,1394,12,2024-03-27 02:39:12.796215,1711503552.796214500,,,,,,,,,,443,48920,0x0018,1341,518,
12,104.91.26.221,192.168.159.238,6,TCP,1470,13,2024-03-27 02:39:12.796215,1711503552.796214700,,,,,,,,,,443,48920,0x0018,2681,518,
13,192.168.159.238,104.91.26.221,6,TCP,54,14,2024-03-27 02:39:12.796232,1711503552.796231400,,,,,,,,,,48920,443,0x0010,518,2681,
14,192.168.159.238,104.91.26.221,6,TCP,54,15,2024-03-27 02:39:12.796263,1711503552.796262700,,,,,,,,,,48920,443,0x0010,518,4097,
