,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
0,192.168.159.238,192.168.144.1,17,DNS,82,1,2024-03-27 02:36:16.254989,1711503376.254989400,www.washingtonpost.com,,1,0x0001,1,0,0,38921,53,,,,,,
1,192.168.159.238,192.168.144.1,17,DNS,82,2,2024-03-27 02:36:16.254997,1711503376.254997300,www.washingtonpost.com,,28,0x0001,1,0,0,38921,53,,,,,,
2,192.168.144.1,192.168.159.238,17,DNS,226,3,2024-03-27 02:36:16.299772,1711503376.299772100,www.washingtonpost.com,www.washingtonpost.com,1,0x0001,1,3,0,53,38921,,,,,,
3,192.168.144.1,192.168.159.238,17,DNS,188,4,2024-03-27 02:36:16.349086,1711503376.349086400,www.washingtonpost.com,www.washingtonpost.com,28,0x0001,1,2,0,53,38921,,,,,,
4,192.168.159.238,104.91.24.100,6,TCP,74,5,2024-03-27 02:36:16.349554,1711503376.349553900,,,,,,,,,,47586,443,0x0002,0,0,
5,104.91.24.100,192.168.159.238,6,TCP,66,6,2024-03-27 02:36:16.398025,1711503376.398024800,,,,,,,,,,443,47586,0x0012,0,1,
6,192.168.159.238,104.91.24.100,6,TCP,54,7,2024-03-27 02:36:16.398094,1711503376.398093700,,,,,,,,,,47586,443,0x0010,1,1,
7,192.168.159.238,104.91.24.100,6,TLS,571,8,2024-03-27 02:36:16.459667,1711503376.459666900,,,,,,,,,,47586,443,0x0018,1,1,TLS_Packet_Captured
8,104.91.24.100,192.168.159.238,6,TLS,2734,9,2024-03-27 02:36:16.521799,1711503376.521799400,,,,,,,,,,443,47586,0x0018,1,518,TLS_Packet_Captured
9,104.91.24.100,192.168.159.238,6,TLS,1388,10,2024-03-27 02:36:16.521800,1711503376.521799600,,,,,,,,,,443,47586,0x0018,2681,518,TLS_Packet_Captured
10,104.91.24.100,192.168.159.238,6,TCP,54,11,2024-03-27 02:36:16.521800,1711503376.521799600,,,,,,,,,,443,47586,0x0010,1,518,
11,192.168.159.238,104.91.24.100,6,TCP,54,12,2024-03-27 02:36:16.521825,1711503376.521825200,,,,,,,,,,47586,443,0x0010,518,2681,
12,192.168.159.238,104.91.24.100,6,TCP,54,13,2024-03-27 02:36:16.521831,1711503376.521830800,,,,,,,,,,47586,443,0x0010,518,4015,
13,192.168.159.238,104.91.24.100,6,TCP,54,14,2024-03-27 02:36:16.521832,1711503376.521832200,,,,,,,,,,47586,443,0x0010,518,4015,
14,192.168.159.238,104.91.24.100,6,TLS,134,15,2024-03-27 02:36:16.523141,1711503376.523141500,,,,,,,,,,47586,443,0x0018,518,4015,TLS_Packet_Captured
15,192.168.159.238,104.91.24.100,6,TLS,229,16,2024-03-27 02:36:16.523307,1711503376.523307300,,,,,,,,,,47586,443,0x0018,598,4015,TLS_Packet_Captured
16,104.91.24.100,192.168.159.238,6,TLS,357,17,2024-03-27 02:36:16.572146,1711503376.572146000,,,,,,,,,,443,47586,0x0018,4015,773,TLS_Packet_Captured
17,104.91.24.100,192.168.159.238,6,TLS,357,18,2024-03-27 02:36:16.572146,1711503376.572146300,,,,,,,,,,443,47586,0x0018,4318,773,TLS_Packet_Captured
18,192.168.159.238,104.91.24.100,6,TCP,54,19,2024-03-27 02:36:16.572171,1711503376.572170900,,,,,,,,,,47586,443,0x0010,773,4318,
19,192.168.159.238,104.91.24.100,6,TCP,54,20,2024-03-27 02:36:16.572181,1711503376.572180600,,,,,,,,,,47586,443,0x0010,773,4621,
20,104.91.24.100,192.168.159.238,6,TLS,2734,21,2024-03-27 02:36:25.609152,1711503385.609151900,,,,,,,,,,443,47586,0x0018,4621,773,TLS_Packet_Captured
21,104.91.24.100,192.168.159.238,6,TCP,2734,22,2024-03-27 02:36:25.609152,1711503385.609152400,,,,,,,,,,443,47586,0x0018,7301,773,
22,104.91.24.100,192.168.159.238,6,TCP,2734,23,2024-03-27 02:36:25.609152,1711503385.609152400,,,,,,,,,,443,47586,0x0018,9981,773,
23,192.168.159.238,104.91.24.100,6,TCP,54,24,2024-03-27 02:36:25.609178,1711503385.609177500,,,,,,,,,,47586,443,0x0010,773,7301,
24,192.168.159.238,104.91.24.100,6,TCP,54,25,2024-03-27 02:36:25.609182,1711503385.609182400,,,,,,,,,,47586,443,0x0010,773,9981,
25,192.168.159.238,104.91.24.100,6,TCP,54,26,2024-03-27 02:36:25.609184,1711503385.609183900,,,,,,,,,,47586,443,0x0010,773,12661,
26,104.91.24.100,192.168.159.238,6,TCP,2734,27,2024-03-27 02:36:25.615595,1711503385.615595300,,,,,,,,,,443,47586,0x0018,12661,773,
27,104.91.24.100,192.168.159.238,6,TCP,2734,28,2024-03-27 02:36:25.615596,1711503385.615595500,,,,,,,,,,443,47586,0x0018,15341,773,
28,104.91.24.100,192.168.159.238,6,TCP,2734,29,2024-03-27 02:36:25.615596,1711503385.615595600,,,,,,,,,,443,47586,0x0018,18021,773,
29,192.168.159.238,104.91.24.100,6,TCP,54,30,2024-03-27 02:36:25.615614,1711503385.615613800,,,,,,,,,,47586,443,0x0010,773,15341,
30,192.168.159.238,104.91.24.100,6,TCP,54,31,2024-03-27 02:36:25.615623,1711503385.615622700,,,,,,,,,,47586,443,0x0010,773,18021,
